id,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],uncertainty [nm]
74,12,8074.949225,5509.079318,125.0602219,139.8854243,17.53886266,4.002070379,20.86685727
76,13,2114.575092,6387.202704,161.4798041,160.5504881,13.26461908,2.144329907,21.38211716
77,13,3654.930794,7894.07452,189.6329796,199.9956565,14.61789162,3.053732931,25.81222399
78,13,3687.028395,5043.988175,120.1788682,217.8177454,14.62126789,3.276540357,13.73860631
79,13,4393.912295,8846.481006,149.5717247,212.1584633,15.18463202,3.637312168,19.11478942
80,13,4513.217292,860.9083072,113.7577035,198.3077652,18.54341171,3.284398392,13.65166405
81,13,6704.948296,7472.861229,124.214287,107.9051303,16.49326749,3.241739555,22.73075015
82,13,6974.234191,3189.215913,147.1694336,148.8208367,17.41422256,3.374159514,23.28409248
83,13,8084.205759,5511.699926,122.1553122,131.6034852,16.69271626,3.253228419,19.40520271
84,13,8119.707476,8641.830567,130.1413585,112.1216535,15.39839472,3.055792265,23.02880524
86,14,3591.992161,8028.809333,125.0433878,220.3938134,14.78296111,2.505276348,13.51234819
87,14,4775.76442,6280.306958,133.1765424,261.2118654,15.64150612,3.168948721,13.76288728
88,14,7203.086269,1793.814132,270.3603302,326.075057,18.37564023,3.249065647,31.23543138
89,14,7203.809091,4598.686531,140.137999,400.0436821,18.76525299,4.208197682,12.05877539
90,14,7259.064393,8590.16586,91.99008733,88.78703327,15.93688236,4.02189549,18.9446157
91,14,8065.17703,5523.921072,155.5950953,175.3849324,17.31379093,3.137947401,21.73569745
92,15,3249.697084,8012.795346,252.5012292,317.9047214,13.76659022,4.024927964,32.36536879
93,15,3874.256464,9402.81746,151.9711517,138.2119874,15.86818239,3.121907537,24.8356338
94,15,4509.823543,859.7080352,129.402264,170.6326844,18.87148066,3.203299816,17.48674452
95,15,6423.474843,5630.044421,113.6125135,92.23545477,17.60737423,2.66689504,20.97057943
96,15,6889.995922,2976.184217,101.0407623,81.09749693,18.02828605,3.802968037,22.42989936
97,15,7346.973151,7025.179604,124.3893469,289.8843492,17.11117971,3.815946102,12.44337791
98,15,7219.699344,8547.641512,123.975788,91.36721622,15.38609241,3.05442769,24.87947471
99,15,8127.296646,5540.218479,153.0091443,130.9462762,16.88011461,3.208015576,26.39764765
101,16,2742.479798,9593.109166,250.840001,366.9029726,12.06805997,5.097525132,33.15181257
102,16,2864.186822,1149.964592,128.0363583,130.0964193,13.51734639,2.97851298,20.16703574
103,16,3582.572962,5946.403227,119.0783144,118.3658606,15.73931484,2.857103696,19.30341325
104,16,3969.951542,8758.255453,125.3592281,91.70507963,15.0203825,2.76071358,24.20158029
105,16,4254.613201,5229.989217,100.9719623,101.1946424,16.39996169,3.642254338,18.83560865
106,16,4639.128918,5865.957183,121.5539965,150.0056081,15.62972903,4.398687727,19.88748385
107,16,7382.576838,4814.296037,135.9214514,247.0900385,18.70253587,3.350433215,14.82499378
108,16,8141.110674,8706.722341,104.6261457,89.56255049,14.71517911,1.989657386,18.06445131
112,17,2966.45998,7433.783936,133.8226566,131.3748565,13.86243805,2.917475558,21.07482176
113,17,3973.335379,3373.825558,126.8922798,130.3392972,14.74422111,2.362437121,18.62955832
114,17,4345.274474,7203.841935,151.4663488,160.2934053,15.88343727,3.234501335,22.58231011
115,17,4753.076265,6265.842494,145.6755518,275.1522196,14.71364167,3.170899673,14.85672708
116,17,6487.191414,5687.078421,116.1041316,83.78025926,19.04046572,3.857483232,26.93429469
117,17,8027.600864,5536.017421,138.5970281,169.3348048,15.98831586,2.57411772,17.97738583
118,18,2873.080575,1125.031627,142.9496049,174.2426644,14.58478596,3.402365306,20.07749764
119,18,3985.244731,3355.359122,158.5381839,123.2780481,14.11743625,2.572548407,26.36571855
120,18,6462.634564,5603.619966,229.0050736,350.8697006,13.57593319,3.870606251,25.17136419
121,18,6741.535814,8278.926075,141.577723,158.2718311,15.05445796,2.981180377,20.16705482
125,19,2216.739933,6544.473799,199.7702535,390.5639318,14.9062371,3.735942276,18.78538805
126,19,2862.98706,1162.097406,111.514604,128.384641,14.76441828,3.17868702,17.41856799
127,19,4497.316577,811.0348729,131.1465239,139.7898175,17.37820562,3.249821553,20.45234642
128,19,6766.01671,8300.510904,140.2327165,112.5792837,14.03535262,3.166822915,25.85974772
130,20,2642.524663,563.3788041,99.03368029,78.0832654,14.46247546,2.982443444,20.40351742
131,20,4731.965705,5650.982954,109.3104343,84.29594637,13.6026927,2.18624306,20.07699292
132,20,4937.073794,7526.18371,121.6326369,308.4517759,14.30402776,3.835680707,11.66500004
133,20,8154.727525,5563.08809,221.5041895,359.5429799,15.8421346,4.312727099,24.87766667
137,21,3859.222867,9416.001823,155.4686451,205.4267956,13.63462713,3.072643289,19.33961858
138,21,5002.344499,7515.206149,123.0022385,117.6872951,13.15670263,3.102416334,20.77040885
139,21,7994.118475,6111.906842,116.495155,163.3327565,18.08006512,5.447039749,19.50220429
140,21,8086.866785,5661.948592,210.6984354,256.9966805,16.57907202,5.448627905,34.97817356
141,22,3923.099203,9475.286525,134.8429441,134.1945427,13.04274982,2.748411467,20.56776144
142,22,7954.616741,5451.21348,203.2954467,171.6341651,15.6896924,4.823464278,42.64305468
144,23,8084.468945,5523.525487,121.1545083,165.7111421,15.90456934,3.32173772,16.58384464
145,23,8107.283656,8495.731164,153.4079853,417.5712816,16.19689978,4.264906775,13.21170627
147,24,2044.491168,6416.901942,135.7606252,179.5046775,13.7239515,2.905792301,17.45365798
148,24,3386.932799,8504.778702,108.738784,88.40226528,13.15487518,2.834901108,20.80363635
149,24,4390.493291,3179.480653,123.3108795,93.23411674,14.96106091,2.893881109,23.82742061
150,24,8169.094172,5716.158998,191.9199262,251.6287589,16.4979326,2.961463736,22.03920753
153,25,1440.776753,734.4773092,173.8863067,126.2421949,10.8852841,2.652192831,29.86761143
154,25,6889.077547,2970.736811,119.1639249,159.1385895,16.67192552,2.45026582,15.45306593
157,26,3668.185166,1509.331146,102.6799557,254.9304412,16.7555886,4.420164544,11.13059454
158,26,4157.724717,2091.569,157.2625818,160.8586981,15.39286774,3.343718275,24.08768728
160,26,6848.226036,2926.740638,116.3962419,140.4489755,16.4464021,3.169952193,17.31793298
161,26,8096.618502,5512.967238,127.3797694,137.6360324,16.11024729,3.43908384,20.31367591
164,27,3844.301996,9440.330648,113.834804,89.04573648,14.01296467,2.971799145,22.32989652
165,27,6623.315356,5117.887808,173.1286363,303.167007,17.15234656,4.279539065,19.50710276
166,27,6869.735966,2934.725709,138.2829199,269.4356905,15.65775822,3.484034138,14.48739556
167,27,8021.093255,5496.654723,153.671228,171.7155265,16.25402086,3.483626024,22.64502633
170,28,3082.97732,8044.761984,111.7796736,133.0575686,12.99859557,3.079438556,16.90966389
171,28,4454.310668,8244.700682,97.96886221,98.21616635,16.35709992,5.108954025,21.49126087
172,28,4470.220552,8241.638135,114.658115,122.4475901,15.36868158,4.741311402,22.0578749
173,28,7465.599762,6955.133134,134.7654676,137.0217893,15.23939499,3.143023254,21.23785504
175,29,2866.432823,1127.146039,117.8371604,96.79368882,12.43289104,2.8803897,21.83061279
176,29,2922.198996,8783.464565,118.8080265,95.31827987,12.590389,2.487763718,21.25555138
178,30,3398.694801,6774.73618,202.2076775,171.4473028,10.95724865,2.40859409,28.51930704
179,30,5500.655766,4052.142193,119.2049673,80.80610615,13.47537057,2.970232793,25.4153298
180,30,7262.530622,8673.09803,149.3518008,110.8233029,12.49212066,2.485829526,25.83730097
181,31,2075.102701,6456.282334,144.8759158,99.53755705,12.23559491,2.157591655,25.42391141
182,31,7183.967687,1818.395399,174.8851002,276.5510912,17.83422761,3.173200633,18.70319509
183,31,7212.09934,8587.977495,112.0848004,117.0568434,13.43496044,4.049848025,20.45339472
185,32,2127.719038,6451.767142,130.3218948,98.84056591,12.58379957,2.931234638,24.78511303
186,32,4445.515242,6877.092436,175.6584291,156.1526685,12.8357358,2.680627161,26.15946941
187,32,6884.489926,2953.192676,129.8969841,264.7100997,14.97816865,3.229697751,13.30984213
188,32,7189.215085,1775.475354,274.5352121,355.1005593,14.58226259,4.938377823,38.84712197
190,33,3844.772451,9438.126676,122.5140531,104.3204618,12.9612153,2.754025463,21.50255694
191,34,2025.883602,7531.722617,118.9027779,144.0366346,11.88692207,2.973251745,17.16786642
192,34,4087.366872,4984.072451,145.5968403,256.2832498,14.4643052,3.789430253,16.43796675
193,34,4749.606574,6287.339921,93.58921193,110.9492013,14.40412691,2.599938152,14.78103668
194,34,6197.48954,709.0537075,215.3889646,215.7802339,13.78000949,3.127323556,29.72730639
197,35,4485.312937,8302.238562,144.7446729,167.6946387,12.89928985,2.931798525,19.85721792
199,36,7112.487467,1682.737429,274.1393101,321.7151763,14.76522518,3.888462679,35.8308989
200,36,7954.676543,1793.292164,142.4410438,226.2177216,17.6106141,3.387301314,16.71598674
202,37,4273.829096,1890.219187,204.2869988,338.2931413,14.90119069,4.418918884,23.34057549
203,37,6833.566569,5516.075578,153.4686564,150.1869462,15.31260147,2.922981355,23.11131894
204,37,7138.208843,1627.359926,159.6173454,143.029326,17.55396759,3.513760948,27.49142262
205,37,7248.515151,8592.634976,90.994462,70.66827981,12.61902068,2.152359567,18.08200208
206,37,7810.301745,10824.19014,155.439369,120.3383254,12.28370022,3.168559348,28.5766215
207,38,4036.535313,3382.442383,108.8678226,74.40484725,13.70865524,2.423426238,22.21626598
208,38,4071.003676,5000.35437,139.3330411,150.3340682,12.87735064,2.692327594,19.77723885
209,38,7107.38358,1630.824166,128.2835667,144.5363355,18.16355865,3.642864908,20.28229079
210,38,7803.508582,10864.66398,136.127945,98.19515738,11.2235371,2.105137737,23.53924507
211,39,3143.046058,10177.59392,140.940726,134.7590559,12.22171947,2.239637288,20.43631669
212,39,3789.38017,7700.02962,110.5074409,102.0875442,18.26192064,5.799710592,27.06796495
213,39,4060.321399,5013.549236,120.1149546,82.3278199,12.68112182,2.677677705,24.34301254
214,39,8224.306034,9201.869167,140.0521125,86.83643377,14.54209118,2.950884396,30.20761526
216,40,3818.232956,8165.857901,142.1560595,104.1244745,12.47138054,2.363261875,24.80270134
217,40,3886.255691,9462.604974,142.9127336,105.4795361,11.67794188,2.928082663,26.88994528
218,40,6773.437633,3177.236315,145.3195427,107.9086681,15.18734317,2.804916263,26.58923843
220,41,3827.267663,9434.574301,161.9903426,150.0227386,13.30085009,3.270232131,26.17752755
221,41,4025.979404,4611.23398,128.3760015,84.99833879,12.26336473,1.990180259,23.64453354
222,41,5703.339456,8193.351634,158.8376826,201.2655883,13.82787481,3.224476876,20.53541397
223,41,7908.470001,1818.475241,114.0379519,124.8015291,17.04343944,3.306384218,18.49422391
227,42,3355.756378,8545.065035,91.82107263,92.46660604,12.89768868,2.29829492,15.76530239
228,42,7255.588958,1575.165872,189.3346065,131.5518595,16.70764692,4.057338016,41.96769036
230,43,3846.643711,9505.897395,180.227186,128.2543675,11.16217463,2.423796275,29.88467508
231,43,7854.343713,10865.05112,153.4731923,215.3211731,14.0695247,4.230567617,20.95105366
234,44,3001.490089,7656.35165,165.3268285,194.3202697,12.09942931,2.741732971,20.93582345
235,44,5783.391726,7439.596707,90.51337742,63.59473832,13.68056301,2.452957293,19.72903758
236,44,7090.27622,1674.724645,183.3417628,175.381939,18.58492515,3.067100214,27.10625166
237,44,7791.192463,10176.64032,125.8292388,242.5385984,12.52987393,2.996913579,13.30160491
238,44,7921.732849,1831.456369,121.3830064,216.6466698,18.08955539,3.247726497,13.91972751
239,45,2804.442711,9072.710726,166.0465515,157.4376172,13.61991348,3.044900117,25.35665094
240,45,5529.042935,634.5527083,165.2486842,258.5440572,15.57960073,3.396874646,18.59726934
242,46,2550.722598,8346.493286,149.801873,140.7286201,14.94229639,3.443806468,25.10260168
243,46,5530.018722,611.7328236,167.5135553,249.9233664,14.8337414,2.481451351,17.58688659
244,46,6058.97375,7621.905367,128.2523669,150.0839539,14.84511112,3.084036043,18.58939438
245,46,7787.080908,10182.93769,125.318305,179.5694242,12.61624516,3.128386656,16.13338388
246,46,7933.681997,1763.736323,103.2419378,138.5246267,15.61060464,3.089281203,14.9921848
248,47,3368.309115,8505.98642,106.2020747,96.47138699,12.6268336,2.307048089,18.09328077
249,47,7927.918406,1774.956794,123.4626337,171.5307268,16.11749181,3.273424017,16.52997032
251,48,6255.574658,2263.28761,168.1657295,251.3260559,14.16250041,3.495817767,19.6325609
252,48,6277.952084,8228.848871,119.1989347,98.02060389,12.60781644,2.833112007,21.84583318
253,48,6953.009329,5413.367055,150.0926962,330.7332979,14.35808621,3.935843237,14.6027295
255,49,4051.019407,4593.952212,131.3961559,316.2994364,13.45242004,2.928518566,11.87429788
259,50,3868.0823,9625.928022,188.7089936,138.7843605,10.79665367,2.280536956,29.40630708
260,50,6509.3217,5004.252181,159.3019017,287.9132308,16.90164013,3.979365254,17.44908755
261,50,6824.018862,2340.087619,163.3893685,187.1319033,16.93383557,4.218784961,25.54072658
263,51,4017.098554,4683.827801,232.9180281,350.6775236,12.20136489,5.257059946,31.06194323
264,51,4821.281928,2757.021414,146.1309736,153.2693581,13.85146002,2.93846604,21.38035632
266,52,3866.322578,9656.580853,127.3279495,94.60241286,12.08477568,1.972258037,21.85071169
267,52,4137.96971,1880.645935,159.1860344,146.7458428,12.99713663,2.461189936,23.17817298
268,52,7024.029024,1843.590246,240.8289592,254.599711,15.54067278,3.698798264,34.07340848
270,53,4347.773371,7041.480345,174.8605665,162.8584002,11.37207327,2.918115689,26.13952568
271,53,5780.712342,2118.086364,130.6168068,120.8189625,14.04614012,3.339975131,22.76961709
272,53,7088.680339,1765.020363,262.3487929,250.2085504,16.08507237,3.442566634,37.93514751
274,54,3133.987273,7954.618651,134.0510959,88.74132005,11.88459311,1.846719641,23.79743878
275,54,6397.770871,4999.906454,159.0060096,159.0164127,13.11325776,2.604817035,22.35621249
276,54,7130.804763,1590.332475,275.5464465,250.4166963,15.46585101,3.605171188,42.28394889
277,55,2087.168175,8396.476781,136.6134176,103.6655117,10.75405216,1.985867889,22.49742628
278,56,5133.878735,5494.139154,201.7824969,146.0102454,12.50579396,2.460671324,32.16480812
279,56,5774.049104,7456.733165,117.2041382,107.8241182,13.18294285,3.015053096,20.48021951
281,57,3795.423064,8155.705597,130.0392168,97.2214563,11.78808869,2.443324086,23.39067115
282,57,4829.61473,6935.951549,166.3368615,156.9692665,12.60757096,2.902543404,24.96172198
283,57,5540.570904,531.1646701,136.8768096,106.82256,14.62425078,2.87840592,24.9188719
284,57,6674.234205,2435.078314,161.6565352,370.0638635,16.30343796,4.601958308,15.83291962
288,59,3360.251739,8606.22159,270.7092571,251.4816177,9.820851813,3.100190979,37.31706137
289,59,7270.642819,7824.363615,249.8092619,337.1816922,11.7091447,3.771585255,29.23765501
290,60,2380.377921,9465.397092,177.888752,183.802879,12.82164847,2.925916515,24.5979482
292,61,5149.82241,2985.668109,132.1113124,91.23301869,12.80994903,2.446727189,24.92163963
293,61,6194.722199,3334.03238,115.4794523,91.80380839,13.28413024,2.479332509,21.00238958
294,61,7149.801214,1754.759222,234.8146263,249.1938737,14.29636826,4.059556126,35.25898932
295,61,7941.084969,1803.785996,118.7545267,176.6567882,17.73622739,2.778924869,14.83421251
296,62,3269.820362,8462.03425,88.29210428,62.40444396,13.0724924,2.572594459,19.63197239
297,62,3684.503781,5016.958303,130.8843349,86.07765788,11.98771762,2.520119713,25.87981252
298,62,7966.066645,1837.298354,117.4633092,99.78672797,15.52464918,3.207325748,22.15867052
300,64,5794.15658,3882.962833,104.5433491,177.5739445,13.69112875,2.79621656,12.81358443
302,65,3738.907935,9441.179471,129.9324695,138.4198737,11.77467087,2.199918683,18.16649279
303,65,4709.826561,5575.079856,204.4728467,172.0840377,12.42628288,2.712331721,30.40795069
304,66,7035.485261,1761.581722,254.5601405,188.0060025,13.52836455,2.896678533,40.97958499
305,67,5149.851041,5479.81281,117.6355907,138.6503781,13.3600282,2.978134668,17.37051283
306,67,6366.568375,3137.589426,144.3006845,192.8612236,13.41472867,2.886577958,17.95417462
307,68,2892.083005,8808.526364,116.9347908,94.31196191,12.70592525,2.887584242,22.01500749
308,68,7904.138535,10092.07736,133.9765275,204.7472377,12.83662753,2.808126155,15.66058629
312,70,3723.206045,5072.094005,144.8398504,106.8251972,10.83292571,1.997633999,23.74500593
313,70,6655.947608,6978.326804,137.0149024,124.5853426,14.28549333,2.407090697,21.15775901
314,70,7889.515446,10114.7729,129.3312952,140.7102127,13.91091834,2.954902443,19.34000215
315,71,2229.316992,5997.028113,144.4203813,166.0090127,11.90736873,3.33907931,20.9024729
316,71,7888.080452,10147.86587,137.2243235,158.1781058,10.8862499,2.383138583,18.18235994
319,73,4927.624724,1635.054391,137.5622102,100.0851215,14.50207869,3.142637587,27.31436411
320,73,6075.4961,7627.886079,112.5167061,169.6600132,14.10624515,3.230671602,14.79422293
321,73,6193.366998,3386.49016,155.8757668,96.2657421,13.01459476,2.528435289,30.44315187
322,74,4836.234865,1499.247611,181.7354986,261.7677129,13.33132351,3.384445318,20.96459149
323,74,8105.296211,7492.693076,126.9853296,91.24430236,11.91680616,2.235401454,23.02287008
326,76,3100.751883,1283.023353,130.2554163,108.1605903,13.45131579,2.576177541,22.22103683
327,76,5894.066522,8308.504187,178.4182447,182.78249,12.84708511,3.596171675,27.29621721
331,80,3889.005737,9693.096785,110.1037059,100.1793123,11.48506719,2.525890326,18.84253632
332,80,4214.638545,817.1580539,173.6990515,229.2803787,13.04039473,2.64996698,19.79568182
334,81,5949.959778,4472.223585,135.1300121,89.64727266,12.40842904,2.202596101,25.07550973
335,81,7119.869442,1701.285846,182.4185004,130.971066,15.39765236,2.723501646,31.53613818
338,82,3888.79228,9704.735465,134.0235853,82.35796934,10.16197029,1.697970103,24.42834848
339,82,8028.197591,1629.827027,168.8586801,141.6361708,14.63978094,2.752225608,26.81544171
343,83,2945.510266,9721.839168,129.2663366,75.88534345,12.04907059,2.53025418,27.8076521
347,85,7404.02684,4738.162222,185.3564683,118.9884061,13.32897283,2.098749436,30.91836384
349,86,2863.19455,6905.017701,137.3289904,81.9197307,11.71378771,2.194484139,27.14863889
350,86,6321.818498,3618.621266,165.0146154,89.62656763,12.66510838,2.985651691,37.93696191
351,87,2101.312408,1492.225476,153.0167563,96.63799132,12.04035399,2.576655717,29.82069854
352,87,3814.172368,4820.498902,149.036494,196.0450087,13.71737181,3.246186553,19.24276416
353,87,3874.678483,9650.19792,109.1035156,85.15657182,11.96172673,2.632285522,20.91744035
354,87,6192.257338,4702.372857,133.2680195,86.62964127,12.97336279,2.267814737,25.43374523
355,87,7222.308354,8593.608211,135.6221751,225.4694079,12.00395703,3.578794584,16.00930634
357,88,6267.171319,3585.150429,153.5244757,111.630299,12.74588898,2.739991852,27.74844163
358,88,7282.5654,8564.241337,115.6631423,79.22749636,12.97230772,2.053259958,21.96920494
361,89,3159.01668,9162.182521,118.7640119,68.93233968,11.4961292,2.329229908,25.75254691
362,89,7256.144346,8592.788855,135.4121681,179.7663232,12.65856946,2.816115883,17.23009245
366,90,3383.413129,7798.883153,187.2426035,323.7413718,12.95740704,4.224807288,20.70488869
367,91,3151.688583,9157.820029,118.1858008,78.08213046,11.04365864,2.665499722,24.66387101
368,91,3836.464147,4794.619353,166.5898304,165.0030582,11.28844983,2.392918132,22.54634835
369,91,3887.030516,9698.685614,109.9113382,69.84371027,11.33935147,2.175224936,22.70340888
370,91,6870.739681,6494.123179,94.45135863,63.83073181,13.27944186,2.407530993,20.5935913
371,91,7864.270791,2949.135005,158.1141176,122.7792336,12.45747526,2.503627541,26.07197279
372,91,7845.973227,7925.295061,139.2811115,317.470865,13.64205566,3.242783103,12.94134492
374,92,2619.402943,584.6027875,138.4414794,158.4597708,12.12511289,2.266073481,18.14164572
375,92,4173.21843,6357.451812,187.6768449,176.3714202,10.84869873,2.167572201,24.40233215
376,92,5347.851842,1577.924745,212.5896389,200.5881383,14.19559393,3.371521091,32.05879536
377,92,6278.077401,9041.673733,165.0362359,307.2433841,13.44109047,2.79435495,15.63606637
379,93,3836.315956,9703.016977,120.9237439,108.0926707,11.43218011,1.983792736,18.99990466
380,93,6321.070554,8991.864529,219.4706099,158.6855361,10.99988058,2.302893674,33.16975572
381,93,7491.864852,9229.499696,135.9584957,106.1043916,12.63845518,2.589928883,23.84103314
382,94,6253.096736,3367.518199,157.5070457,90.50218163,13.36528843,2.321817624,31.13673507
383,94,6968.333291,5652.376947,145.8932605,117.7338509,13.38609856,2.504222427,24.10231268
384,95,3788.125361,8152.568391,124.9148657,164.3568062,12.12233556,2.330613426,15.84046323
385,95,6976.627043,5638.541041,173.0580266,148.5379067,12.07746292,3.197459982,28.73419033
386,95,7447.762936,3274.543262,205.998781,226.4917446,14.57837133,2.72196475,25.28792209
389,96,4100.547018,4197.497068,133.3831753,72.97254125,11.58005981,2.607280933,30.22488223
391,97,2878.326737,7896.642689,243.984681,242.2762422,10.93153782,4.024498515,38.21221315
394,98,3033.097795,8086.619466,86.55714982,64.24890467,12.64694731,2.532266405,18.76250309
395,99,3204.343692,3353.861645,111.6844404,78.64901813,11.87456967,2.182905557,21.49379842
396,99,4400.05075,6813.904693,182.8348807,131.3112159,11.87835899,3.032771984,33.32577584
399,100,4364.995569,6629.189697,160.0295998,105.9057258,12.48323989,2.402375654,28.89790199
400,100,4800.663738,4272.778425,123.5132538,87.33492569,12.31276713,2.708353235,24.36213355
401,100,8135.080151,7485.709825,111.9817485,100.8490692,13.24210546,2.236537811,18.59482923
403,101,3861.694777,9686.686914,83.8009359,67.11417363,11.73411542,2.159635511,17.06438514
404,101,4306.624287,6743.274085,191.4258954,462.9465371,11.11473815,5.269645966,18.2680485
405,102,2892.57549,9771.691606,140.878116,173.1768013,11.72949539,2.841905545,18.59205894
406,102,3864.849057,9703.49716,134.1922904,91.51436671,10.64309693,2.078693605,24.10623336
407,102,4285.858416,6669.541027,162.2591929,155.0892318,11.43340933,2.319680406,22.48371115
408,102,5868.278791,5570.136663,171.6730558,129.2102464,11.47257428,2.382399284,27.61500735
409,102,7442.876023,9231.235581,127.8981063,108.9017191,11.72462104,2.730709317,22.02676456
412,103,2901.835037,9754.279895,147.0857761,156.9169572,11.19460583,2.636198198,20.47007894
413,103,3060.114301,8061.269442,153.2685683,172.3991331,11.73198254,3.020589399,21.24167714
414,103,4324.3864,6681.061748,201.4182362,125.1235187,11.34377616,2.025190282,32.99724938
415,104,2874.381457,9784.977675,144.1973654,193.1767625,11.55006502,3.126209889,18.37058402
416,104,3521.50141,3591.801591,148.419998,282.8876096,12.35855052,2.746981502,14.42923881
417,104,7140.77706,4896.743995,179.5074167,215.4303961,14.40112551,3.55790871,24.22994948
418,104,7786.074173,2946.030996,189.4797387,124.4195327,12.61508721,2.958254585,36.18923719
419,105,2925.453174,9792.638521,124.4175948,116.5609406,11.63835339,2.19955354,19.17498994
