"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,1,7493.53495,10839.98316,178.16503,6336.88456,36.98114,32.31448,8.59293
2,1,10609.03247,12772.98519,159.22741,2975.962,22.30413,11.63379,6.99044
3,1,10914.21089,3567.61127,156.753,2411.1058,24.64148,11.99645,8.14202
4,1,13467.03578,6865.49172,148.79772,2805.90032,28.87137,15.9584,7.87363
5,1,16489.24505,3896.04362,155.84641,2522.27759,25.96695,10.92892,7.44008
6,2,7503.84835,10852.91542,182.10364,6531.15014,34.885,36.4665,9.55867
7,2,10615.6693,12784.94198,153.85219,2979.55927,26.19259,11.20103,6.53851
8,2,10930.17553,3576.45185,154.10824,2451.28114,25.16986,10.49728,7.33688
9,2,13473.72524,6865.6101,149.96907,2929.19263,29.94574,11.9551,6.5897
10,2,16495.71666,3905.05758,151.60522,2655.57947,29.76234,11.85708,7.16926
11,3,7500.5393,10844.28294,179.49774,6574.75919,33.9388,42.18984,10.45817
12,3,10616.02904,12768.92263,150.41214,2937.39813,28.08781,14.27407,7.23607
13,3,10924.11447,3574.44842,154.64992,2448.19129,25.47665,9.41348,7.02198
14,3,13468.16478,6866.75373,157.89946,3047.59235,27.60062,13.33208,7.27386
15,3,16483.66797,3898.84672,151.24848,2686.31158,26.99598,10.6363,6.72644
16,4,7497.21389,10850.04829,177.07257,6488.66422,35.29673,36.7541,9.21917
17,4,10615.91159,12780.40058,150.80268,2872.20341,27.89755,11.4324,6.59591
18,4,10916.86239,3585.02777,154.54623,2484.03356,26.69432,10.03373,7.14266
19,4,13462.24943,6861.82836,152.51556,2858.49211,28.96401,11.37868,6.70876
20,4,16487.90171,3898.26524,145.6268,2526.45018,28.95392,12.60109,7.25292
21,5,7501.4634,10850.96573,182.31474,6744.49584,31.37995,33.26104,8.646
22,5,10615.6943,12782.85623,153.2971,3026.80931,26.73825,12.5954,6.80443
23,5,10928.74126,3575.05389,151.74594,2400.35456,27.90484,10.94721,7.44182
24,5,13470.62261,6862.43893,150.64384,2805.62449,31.12175,12.37589,6.96593
25,5,16491.5193,3903.52254,151.99788,2495.86118,28.12651,9.59537,6.82158
26,6,7495.21771,10850.54473,183.12411,6477.80293,31.79517,35.23675,9.45687
27,6,10616.16689,12768.3798,155.69192,3071.375,25.36656,11.31155,6.53053
28,6,10911.79331,3574.62653,153.03042,2577.71079,24.28086,12.58805,7.6652
29,6,13461.39536,6861.14989,145.074,2800.19673,31.86906,12.43154,6.63048
30,6,16489.00668,3896.38039,153.219,2637.61978,26.41612,10.1774,6.80138
31,7,7492.98014,10849.35389,183.43151,6650.8126,32.501,34.71707,9.15172
32,7,10615.56475,12772.95574,153.86648,2993.36143,27.35741,10.68059,6.37854
33,7,10927.23311,3567.12427,150.53853,2345.85603,28.25457,9.33741,6.95642
34,7,13473.97873,6856.78261,151.52945,3005.86804,30.49855,13.9028,7.08278
35,7,16485.88693,3895.89614,141.70274,2537.08175,31.05567,14.12257,7.39023
36,8,7498.85518,10841.4298,179.19786,6464.12587,34.36183,40.27834,10.18564
37,8,10609.1252,12775.32714,157.09808,2994.60954,26.25609,11.84606,6.88783
38,8,10921.15114,3571.38995,152.79962,2441.71204,24.87497,8.77108,6.71921
39,8,13467.61503,6860.29908,146.70938,2784.65056,30.97242,13.77646,7.13367
40,8,16483.99506,3903.7741,152.10045,2604.78267,28.40931,15.62458,8.53066
41,9,7498.89663,10850.89979,177.56629,6322.43713,35.64854,35.99272,9.32432
42,9,10614.77749,12780.97923,154.6993,2923.71315,24.50943,13.19925,7.25074
43,9,10922.00427,3577.61984,150.86458,2521.72021,27.51548,9.86217,6.78366
44,9,13469.18514,6869.72998,149.9603,2846.75132,29.47048,11.56335,6.6234
45,9,16499.07422,3908.04105,152.60222,2620.2083,27.65588,8.78523,6.38834
46,10,7499.24213,10849.34712,181.06673,6517.96422,31.56369,40.18435,10.27388
47,10,10619.03433,12773.83398,156.16315,3013.90953,25.25606,12.81677,7.07161
48,10,10927.40334,3575.06443,148.39844,2257.26372,27.37871,9.79926,7.16564
49,10,13473.57349,6863.70624,149.66274,2888.39827,31.17544,11.01628,6.39049
50,10,16495.58719,3900.45164,153.00014,2660.94325,28.8609,11.4788,7.13585
