"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
1139,2,2017.52112,11081.61242,365.30129,2088.98249,3.23877,23.34189,72.24831,1
1140,2,2083.1511,11035.12313,380.57053,3409.6963,2.78515,34.79597,66.43961,1
1141,2,2840.54131,3292.96064,129.11849,1285.88396,4.78571,26.09334,28.95528,1
1142,2,3830.71104,8812.67723,140.46592,9890.08936,5.94615,87.99532,17.87195,1
1143,2,3874.74052,12182.40293,140.49079,4533.76195,4.81515,62.59998,24.31939,1
1144,2,4757.20853,12493.57541,121.26599,1087.90588,4.60864,24.28854,30.94743,1
1145,2,5471.94224,7804.23797,199.88544,1582.59597,5.24301,22.04672,39.66825,1
1146,2,6021.97013,13345.67743,155.59069,326.00576,4.7455,3.16273,25.48899,1
1147,2,6494.92235,2960.13891,163.84343,283.9645,4.54496,5.88509,44.59995,1
1148,2,7187.44304,5614.99879,137.63597,3982.03437,5.24265,50.44316,21.91913,1
1149,2,7610.17891,7337.0389,132.44715,1267.36259,5.27672,19.31293,22.85685,1
1150,2,8309.8321,11472.57254,132.98351,3823.87476,4.76071,64.6455,17.64595,1
1151,2,9188.05413,7513.58418,135.99853,5874.21316,5.99862,71.6136,17.08714,1
1152,2,9269.78248,5728.43132,147.1885,1334.68016,5.05577,17.46672,40.68046,1
1153,2,9527.8094,12827.82325,139.41193,3745.30808,4.80593,56.6349,21.78294,1
1154,2,9883.94585,8675.8573,143.21161,5189.24316,5.4071,61.87803,19.41607,1
1155,2,10280.97014,13508.91656,119.26192,360.82269,4.93685,7.54078,24.65157,1
1156,2,11483.20076,7711.78584,130.71198,1558.68946,6.4536,16.31698,16.23501,1
1157,2,11625.13887,5727.21726,134.9645,706.71927,5.59367,10.54861,15.29504,1
1158,2,12574.51551,9770.89675,150.6979,245.95767,4.77355,3.63003,25.95167,1
1159,2,12666.19052,8124.57665,109.80533,180.32608,4.53599,3.236,20.91448,1
1160,2,13210.5409,6279.50867,134.09811,7537.43643,5.90576,76.5316,18.44077,1
1161,2,15025.04858,5960.59729,139.74247,1876.56903,5.37495,23.08547,25.89603,1
1162,2,15381.83946,9494.10486,139.42149,2442.80935,4.82595,39.6096,29.96608,1
1163,2,16993.87324,7032.21465,132.97533,3219.85474,5.15929,44.22346,33.07291,1
1164,2,18014.49286,12464.35522,136.28571,2917.01685,4.68225,54.73039,25.39809,1
1165,2,19066.47062,4759.07477,133.35956,2159.0759,5.32782,28.00117,22.17967,1
1166,2,19210.12216,8394.33441,137.06977,3593.29993,5.06025,60.07611,28.42292,1
1167,2,19948.52904,6985.79919,132.3974,2399.87302,5.00871,32.08342,26.67416,1
1168,2,21356.8581,4366.58528,139.21385,3930.89982,4.6966,63.93175,27.10973,1
38,3,6584.49769,3006.79571,177.16658,81.5835,4.59294,1.76903,47.11941,1
1169,3,2752.73392,1612.54893,130.79569,2341.85267,4.70004,42.38616,28.84939,1
1170,3,11549.49952,13167.33726,140.37442,775.19373,4.66495,16.55966,29.94452,1
1171,3,11892.37852,14246.67919,139.96805,3919.65577,4.92159,47.27344,31.28394,1
1172,3,13222.71113,14183.88428,133.4327,1291.07203,4.65273,19.21768,38.37856,1
1173,3,16807.99554,12497.09265,146.33959,1090.1306,4.65462,19.02183,27.76464,1
1174,3,17255.37187,4920.75793,126.84101,661.35285,4.65589,11.7639,31.32828,1
1175,3,18275.09415,1710.70956,142.16158,2345.19288,4.77927,33.66092,24.26856,1
1176,3,18236.14821,8799.55178,140.67821,5186.51854,5.05596,72.40981,32.29015,1
1177,3,21609.88141,11320.53269,133.36382,3338.82631,4.67427,47.17617,28.12938,1
1178,4,4677.66308,7740.1486,133.06294,5945.48075,5.87266,81.87334,27.72242,1
1179,4,5253.37738,2433.27707,127.09896,3061.08671,4.92677,39.50577,30.93665,1
1180,4,6042.83008,11916.73976,132.46429,300.42364,4.78618,5.16805,22.7973,1
1181,4,17231.03898,4908.63928,137.21559,2423.31726,5.1567,36.47807,23.60483,1
1182,4,22040.79013,3103.97267,123.43312,2317.78866,4.80936,41.20023,32.55406,1
1183,5,2160.74193,10979.31135,333.58214,5491.46594,3.99167,64.68462,66.1735,1
1184,5,16826.39896,12518.72785,139.6738,457.36268,4.49383,10.1419,37.09603,1
1185,6,2272.11747,10880.00518,137.16343,5579.70672,6.96691,119.64253,35.19575,1
1186,6,2375.54364,10850.03421,146.46372,679.68475,5.85818,10.07617,28.69261,1
194,8,3883.13117,12262.20636,146.63675,57.47355,4.36228,1.48126,43.14752,1
206,8,11469.19766,7770.30177,169.09354,65.2018,5.06728,1.44004,47.25183,1
229,9,5492.52122,7709.85616,150.33955,133.4331,6.2571,2.28882,29.46609,1
1187,9,21675.30417,11391.89151,151.10077,112.34823,3.84204,2.1817,40.45639,1
1188,11,18298.98957,1692.29544,142.94516,1872.99816,4.77765,27.54388,26.5342,1
1189,12,5479.71715,7991.84498,128.78531,1375.02111,5.48475,26.33104,25.6761,1
1190,12,18073.19284,12417.6574,155.46746,126.85785,4.79627,2.70863,48.71821,1
1191,13,2823.00244,3300.18843,132.73906,1410.74737,4.63493,25.04294,26.81969,1
1192,13,17879.71322,13456.18731,126.29316,703.8329,4.21311,15.45153,20.87103,1
358,14,1922.77644,11136.0717,372.34581,337.88431,2.71242,4.1737,85.24558,1
1193,14,4506.17382,4071.22079,158.75512,147.46782,4.50116,2.94682,42.2431,1
1194,16,5477.30512,8016.86054,139.42729,1185.62948,5.48827,20.84885,27.75358,1
450,17,15014.84675,6039.18347,101.3919,43.12413,4.79692,1.13085,30.13565,1
1195,19,2807.86314,3266.44702,146.06261,908.90138,4.67796,16.99231,37.45585,1
1196,19,19996.79444,6985.50236,152.54546,127.91504,4.47367,2.74664,40.96054,1
1197,21,2298.7962,10853.52979,143.58739,2064.95809,6.99564,33.22011,29.02052,1
1198,25,6901.84956,2039.91862,125.56938,107.867,4.34071,2.24604,33.761,1
1199,25,15370.54977,9480.31925,144.02103,1064.48309,4.90093,18.05079,21.98806,1
765,32,2682.5004,1662.8715,109.37992,42.20408,4.65531,1.07256,32.84782,1
875,37,9466.48706,12753.78064,121.03493,82.54087,4.83412,1.68887,27.56475,1
1200,37,9903.27192,8669.10965,127.53899,1743.96297,5.28559,24.06285,25.54216,1
886,38,2112.45333,10945.6067,428.64283,774.31169,2.89578,5.67326,66.44646,1
1201,38,9192.57512,7484.8608,112.65347,289.87493,5.77454,7.40758,36.89546,1
987,42,19159.41731,8337.11104,92.69538,39.90643,4.80671,1.19646,29.08905,1
1202,42,2757.57724,1594.81655,134.78179,610.23164,4.62169,10.81633,34.50545,1
1203,44,21350.32596,4331.64148,123.55391,421.78056,4.72372,6.50152,24.90898,1
1204,47,5239.22154,2405.29103,139.88846,654.93935,4.97127,7.02918,31.11138,1
1117,49,6473.57674,2866.94049,100.11804,40.52143,4.58543,1.45971,33.63413,1
