"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
752,2,1248.56029,9986.46448,135.70966,1441.16218,4.50824,25.27082,40.9018,1
753,2,2489.21099,3794.63034,136.69013,2243.1624,5.24814,28.83741,26.52804,1
754,2,3914.73218,10056.26194,135.09082,2016.43047,4.60257,36.70688,27.11462,1
755,2,4814.08517,13432.12105,145.72305,2086.98426,4.92393,25.37289,24.07102,1
756,2,7523.78289,3719.91697,135.69614,7590.2844,5.20296,86.56143,34.04462,1
757,2,7614.19711,8930.2851,131.28871,2629.87903,5.48218,35.03103,25.81125,1
758,2,8894.03709,868.69148,131.81024,270.86837,4.39409,6.13889,36.82747,1
759,2,8940.01897,7498.45694,133.25287,4734.28169,5.67333,46.30436,13.06126,1
760,2,10057.17641,13746.47591,129.83535,413.58145,4.69754,7.75915,21.66463,1
761,2,10619.30537,12760.54087,154.7297,2301.14033,5.08002,27.75476,16.75231,1
762,2,13210.47282,10159.76026,135.11436,5027.15308,5.00883,72.25615,29.44882,1
763,2,14058.10795,13662.16006,137.36962,2380.44719,4.81264,30.89517,18.95403,1
764,2,16582.98884,5022.35252,136.67453,2748.71982,4.89081,40.82278,29.23557,1
765,2,16642.20117,8234.24733,240.02899,2641.47189,4.35424,42.60145,50.87081,1
766,2,17354.69414,3484.66868,129.15024,297.25756,4.86946,4.08173,22.00212,1
767,2,17742.27636,10414.52005,143.49692,1412.89072,4.93592,19.65651,23.03275,1
768,2,19465.65053,2307.19715,140.19235,2419.00707,5.02543,34.79602,33.00012,1
769,2,19519.08538,11616.56948,133.14601,379.14423,4.65607,5.45704,24.22575,1
770,2,20690.91056,8831.96109,141.87972,2119.95758,5.50118,34.70164,38.9801,1
771,2,21060.53406,13782.68184,128.39971,2319.33931,4.70027,38.23163,32.92586,1
772,2,21603.83761,8470.32351,139.64626,8168.23879,5.54996,92.12882,13.56755,1
773,3,2476.09104,3806.87429,127.75955,1259.77759,5.07,12.70589,25.32511,1
774,3,7967.93007,10026.64539,138.38354,583.66675,5.25378,12.93642,50.61815,1
775,3,8872.10268,851.27904,114.66991,352.1933,4.79371,6.73582,26.15452,1
776,3,16639.48708,7905.189,122.83129,1103.73145,6.23518,17.56423,25.68434,1
777,3,16662.93442,5062.83635,161.07059,1752.05797,4.85358,24.90059,27.72483,1
778,3,17599.18081,1304.26524,136.62153,236.772,4.35049,3.65075,29.39607,1
779,3,18317.09102,3293.03073,142.40656,481.54272,4.68443,8.15144,44.04078,1
780,3,18858.6357,12116.9241,135.81698,143.3095,4.25244,2.49419,22.42158,1
781,4,4822.26782,13396.74918,148.22374,2309.87038,5.02232,27.27561,27.08601,1
782,4,16530.41514,3304.33286,140.90302,687.65849,4.56957,15.11198,40.95748,1
80,5,16642.32318,3321.06285,157.50681,67.00473,4.7964,1.70801,45.40146,1
783,5,14124.26039,10613.67667,128.70086,903.3912,4.60207,19.00948,18.88777,1
784,6,9267.61321,6427.12635,125.33368,1847.93289,5.50553,25.27711,18.71039,1
785,6,16645.34688,8125.76999,264.36452,1142.07076,4.43697,16.54789,48.49671,1
786,6,18103.47314,9347.07198,124.7552,5405.43092,5.34383,70.2281,18.30183,1
787,8,16813.91205,5137.55435,144.5106,474.42019,4.8818,6.23963,29.98597,1
788,10,18922.16995,7384.30862,146.10153,1946.58549,5.21147,23.85989,25.38234,1
201,11,7987.40854,9929.63782,187.51394,87.28003,4.74385,1.65718,47.0748,1
