"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
849,2,3589.30432,11743.81347,133.00213,1026.88086,5.01407,28.16839,40.22497,1
850,2,3879.45595,11148.40232,149.7351,1939.0837,5.32342,43.80048,38.70698,1
851,2,6226.36824,5387.62778,140.25341,2663.18176,5.3738,42.48935,24.15121,1
852,2,6354.50684,7547.48869,136.41705,4913.72818,5.87837,66.68039,21.44647,1
853,2,9677.88818,12091.14953,130.48225,2515.10335,5.0528,40.48537,17.61434,1
854,2,10754.24414,3862.42323,140.4158,3828.80709,5.59837,51.50757,17.20527,1
855,2,10838.06349,9543.25557,141.23527,4218.90276,5.6224,56.46541,21.37521,1
856,2,11867.41819,8065.09109,128.68351,2362.68599,6.20889,41.30475,14.86411,1
857,2,12395.68464,2796.14792,147.13623,755.55525,5.77832,10.20118,23.87852,1
858,2,13218.03269,3921.98317,145.34289,988.24361,6.16596,16.93007,21.62775,1
859,2,13174.84546,13582.09538,135.85712,2742.57752,4.88555,45.10224,23.04674,1
860,2,13728.50629,3058.3005,202.17807,4759.97614,6.60549,59.10265,31.81257,1
861,2,14050.61842,3010.36886,345.86769,1377.13532,4.48808,14.73158,59.88564,1
862,2,15324.04732,5246.10754,122.95294,861.99662,5.92165,19.87822,28.57998,1
863,2,15545.99058,5902.86485,126.25154,1202.88242,5.56,25.78639,32.35222,1
864,2,16992.05769,8682.39904,124.60827,1044.35273,5.80199,18.19492,19.4496,1
865,2,17757.81919,5130.427,147.73602,769.43952,5.10802,18.77024,27.46061,1
866,2,18308.60205,4414.98143,135.39247,2542.55715,5.72177,40.35144,37.6277,1
867,2,18466.96831,8684.42181,133.26336,640.85735,4.80755,15.95936,39.38925,1
868,2,18843.85549,1845.09516,137.62555,1567.80467,5.10693,26.47397,27.25529,1
869,2,20375.51008,8843.62921,142.38536,407.11308,4.77707,6.64842,29.49824,1
870,2,20520.89695,12912.18286,276.50145,434.97988,3.96965,5.84895,64.94288,1
871,2,20563.34416,10317.28338,136.53608,213.93236,4.5944,5.04386,36.46447,1
872,2,20942.79871,4393.43946,145.41714,6051.03508,5.35791,85.3792,27.60766,1
873,2,21329.17885,6617.57209,143.98708,1121.26829,4.90365,21.48105,27.30809,1
874,2,21817.50049,986.05199,143.60379,264.35002,4.63765,4.79826,36.93459,1
40,3,16746.02385,8265.60069,417.59367,653.59365,1.58265,5.77743,75.1545,1
875,3,14338.65159,2922.79781,149.10341,1082.32166,6.99143,26.64988,41.04133,1
876,3,14795.30379,13738.40486,138.91601,1346.5572,4.9652,21.52476,42.91191,1
877,3,15511.33143,5916.41729,131.67879,1081.97279,5.54839,21.04619,39.75266,1
