"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
19,2,18176.26258,1203.14045,133.59616,81.06403,5.26779,1.20032,28.23357,1
21,2,20818.83163,6376.60112,138.77166,145.77713,5.85117,2.12821,24.18002,1
707,2,2220.21254,10208.68127,124.0968,3022.00493,4.91148,50.51211,28.45742,1
708,2,2485.45949,2108.23291,135.66018,2768.17255,5.12392,43.50795,29.30837,1
709,2,3369.92633,6783.76515,126.82259,2836.76986,4.847,44.85389,23.30182,1
710,2,5590.76788,1919.17932,152.95713,1930.18814,4.71172,34.68481,32.7595,1
711,2,6674.24464,8329.1429,144.7557,5430.52722,5.35086,78.97501,28.65214,1
712,2,7404.24347,7016.16353,137.74327,6170.57403,5.54994,84.40585,14.24805,1
713,2,9396.8148,4410.90356,132.24218,1111.43729,5.02536,22.16377,28.51024,1
714,2,9423.51947,7834.80575,141.86074,695.40551,5.77042,9.69617,18.14992,1
715,2,9764.12941,10448.7709,143.22291,6189.70006,5.50568,70.25387,18.48513,1
716,2,10367.41962,14354.34491,139.69841,1304.30371,4.48572,19.36185,27.29834,1
717,2,11372.45239,4803.90474,143.64641,1966.01098,5.94837,25.96397,30.5024,1
718,2,12553.92142,6437.03346,135.45435,1122.72662,5.00154,22.43207,34.69812,1
719,2,12600.35969,11965.66227,147.21293,3235.3588,5.01051,42.97205,15.24689,1
720,2,13427.22837,1699.77383,132.98757,3113.38906,5.06517,48.91574,15.1572,1
721,2,16100.27019,11507.66001,136.89513,713.05296,4.99616,14.47563,37.63685,1
722,2,16717.47763,5711.92757,122.69049,449.19443,4.96253,11.44842,29.56374,1
723,2,17967.74645,3637.26319,143.39961,262.9828,4.66597,4.15542,38.33353,1
724,2,18047.95521,12560.13812,138.89158,3115.5163,5.02546,41.23367,30.0724,1
725,2,18448.10524,6526.69496,135.35763,3805.16383,4.97602,67.87005,26.34632,1
726,2,21309.47637,9843.08552,133.5191,2092.43229,4.92116,35.77207,22.85472,1
727,3,11228.4164,1243.46131,130.81984,576.11197,4.8491,9.76547,21.93515,1
728,3,12294.42968,1868.9954,127.05132,951.46825,5.17429,14.95286,22.37871,1
729,3,16401.8477,10639.75914,126.54819,1973.61363,5.09781,31.62787,25.33057,1
730,3,19332.83437,7608.12159,142.90349,835.55152,4.77901,18.99619,43.61769,1
731,3,20007.89743,922.20448,122.82126,240.18758,4.62278,5.99586,36.47677,1
732,4,11266.15381,4867.02073,213.66035,611.13765,5.78984,8.92745,44.46787,1
733,4,18039.33573,12574.98762,128.37231,1005.18483,5.00599,13.69056,29.10011,1
83,5,17950.16186,3723.11916,147.39242,64.10568,5.04673,1.41096,39.42749,1
734,5,8106.42848,9264.37138,130.86669,2549.58071,5.44972,46.0393,29.55492,1
106,6,16497.47744,10598.16247,128.2496,54.14637,5.31252,1.34217,36.34144,1
735,6,9446.91934,7102.21003,120.1493,404.09572,5.26196,6.2701,32.70563,1
736,8,12510.9022,6399.5693,104.72525,358.53051,4.72017,11.05191,39.03206,1
737,9,5539.90135,1918.94702,146.88835,695.74361,4.59771,13.90862,31.28901,1
185,10,19893.26032,965.11552,191.16585,77.52666,4.43648,1.16347,45.24127,1
738,13,11172.73575,1208.13451,128.58579,147.94604,4.34619,4.15501,40.59191,1
739,13,12550.90354,11965.63379,137.19597,726.94803,4.472,14.29849,35.77643,1
264,15,11174.68404,4913.12174,243.08073,177.38786,4.2596,2.38904,48.77704,1
740,16,2478.1286,2086.03252,141.8288,2514.78624,4.96395,36.59898,23.08909,1
324,19,19404.85339,7593.95745,146.07239,56.02524,5.13428,1.37398,42.36297,1
741,21,11010.4517,4998.78442,130.94736,216.81732,4.61242,6.38481,40.98412,1
742,23,8159.43484,9255.89696,110.72957,129.46309,5.24305,4.13192,26.1295,1
743,23,13430.23935,1682.17198,133.63629,1364.58402,4.828,24.25663,26.68857,1
744,23,19330.21963,7671.46821,143.08339,407.5552,4.7656,9.34168,45.33484,1
745,24,21707.68358,8885.04,129.91313,353.78298,4.55521,9.37644,22.19936,1
746,25,16652.80679,5727.62077,116.65395,157.55454,4.65685,4.19358,35.69192,1
747,27,8095.45117,9287.32614,115.31312,564.64927,5.11282,12.9962,28.96397,1
748,29,17547.12299,9453.9439,160.62288,99.55126,4.41825,2.47642,48.69732,1
468,30,17557.01833,9377.54144,99.5533,31.06819,4.62923,1.22845,37.60806,1
