"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
9,2,8895.00211,12125.75086,247.64305,170.80577,4.68572,4.17195,76.47822,1
23,2,16638.03049,4522.45452,131.2346,119.90126,5.10072,1.29529,22.02399,1
934,2,1358.52672,13768.99296,139.31638,1035.4497,4.21738,19.32928,38.45131,1
935,2,1529.06461,10572.65144,154.35185,2557.32848,4.67812,36.48776,32.27948,1
936,2,3814.253,3716.222,143.05804,955.61702,5.30195,11.71839,21.88337,1
937,2,5302.30964,14133.98533,125.33428,950.14748,4.53128,15.80919,20.50949,1
938,2,5973.30678,1295.81171,122.17746,2347.55182,4.74494,41.60575,23.39105,1
939,2,8186.0163,598.3496,145.17064,1011.39774,4.70697,18.53795,22.10714,1
940,2,8667.17942,12500.68028,138.5472,843.22826,5.11474,18.06387,36.87769,1
941,2,9090.30766,8153.00949,130.03777,4001.13154,5.50984,68.01955,30.40235,1
942,2,9302.71753,5924.45263,136.34547,5789.84358,6.05437,53.94717,13.56846,1
943,2,9958.88161,6976.83863,124.81618,5138.41422,6.15292,69.44015,19.80634,1
944,2,10020.43628,13631.16956,128.94643,673.6579,4.60852,11.71831,29.06052,1
945,2,11300.48867,4633.59296,140.84098,2392.5397,5.68275,33.73145,27.68673,1
946,2,11387.47567,3169.49781,144.24296,3301.81016,5.52682,45.72187,20.56806,1
947,2,11934.91901,9388.4047,131.60295,2142.82094,5.06576,33.40918,26.28399,1
948,2,13266.31868,8138.14737,135.10756,10105.57522,5.94674,100.89521,15.16446,1
949,2,13253.53475,13409.3144,132.3476,4416.23549,5.27147,44.74797,17.27962,1
950,2,13488.66487,9802.79386,131.09775,3781.86714,5.30238,60.01738,25.69128,1
951,2,13733.12037,14451.26664,139.96887,2165.03873,4.42848,40.2878,34.0287,1
952,2,14579.44236,5972.95633,128.36945,1399.82422,5.87954,17.15164,18.91363,1
953,2,15799.88282,9072.32001,145.21504,2736.92136,5.24491,39.44985,29.80452,1
954,2,15873.09545,12493.50126,125.75673,1154.17732,5.27747,12.97446,16.54999,1
955,2,18046.40657,1414.9107,133.96166,1954.48636,5.95202,35.75303,28.82603,1
956,2,18296.59439,9100.97626,126.81123,990.21217,5.35197,24.79686,35.89908,1
957,2,18734.05732,5973.28621,133.14993,324.259,4.93712,5.98496,26.84401,1
958,2,19762.52582,10694.19576,126.35384,218.37302,4.89186,2.73865,22.51249,1
