"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
4,2,2499.91058,9160.8109,145.76934,140.28552,5.50653,2.37082,27.68506,1
13,2,8071.45888,9040.69839,335.29908,298.54418,5.09204,3.70142,71.94783,1
1040,2,1550.80626,11534.885,146.67684,4927.33562,4.73131,72.01378,21.2254,1
1041,2,1807.16464,8607.39964,154.91971,659.62036,4.78842,11.28661,39.80866,1
1042,2,2028.71017,3206.70655,148.73452,1354.59007,4.71848,24.33502,42.43732,1
1043,2,3921.24228,14337.77496,146.02888,1630.63619,4.39153,31.23996,29.05785,1
1044,2,5040.25235,4457.35452,339.32469,1808.69746,2.84789,18.79181,59.087,1
1045,2,5082.23005,11317.77265,154.18266,5224.96354,5.17232,67.81013,18.77749,1
1046,2,5114.40149,4443.69099,322.22776,3555.10182,3.37106,38.92144,58.74892,1
1047,2,6894.05174,7147.87744,160.06407,2155.76588,5.25032,25.43722,28.44002,1
1048,2,7093.07446,2313.65947,142.5045,2736.22078,4.87933,39.83763,35.79683,1
1049,2,7321.13136,10169.26175,152.6543,5591.90208,5.25607,70.27299,26.8727,1
1050,2,7920.26509,9277.39035,134.0977,1843.77463,7.26582,34.21628,32.40321,1
1051,2,8647.80494,3210.75659,148.33991,1611.29866,4.84395,29.60313,37.18233,1
1052,2,8665.58577,9630.68747,157.23742,4041.03898,6.22754,44.51114,18.64096,1
1053,2,10630.18821,11679.59835,149.26738,3206.77428,4.96588,43.7691,25.84663,1
1054,2,10992.14709,4332.96589,154.20977,3332.93334,5.16256,44.50771,23.73129,1
1055,2,12463.21881,9683.74403,144.95708,2088.57014,5.26306,24.54391,23.48139,1
1056,2,12615.67152,6101.56571,188.25269,3771.03514,5.7837,53.08757,31.42066,1
1057,2,13231.54964,8087.77393,158.18509,1157.54598,5.09414,17.09636,16.42822,1
1058,2,15206.55346,5530.30822,149.51515,5094.0835,5.20706,75.62106,23.27511,1
1059,2,15232.19081,10498.48352,148.576,4171.52943,5.24124,49.76362,21.06057,1
1060,2,15528.62823,8175.03547,163.03549,1625.29537,5.52124,21.21419,30.76817,1
1061,2,15944.70758,2522.30974,128.35689,301.11484,4.81593,5.41741,25.9091,1
1062,2,16234.51565,1232.9143,148.03309,3722.36508,4.79464,58.57569,35.54905,1
1063,2,16257.91833,14119.21114,156.3507,3432.21675,6.71603,48.65497,36.70211,1
1064,2,18201.17114,10166.94649,234.84024,2717.24293,4.53582,31.0205,33.70303,1
1065,2,19399.87919,7429.80469,151.47195,3049.12584,5.28484,41.72723,26.71852,1
1066,2,22029.01828,10015.51077,130.89261,263.06255,5.01354,3.98218,24.38315,1
