"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
881,2,2146.52104,5634.34281,143.68402,361.10988,4.64826,6.84875,42.22388,1
882,2,3322.48677,13419.52639,136.00436,3877.1442,4.60242,62.57966,34.15995,1
883,2,4529.87915,5850.66098,142.71429,3732.99288,5.18223,53.46119,18.00842,1
884,2,4903.34499,13005.94704,133.62363,2177.94,4.57878,38.96265,38.9693,1
885,2,7343.0093,2871.10239,143.68453,5531.74565,5.21457,67.49637,18.18362,1
886,2,7691.40785,13236.50215,134.62055,1869.07564,4.63621,26.04271,24.61596,1
887,2,10178.33974,9986.79606,128.92333,367.90367,5.19667,5.68053,25.14501,1
888,2,11393.25669,11630.5228,143.66325,4444.20607,6.4327,36.82412,16.74837,1
889,2,11801.64848,9665.71728,126.01989,1505.37578,5.46377,19.20804,17.61948,1
890,2,13075.32316,8122.67174,136.2238,6577.46082,5.28892,85.39543,20.94795,1
891,2,13784.23739,6862.42024,120.96162,1655.83812,5.98882,24.4933,24.49825,1
892,2,14622.89249,6470.07094,129.80691,2201.08484,5.24013,43.41018,33.10881,1
893,2,15065.05182,5231.92064,131.41365,5352.23607,5.26836,73.68535,21.32413,1
894,2,15442.48552,7944.73166,128.4135,2746.28103,5.18246,43.09116,21.70923,1
895,2,15452.20489,12739.61196,131.78767,1331.12707,4.64997,25.30229,26.39251,1
896,2,15689.71179,9955.14022,131.23451,653.85879,5.16379,15.79333,26.71622,1
897,2,16277.32648,12024.22344,126.80908,2470.96404,4.8761,37.13831,18.9608,1
898,2,16373.25297,8916.051,114.67278,590.23829,5.33127,10.38486,26.21379,1
899,2,16536.23937,10512.76494,140.54396,1927.92322,5.19778,26.94407,19.33857,1
900,2,17209.40944,3762.30049,143.66394,806.73475,5.06478,9.51091,27.33379,1
901,2,18839.45536,4907.97235,129.03757,4433.13296,4.8333,67.71411,24.06645,1
902,2,19780.45846,3532.70535,117.31832,271.01458,4.49227,5.60541,23.93727,1
903,2,20472.37906,7803.19876,135.98069,5557.62895,6.58755,86.27916,32.43662,1
904,2,20750.84701,12030.43009,128.31949,629.5678,4.67255,14.31127,35.011,1
905,2,21423.08836,5304.45321,133.90847,2319.12732,4.60856,44.40867,40.04896,1
906,2,21426.97944,12663.81843,129.73041,2891.4474,4.61211,53.62319,29.73258,1
907,2,21970.11921,9078.74931,126.9537,4212.87845,5.23624,68.71433,19.50988,1
37,3,12751.28429,9079.12431,111.86128,78.40406,5.62123,1.40534,24.45756,1
908,3,2181.2155,5650.20772,134.06291,1018.51914,4.78553,20.60802,42.65172,1
909,3,7184.60703,11757.50294,134.71397,1452.59475,4.72154,29.36276,32.23868,1
910,3,8509.33442,5306.72119,166.81836,370.58263,4.50166,7.84453,38.52554,1
911,4,8051.46707,1167.95468,130.10254,999.53841,4.87303,15.03178,20.40169,1
93,5,15696.26999,9708.08079,358.22219,217.16146,3.87506,2.51936,80.00602,1
912,5,10300.88638,6505.99289,119.10783,134.13314,4.55434,3.44606,37.83437,1
913,6,11304.56083,11671.65137,131.57465,457.06188,5.25178,5.33033,23.18469,1
914,8,15435.74924,12758.75128,127.10713,1423.85308,4.46302,29.12903,35.97796,1
915,8,15575.57178,9299.04829,128.77406,112.33318,5.94394,4.58612,42.61159,1
182,9,20343.31557,7715.6061,323.79845,313.76094,5.16078,3.91328,67.61978,1
916,9,2480.99306,8110.56449,138.78756,657.19698,4.43044,17.18254,33.89117,1
214,11,10358.07276,6556.52461,199.49651,77.8593,4.38495,1.34819,50.77579,1
224,11,17227.28974,14632.05259,107.21067,69.60141,4.46717,1.23068,24.23233,1
238,12,11823.82729,5190.03837,135.16726,253.27777,5.23098,2.73444,17.57286,1
242,12,14654.00552,6388.20927,110.73597,47.80769,5.21087,1.52734,34.55514,1
917,12,7734.07076,13261.25855,120.59294,530.32731,4.58412,10.06397,36.47126,1
918,12,19878.79467,7463.62151,152.20339,435.99982,5.62668,8.683,32.51121,1
919,13,4928.16677,12978.64031,140.4303,710.92006,4.40437,13.53845,36.81042,1
920,13,11572.74165,5197.0764,132.39557,278.42326,4.80851,2.73462,20.35324,1
921,14,1180.07318,2292.47289,133.60084,90.52507,4.21809,2.20378,46.52353,1
922,17,818.8888,8696.11729,122.72799,139.29597,4.46438,3.66183,33.99898,1
923,17,1394.5883,13078.93101,125.6349,566.48918,4.37014,13.82227,25.12128,1
924,17,7709.95748,13223.56047,125.99377,1155.77545,4.69835,19.17053,23.93725,1
925,17,20740.80078,12010.2603,130.38603,1028.51243,4.85354,24.55396,30.12444,1
362,18,15380.57557,7966.49579,144.79596,66.35197,5.16493,1.7923,41.62879,1
926,18,11251.94714,11633.62181,131.36417,251.39306,4.95474,3.30327,23.1823,1
383,19,15652.29587,9438.33893,301.2934,169.487,3.16387,2.09377,65.4451,1
927,19,7197.54113,11764.33314,137.48805,694.37779,4.36417,13.29676,37.2821,1
416,21,14559.99825,6436.55014,118.7549,36.73135,5.21597,1.4737,44.84658,1
928,21,6000.81594,8253.16181,126.85838,926.03639,4.60181,23.54214,42.58879,1
929,21,15638.34199,9939.83075,112.46183,190.45242,4.81763,4.99552,32.81503,1
439,22,15486.89771,7901.07257,116.88797,37.52731,4.89219,1.58592,44.68973,1
930,22,7360.87477,2789.82075,199.60309,236.89409,4.34704,3.27807,39.29614,1
449,23,3389.67577,13328.85188,97.97541,48.66647,5.04011,1.3511,28.24796,1
931,26,1462.28133,13048.63036,127.98835,243.50644,4.14492,5.82129,46.33706,1
932,28,3516.66435,2993.49251,113.00713,90.89341,4.48841,2.4258,34.8175,1
933,30,20450.56833,7820.47753,124.51947,409.59697,5.55458,7.83265,24.59633,1
934,31,15573.74617,9248.65991,148.99972,738.47926,5.10187,11.46425,46.86305,1
935,32,4537.98468,5829.67898,130.73202,840.24634,4.91378,13.67587,33.38228,1
660,35,18846.5006,4817.70584,135.223,46.43294,4.61658,1.43457,44.47921,1
661,35,20162.64099,7692.72823,382.60875,284.43626,4.18296,3.2408,85.39621,1
936,35,1210.70046,2340.22291,122.71661,112.37286,3.95761,3.26638,46.37297,1
678,37,1427.5315,13153.96025,97.90364,40.04323,4.42623,1.3946,32.47348,1
937,38,21994.64541,9063.89714,126.97907,309.23704,4.67593,7.83067,43.14394,1
730,40,20132.38677,7609.89774,348.34837,374.87744,3.99016,4.62428,74.83877,1
938,42,21402.26812,5310.01195,127.63539,157.5822,4.7852,3.82415,31.99968,1
939,44,21432.82553,12633.6628,139.00046,331.60041,4.42474,6.65604,33.28184,1
814,46,15527.19877,9223.35922,98.93905,31.76915,5.32259,1.36571,38.22865,1
