"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
1234,2,1697.32239,636.84323,130.42005,1358.82731,4.52309,28.69583,26.75001,1
1235,2,1984.4658,10461.29758,134.49218,3390.85334,4.98638,48.38132,26.73059,1
1236,2,2145.16016,12137.0974,138.50833,2777.8396,4.6634,48.66852,26.63238,1
1237,2,3041.36427,14121.68566,141.57538,1063.17995,4.22519,23.67919,34.36034,1
1238,2,3240.09697,12734.78779,125.83462,391.15329,4.83204,6.82727,32.25368,1
1239,2,3786.69458,11903.05579,127.31914,1014.7024,5.20073,20.0495,32.16291,1
1240,2,3905.82672,8691.10169,132.5617,1936.33925,4.95059,32.58858,16.31183,1
1241,2,4286.9601,2489.71808,134.27877,4466.06047,4.89781,70.14717,18.97498,1
1242,2,4427.85659,12692.67939,134.91381,1987.61574,5.21373,23.32383,19.85475,1
1243,2,5717.76634,4023.09526,137.12001,2152.8696,4.97829,32.36417,28.15675,1
1244,2,5947.27004,1488.96755,124.745,4036.08898,4.97682,67.22475,31.8549,1
1245,2,6885.87092,6576.24227,145.66212,1225.15283,5.38686,11.79277,20.51453,1
1246,2,7082.19391,843.89468,122.81303,2918.98193,5.2025,58.79069,25.96654,1
1247,2,7211.67825,10766.98122,123.8791,824.84881,4.58782,16.10146,28.68139,1
1248,2,7436.31477,1762.03269,131.38448,3569.34654,5.20497,54.41354,21.99909,1
1249,2,8697.37746,2728.04819,127.56141,466.68506,5.57527,8.17109,22.83166,1
1250,2,8872.03084,1510.22702,134.03148,1251.2694,4.87744,23.22942,26.54566,1
1251,2,9696.81479,3084.36146,137.5918,7477.16814,5.34579,99.08806,30.63338,1
1252,2,9993.67447,13990.0433,115.36656,1677.87236,6.01779,37.8715,33.95125,1
1253,2,11610.10953,3894.64264,150.50149,921.42087,4.70281,18.63065,41.24657,1
1254,2,12763.68673,3034.64105,131.05606,2447.13114,4.97442,36.65222,29.87119,1
1255,2,12674.01557,14026.46869,157.18982,3004.40478,5.79306,46.97342,20.26895,1
1256,2,12822.08046,5784.66767,127.32117,4601.48926,5.65796,49.35667,14.53573,1
1257,2,12899.01676,10154.71799,136.4344,1502.00874,4.76715,22.68513,19.52948,1
1258,2,14774.25492,10358.4988,122.1642,1727.41511,5.48383,16.95139,14.06822,1
1259,2,15603.69891,13971.6046,142.20605,3047.42611,4.98561,35.25916,17.95811,1
1260,2,15871.37835,5281.98649,131.44709,3436.97117,5.1848,49.68852,25.16043,1
1261,2,16159.07899,929.25155,134.20192,1237.39917,4.58238,25.09141,20.56246,1
1262,2,16146.47361,2663.6028,133.88558,3932.30023,5.0026,51.57815,23.99775,1
1263,2,17062.18409,9841.31276,129.50444,2617.5581,4.98235,40.82496,19.61467,1
1264,2,17966.24237,2469.39319,131.1185,288.92001,5.07871,4.16379,24.67261,1
1265,2,18428.49136,6659.7707,128.71295,1868.42327,5.68536,31.55352,28.13433,1
1266,2,18532.66971,10269.96258,125.38445,4576.61873,6.22357,35.26573,15.90513,1
1267,2,19141.04537,8734.95531,129.51527,828.16735,5.755,10.90879,18.47307,1
1268,2,19277.74945,6081.09029,141.27347,4059.68818,5.6073,51.66043,18.91704,1
1269,2,21093.05878,10732.12999,127.91797,3764.72377,5.22246,61.46696,20.58694,1
1270,2,21077.50788,13080.27269,132.51684,2841.9369,4.39231,50.89086,33.45953,1
1271,2,21186.61001,2234.90599,143.5459,1672.76821,4.77267,29.10378,25.56431,1
1272,2,21695.65471,3749.26032,240.58075,447.48702,4.57673,7.42789,44.36447,1
1273,3,1185.20516,3304.16671,135.51114,1037.5335,4.69733,21.83406,31.59294,1
1274,3,1922.57549,7690.52132,124.12214,1608.26911,4.88384,30.5413,28.80937,1
1275,3,8228.67663,12170.14411,136.73408,4851.70762,4.97016,68.02523,18.31686,1
1276,3,14515.14763,12410.13928,131.09852,159.66258,4.84546,4.17221,31.03242,1
1277,3,20757.1624,3860.43707,128.94284,957.9466,5.00342,20.98214,25.34669,1
1278,3,21506.69889,3852.93073,130.2689,969.06678,5.02338,19.0194,33.83972,1
1279,4,21415.28286,10139.07817,110.52286,534.13578,5.23646,18.35178,33.03595,1
128,5,14377.39084,5014.37769,148.35217,74.4949,5.01517,1.77888,39.4143,1
