"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
16,2,12055.70018,11235.07952,385.03647,296.77177,3.70997,3.56575,89.62532,1
796,2,2544.6229,3865.49118,142.73145,109.37838,4.19536,2.33556,44.29768,1
797,2,3499.74808,5678.50216,137.41337,3992.59444,4.90197,69.7539,26.63166,1
798,2,4132.03281,7941.88971,135.76974,1444.45735,4.71366,27.88561,30.52958,1
799,2,4839.27019,10024.01357,120.20474,877.27239,4.61459,20.12065,35.42992,1
800,2,6599.47007,6082.89511,127.83406,4173.82186,5.20516,74.14004,27.52596,1
801,2,6989.96826,7891.3557,130.1399,3300.074,5.55384,42.43711,17.58858,1
802,2,7453.3714,9973.26595,145.21356,5981.66165,5.53531,95.56487,24.76156,1
803,2,7726.38502,6324.26945,117.58313,1403.78124,5.31825,30.27297,25.23382,1
804,2,7936.33234,10679.72789,123.85181,1824.07426,6.41145,44.11808,36.35062,1
805,2,8468.2549,7952.52249,126.06793,1093.43283,5.56684,28.37122,36.49046,1
806,2,8366.03708,13239.48242,136.06365,1418.94541,4.50756,28.69863,23.91398,1
807,2,8915.62315,7037.36711,135.11132,3351.99197,5.95657,41.29842,17.47171,1
808,2,9289.44095,8158.3489,135.92507,855.81909,5.29605,19.68709,37.88639,1
809,2,10321.93786,11051.61805,128.23691,7014.43847,5.92531,82.60032,16.73514,1
810,2,10310.18632,11957.76641,130.02474,8950.00396,5.92422,101.37296,15.39715,1
811,2,12190.94918,11559.06425,157.45874,1613.41728,5.0262,25.89104,32.27241,1
812,2,13080.39888,9084.32786,152.34649,1874.9756,4.76432,33.80773,42.03066,1
813,2,14657.37506,13196.7916,141.90308,1844.41742,4.80514,26.99728,35.40121,1
814,2,15233.87939,6103.9729,137.67726,122.39847,4.644,2.77973,36.43677,1
815,2,17486.74334,12799.54064,132.89907,1719.65678,4.56876,28.81474,29.03473,1
816,2,19043.56166,8763.71817,129.58427,3464.87912,4.88456,54.2579,25.70713,1
30,3,7782.96752,10394.63558,609.62361,907.50459,0.5126,3.16504,68.32746,1
817,3,11867.57559,11114.16611,364.39863,618.08602,4.6961,7.03271,80.62712,1
818,3,12206.8729,11591.24669,138.54957,1286.48687,5.10432,25.42708,23.96209,1
819,3,17895.72795,2471.17034,120.23541,185.38059,4.35786,4.90073,32.19777,1
820,3,19880.1189,4650.00762,141.65724,778.21835,4.50268,19.42688,45.97006,1
821,3,21690.13409,3496.6945,128.96306,370.75004,4.58218,9.52012,31.19613,1
822,4,4859.75282,13450.94189,125.71139,1848.55661,4.59888,30.14999,37.72017,1
823,4,11810.96363,10956.59807,122.69031,1688.47614,6.14488,29.83198,32.03028,1
72,5,7908.63806,10743.94511,156.25403,102.84071,4.81096,1.84296,34.06586,1
824,5,6861.66419,14400.11526,123.3432,508.49561,4.47152,10.44951,37.82706,1
825,5,10176.22386,1756.97355,124.72586,441.92056,4.36235,9.79621,36.2879,1
98,6,12044.27445,11136.08393,359.40235,284.48398,4.85378,4.9377,107.93857,1
826,6,11387.75091,10197.64853,116.91918,344.62319,5.36617,8.05835,30.59346,1
827,7,7713.99942,6310.19366,122.16165,1011.5677,5.2592,21.14075,33.67677,1
828,7,8918.82872,7034.09956,133.36472,3081.08067,5.35319,48.32983,26.64314,1
829,7,14665.32872,13221.59173,138.44472,2264.26402,4.67285,35.35681,33.60656,1
830,8,8462.17837,7985.79007,129.16022,1181.15607,5.38953,24.80076,34.72562,1
831,9,22393.44757,13568.03855,154.89915,217.36351,4.5404,4.38123,39.93557,1
179,11,9171.31658,8145.47294,258.6819,126.67055,4.13371,2.15933,66.28038,1
832,13,4148.56939,7909.30678,154.14718,547.27777,4.57213,12.63743,35.21914,1
833,14,17342.14218,7286.63474,149.63204,1618.69497,4.96456,30.83808,54.21946,1
834,17,10234.42702,1726.25406,148.46577,155.91793,4.44125,3.74089,34.45499,1
835,17,13406.84736,6193.07674,103.88436,89.27474,4.74015,2.59755,40.36347,1
298,18,22378.97473,13501.83884,116.86744,63.7753,4.25279,1.02902,26.98816,1
836,18,19802.81158,4663.83406,143.65331,150.84276,4.36861,3.97066,49.48775,1
323,20,7883.57183,10637.15195,110.58254,49.97334,6.18963,2.08638,38.27433,1
837,20,8203.5311,2128.49998,128.10215,1008.0537,4.54472,19.41402,31.67306,1
838,20,19778.15013,13754.95912,131.96269,136.47119,3.93337,3.2363,34.95414,1
839,21,4869.38009,10032.62385,128.22393,941.48958,4.62464,22.18258,36.05872,1
363,22,17351.35838,7421.35925,79.06173,33.50262,4.41921,1.33883,28.28408,1
840,22,21726.72129,3450.71934,145.82921,277.62668,4.59353,6.11626,47.72602,1
841,23,3255.73095,2237.9671,129.51182,134.05987,4.44023,2.48832,35.40187,1
842,23,15162.16885,6069.72541,129.69199,142.63033,4.72437,3.62468,36.32337,1
425,26,12114.28572,11439.8408,283.20651,244.39013,4.25311,3.82876,65.71391,1
843,31,13121.66509,9084.9019,156.68799,696.85968,4.85287,11.50224,49.34603,1
844,32,8397.49442,13228.64504,150.89372,170.93313,4.52756,3.88015,42.92114,1
845,32,19051.45961,8758.00342,134.96075,1181.27576,4.83272,20.04023,44.75561,1
685,42,17300.7565,7269.13158,148.18766,90.0878,5.01425,1.49531,32.11145,1
