"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
8,2,5419.17612,4403.12083,98.95001,50.98417,4.90445,1.33775,27.6312,1
993,2,1189.25629,8454.31799,131.27033,1075.33262,4.59909,22.36702,31.12657,1
994,2,2422.24852,2761.1384,107.67229,205.44118,4.50247,4.13261,26.30039,1
995,2,2548.57441,8955.89471,128.47283,4767.85145,5.42406,65.94495,25.87284,1
996,2,2825.53719,9779.92556,129.51226,2596.23715,5.04926,49.59652,25.68926,1
997,2,3202.40779,1766.75257,128.92961,893.18485,4.80055,12.66144,21.84035,1
998,2,4821.63201,5433.09932,133.38295,312.62975,5.07776,4.8025,24.87898,1
999,2,4979.73682,7102.65028,132.2236,3411.65909,5.08847,44.66491,24.54436,1
1000,2,5357.65297,11536.08661,142.74943,2239.24282,4.66812,40.38363,29.69047,1
1001,2,6457.31026,3734.23166,130.53473,1761.67667,5.07284,29.7353,24.88085,1
1002,2,7296.10996,9279.55782,119.72404,735.05874,5.34703,11.61426,30.71554,1
1003,2,7425.2059,5867.64114,139.84229,1366.65203,5.22916,19.48461,26.36524,1
1004,2,7914.24489,10718.00817,151.69706,12768.99802,6.18014,112.95727,24.00144,1
1005,2,8121.65596,4344.82685,127.26596,3648.37377,4.93636,56.15799,22.5132,1
1006,2,8549.23223,12833.18717,133.17866,1998.75115,4.84962,26.19007,27.81899,1
1007,2,9558.5326,11943.30047,128.4258,2073.87648,5.39802,24.79408,16.33032,1
1008,2,10258.21213,7195.85757,135.12322,2365.60361,4.94411,45.66452,25.97037,1
1009,2,10810.63892,2130.03007,127.16554,646.18587,4.8378,11.97606,25.86217,1
1010,2,11387.21595,12516.53046,138.30026,1177.10396,5.30997,11.36642,18.09784,1
1011,2,11800.18551,8994.31883,145.71008,2891.11748,6.2106,56.94412,18.19921,1
1012,2,13969.9815,11703.51325,127.67817,651.95996,4.88201,11.06305,24.02933,1
1013,2,14833.78328,12701.79675,139.1822,1080.48838,4.63868,14.61417,36.83408,1
1014,2,15348.97136,7062.85661,133.90895,318.79766,4.77622,3.61888,22.81125,1
1015,2,15788.42672,3304.82469,129.49012,3214.51629,4.93543,47.26978,20.69474,1
1016,2,15828.34538,9860.58216,122.30535,2799.08585,4.9418,48.42713,28.02166,1
1017,2,18174.13606,6211.59062,128.93093,2220.73137,4.98282,32.49688,21.39357,1
1018,2,18509.3781,8867.05473,131.30161,192.70062,4.60364,2.92338,20.61601,1
1019,2,18785.86789,4209.44077,250.41627,575.72839,4.21666,6.43528,35.74754,1
1020,2,19663.37957,13125.92088,135.31753,3703.10395,4.79322,62.0913,27.41373,1
1021,2,19776.39515,3876.00246,126.47443,770.10101,5.28654,14.72492,21.26978,1
1022,2,19745.1436,8440.09312,137.83953,2853.6389,5.11212,36.74479,21.07579,1
1023,2,19915.76206,12417.7998,125.25469,3912.93411,5.36103,59.66178,27.06874,1
1024,3,6314.74924,4646.70046,141.35562,2188.72915,4.95017,34.88599,19.04852,1
1025,3,7080.79416,1185.7739,130.52806,999.06755,4.63644,23.37782,31.94199,1
1026,3,13536.91128,6573.42144,133.98807,7404.44907,5.55327,75.9284,28.02589,1
1027,3,14813.70303,12659.12772,119.16507,634.64492,4.73362,12.78154,27.17084,1
1028,3,18633.97893,4122.41873,147.33783,4469.18332,5.09006,57.18557,29.15661,1
1029,5,11549.9988,8969.21884,281.39428,4679.55066,4.51675,76.21512,70.36404,1
1030,5,13325.20614,4220.34139,126.58571,1968.02294,4.90208,36.94729,25.66022,1
1031,5,17499.34221,10861.41285,129.30034,283.54998,4.39243,6.44054,30.9359,1
