"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
1009,2,836.88763,10825.10154,155.2768,247.05102,4.39454,5.4745,34.97104,1
1010,2,908.21892,13224.37592,140.00667,1059.35865,4.43776,22.30896,28.08389,1
1011,2,1237.44674,2123.02093,133.50036,2862.65434,4.55869,46.44396,41.97836,1
1012,2,2141.31031,6080.88213,127.30056,7339.29174,5.48073,96.2285,18.46904,1
1013,2,3809.44798,4132.53877,151.40651,683.09306,4.69393,10.65488,36.03644,1
1014,2,4409.95857,7173.10936,141.88648,1179.18277,5.35306,21.95395,34.78819,1
1015,2,4854.06838,5522.79075,128.45301,2262.83973,4.85568,40.83234,37.56729,1
1016,2,5310.64559,10096.28648,125.83248,1340.45951,5.0751,16.52389,39.049,1
1017,2,6159.60415,3296.82419,123.76702,818.13921,4.6778,17.13375,26.86552,1
1018,2,6843.52887,5238.42261,128.91839,2135.50083,5.14855,40.14911,19.80569,1
1019,2,7578.25684,6420.74861,142.32145,1143.14625,6.41969,13.72197,23.72867,1
1020,2,8474.8577,2457.21032,151.52401,9061.56818,5.55813,97.24802,39.81254,1
1021,2,8576.58303,8138.4629,156.56999,1523.01319,5.03739,27.42961,29.77103,1
1022,2,9423.95569,6010.54409,130.60991,209.65244,4.75159,3.84304,30.25298,1
1023,2,9647.00269,12864.69902,128.15902,3732.18628,4.72222,58.42217,26.47584,1
1024,2,10251.79079,7359.22646,129.04743,1666.62163,4.8694,35.70826,20.23052,1
1025,2,12435.47766,11179.12015,124.97797,4642.80015,4.98172,67.30037,22.68712,1
1026,2,12793.67262,6389.82512,135.22825,1464.71164,5.02759,26.63976,29.86855,1
1027,2,13645.49467,4492.78375,136.29357,1495.17421,7.5957,25.01253,18.15649,1
1028,2,14070.20134,10882.71332,135.90835,6488.52234,5.39159,72.6611,21.03992,1
1029,2,14571.01635,7989.48203,138.62212,5752.48699,5.42927,61.8317,15.80982,1
1030,2,15203.19881,11841.27276,129.22706,5218.962,4.95343,74.23748,21.63448,1
1031,2,15665.45947,5530.99161,144.96299,6069.68005,5.32603,79.29354,20.74665,1
1032,2,15873.33258,2843.27042,125.74926,231.76834,4.58675,4.93076,36.06361,1
1033,2,16519.68306,11806.34358,120.53718,976.61262,4.62875,22.27464,26.94655,1
1034,2,16483.9919,13719.057,131.97274,1819.13052,4.54482,28.88443,33.72812,1
1035,2,16692.05072,6094.43346,133.71683,834.42618,5.3845,13.28856,19.25751,1
1036,2,17814.19738,7947.72274,138.63686,884.37572,5.04302,15.19535,22.60475,1
1037,2,18112.73486,10968.42419,133.34231,2528.30868,4.7207,45.02378,23.21454,1
1038,2,18972.96607,9416.53131,144.69915,3408.20431,5.03331,49.23068,32.80418,1
1039,2,20202.49638,12028.80914,136.69138,1713.2446,5.2076,20.54943,25.42919,1
1040,2,21300.15533,9413.65959,128.86597,926.10714,4.5964,15.74362,20.52366,1
1041,2,22241.37351,12114.83979,133.14629,2758.38931,4.43613,46.51118,31.84825,1
52,3,15705.7993,5637.65224,154.9084,73.85517,6.49665,1.93179,43.80707,1
1042,3,8570.61411,8214.02129,217.0898,1494.91568,4.74802,22.56331,42.19998,1
1043,3,16498.9342,11778.89104,125.49637,1089.58643,4.76193,20.33278,26.97479,1
