"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
751,2,3541.45133,9031.58482,139.11405,2237.69399,4.62224,41.58452,33.29875,1
752,2,7562.76393,13369.76351,142.00352,603.01971,4.60521,7.90853,19.5061,1
753,2,7677.8519,6870.10051,136.50669,5565.559,5.29976,71.15282,20.46708,1
754,2,7885.56693,4950.68547,139.52687,3990.18779,4.99517,57.21109,18.92205,1
755,2,7955.25546,7988.99499,129.19537,2491.47284,5.01819,47.0596,26.9376,1
756,2,9838.83674,7625.18688,144.66905,8672.61427,5.46835,98.84071,26.13136,1
757,2,10624.29657,14657.2409,128.09661,289.92576,4.05806,6.68165,34.66985,1
758,2,10943.57531,6138.64239,138.5699,7501.96289,6.10045,68.21517,15.42836,1
759,2,13018.37205,7455.85428,188.81887,3885.70245,6.20197,38.80316,21.73449,1
760,2,13808.51723,6619.15407,142.11532,282.26203,5.49682,3.9481,26.42945,1
761,2,15102.40334,10756.1875,135.98055,2328.88198,5.26015,28.22083,27.42196,1
762,2,15858.20729,8060.7671,135.0677,2121.98829,5.12598,33.76076,32.38388,1
763,2,16177.03058,5864.41534,131.02752,383.67602,4.64824,8.08217,36.76774,1
764,2,16954.08862,12041.25833,142.39085,2394.48122,4.90925,29.2914,18.58179,1
765,2,18563.063,1717.92116,135.70631,293.61292,4.36863,5.27054,20.75807,1
766,2,18620.89832,13740.46916,139.58776,2738.72145,4.46811,42.34866,19.48078,1
767,2,19677.25232,9218.13136,140.7715,2534.7207,4.93225,38.54532,24.29273,1
768,2,20537.86512,9863.59191,121.13734,2101.17794,5.5808,44.54438,26.70208,1
769,2,20816.23626,9465.93122,409.04874,969.77831,3.00848,9.58349,81.02009,1
770,2,21101.26347,1572.222,131.91667,354.80589,4.65145,5.90676,25.6323,1
771,2,21322.77604,6059.84116,136.3887,4726.42627,5.64331,46.02019,18.2788,1
772,2,22145.06752,2919.72294,138.16089,3633.60736,4.67876,55.14645,18.10142,1
773,2,22265.3965,12581.10483,129.06616,1911.35117,4.52098,30.08641,41.56086,1
774,3,4962.72798,14230.88459,120.79427,365.0604,4.21648,8.64602,25.86973,1
775,3,14200.93436,10477.80816,132.57339,3080.1144,5.0628,49.25774,28.09909,1
776,3,20907.41875,9250.61198,128.86715,838.83861,5.21068,26.85106,46.06251,1
777,4,20560.22132,9841.82506,124.79796,1932.19333,5.59893,39.19713,33.80347,1
778,5,4758.29188,3139.27459,121.72959,275.91598,4.3904,6.94755,36.6843,1
779,5,12841.09497,7475.64097,178.02107,4472.65004,5.65312,49.69825,21.68146,1
780,5,19661.73489,9225.11605,135.412,2937.8898,5.09617,40.22035,33.16781,1
781,6,16115.35961,5868.91876,119.23562,1374.9627,4.90534,29.04687,22.4781,1
782,7,10545.3365,14684.73621,131.91009,589.97863,3.88904,12.12844,35.02566,1
783,7,13080.5235,7461.37109,185.2226,1707.3847,6.12822,19.24255,25.5682,1
784,7,19417.27873,14503.32966,132.63612,1023.03332,4.09585,21.92194,45.63039,1
785,12,4780.26396,3096.35121,162.5124,434.04971,4.24379,9.23579,52.50807,1
786,12,14204.95161,10463.40537,126.46634,689.91993,5.18322,11.2207,26.30086,1
787,13,3567.86378,9062.56974,138.59594,823.5941,4.72514,14.84039,41.16024,1
788,13,13442.74985,2757.72289,146.2361,702.75355,4.5836,11.40878,29.86633,1
789,15,4981.72392,14180.9972,147.03526,232.51577,4.11473,4.7917,32.71455,1
243,16,7738.88537,6941.15041,100.56301,37.06784,5.63882,1.65111,37.79865,1
790,17,12802.04883,7517.38686,165.53901,1353.81042,5.78675,15.34218,21.99982,1
791,20,7939.65973,8043.62183,111.8441,176.18562,5.18344,4.83804,30.99158,1
792,22,7878.2131,4915.32254,143.94024,781.22609,4.75273,13.50325,36.01981,1
793,22,15851.21574,8071.50115,143.58447,2106.40618,5.05192,26.18334,31.65905,1
794,23,12890.813,7455.25677,196.6753,1958.27011,5.39541,22.01954,45.01868,1
795,25,10897.53324,6154.87116,149.87933,565.86566,5.15161,8.8629,37.08856,1
796,27,18540.18777,1776.40472,143.09233,99.69138,4.51098,1.97476,44.46757,1
797,27,22271.10135,12588.02502,138.06623,252.54304,4.47387,5.61096,45.46454,1
798,28,7675.98637,6837.73379,137.80793,562.86446,5.21124,7.03965,25.37283,1
799,31,14103.96319,9220.14184,133.37905,1563.81099,5.39919,22.90965,28.87087,1
504,32,20860.61976,9338.8748,288.66333,156.1485,3.89704,2.62767,75.95719,1
518,33,18459.25335,1746.31838,149.39748,52.0798,3.8532,0.91727,39.77596,1
523,33,21243.00235,6116.75474,170.09208,60.73742,4.40524,1.51007,51.27494,1
800,33,19484.03855,14465.73478,145.15663,106.3004,3.92695,2.41199,41.47342,1
537,34,16108.65452,5766.06558,94.84546,32.99599,4.81175,1.623,37.89802,1
541,34,20781.54415,9361.88604,352.24791,300.63708,2.7106,3.946,81.99369,1
583,38,3525.1327,8973.18183,159.53482,62.03122,4.56365,1.13056,41.15702,1
801,38,14110.93542,10496.59601,151.26989,192.56162,4.73433,4.26534,41.34502,1
621,40,20619.51339,9679.69911,334.66761,163.35059,3.5116,2.35185,86.64756,1
632,41,13454.39084,2812.99099,134.35746,48.94947,4.2471,1.42206,42.32351,1
701,46,15753.55064,7985.49498,229.03719,92.87052,4.49815,1.3659,54.59497,1
704,46,22035.10642,2880.12217,96.61393,45.65138,4.80487,1.24409,28.26565,1
