"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
3,2,4664.79267,13905.99264,120.54354,97.0884,4.35759,1.13875,22.08442,1
774,2,1411.60434,13393.66288,154.20267,1369.14383,4.07144,22.70385,28.20768,1
775,2,4569.83781,1695.06412,133.21926,322.37284,4.85868,6.19504,31.17642,1
776,2,6163.42182,12043.05429,149.72447,1051.11521,4.64192,19.57539,36.90974,1
777,2,6638.95715,3741.67738,142.1758,1621.82912,4.85171,27.48167,21.45625,1
778,2,7385.04558,11424.27214,148.22108,5214.38551,4.97941,67.30294,25.59516,1
779,2,10476.86333,8270.21801,142.09227,1831.65134,5.02909,31.28207,25.68119,1
780,2,11688.36821,4422.16078,141.87334,2512.08153,4.75421,44.28919,39.40791,1
781,2,12413.4654,6477.23422,186.85346,718.85166,4.8347,10.85474,35.53311,1
782,2,12413.91965,8359.42029,146.11235,5718.49872,5.69091,60.55817,23.44926,1
783,2,12714.69558,1613.16982,135.20854,11233.13437,5.50696,106.97336,13.57203,1
784,2,13180.84343,4999.58916,139.18702,792.19877,5.9785,8.35411,15.72991,1
785,2,16523.72826,2462.01279,134.48511,5899.62887,5.2559,67.08954,20.96527,1
786,2,17090.58004,12477.15792,142.66846,3541.01548,4.59154,53.26264,22.35162,1
787,2,16960.16037,14236.91437,144.87919,493.14774,4.32993,6.87506,22.60512,1
788,2,17520.21975,4370.29561,126.17585,458.57835,5.83141,5.20405,14.78967,1
789,2,18173.56425,8928.82391,145.16339,8702.69477,5.93138,98.35045,15.12045,1
790,2,18281.83028,4096.01978,138.68686,1450.61663,4.87636,25.8646,19.60799,1
791,2,19036.5627,9229.22226,144.55013,1399.44384,5.28235,27.55813,17.1323,1
792,2,19978.31981,13061.50673,142.02825,5038.72377,4.88275,62.44938,18.41375,1
793,3,3813.08156,487.08103,140.78884,681.89983,4.5422,10.79895,20.73978,1
794,3,4527.82062,1722.54688,134.85079,288.93292,4.58762,5.92548,27.4673,1
795,3,9233.34936,5384.62806,162.52157,1826.64979,4.79887,27.16635,33.15452,1
796,3,9996.77065,2165.49957,144.66318,2226.36186,5.01122,28.72943,22.77092,1
797,3,12324.66488,6500.88906,157.48798,1235.02643,4.93655,18.56428,21.57891,1
798,3,17507.13325,10808.62954,149.77342,343.32864,4.69496,5.64612,38.72515,1
799,4,9974.60743,2165.50752,143.61392,1237.76333,4.74544,20.06299,31.43263,1
800,4,18032.40069,9523.52651,235.39476,509.21406,4.58646,8.95606,52.07435,1
801,4,18275.07817,5995.82637,142.56961,262.87729,4.45458,5.37808,37.49457,1
802,4,19009.91682,9282.95027,139.01373,360.39623,5.60521,8.10176,32.48593,1
803,4,19403.16189,11607.69331,140.56804,1253.08158,4.83059,19.67444,24.23703,1
804,5,2489.87949,13906.82075,145.59011,655.73779,4.58698,10.18367,30.59944,1
805,5,2987.36991,7741.58737,145.41054,1049.37777,4.55129,21.68896,33.41539,1
806,5,12538.6164,6485.62771,171.26786,7051.55676,5.58146,79.1179,23.64749,1
807,5,18004.69835,9607.43905,152.66208,1106.94813,5.56396,20.11405,21.07145,1
808,5,20503.12449,1829.41209,135.77582,576.01392,4.31161,12.90507,38.13593,1
809,6,2997.46418,2123.04777,116.49268,83.92684,4.59188,2.25228,40.56085,1
810,6,7307.63594,7614.73963,143.04232,3707.05606,4.95475,51.11494,41.62372,1
811,10,17999.05966,9651.99179,140.83929,957.16748,5.45734,18.53467,38.94675,1
812,10,22176.13167,11337.16396,145.86105,291.87455,4.14671,5.37742,30.39126,1
813,11,19047.19595,9259.97965,144.59265,1740.44309,5.17481,30.56294,31.18233,1
814,12,6642.80319,3730.13048,134.40728,2355.33008,4.94584,39.84312,28.08851,1
815,13,6143.12908,12017.70431,163.6227,1260.04317,4.47216,21.47851,34.67759,1
816,16,22201.43584,11338.25706,148.61508,269.05404,4.37925,5.22228,29.53886,1
817,17,1690.13382,7112.38869,154.8227,168.48033,4.15742,3.85045,49.34941,1
291,18,6626.59223,3634.21671,180.73128,71.7299,4.65762,1.55752,50.13939,1
818,18,1391.37681,13395.81359,141.55132,572.33924,4.2534,13.3393,49.84352,1
341,20,20059.41581,8459.95182,96.99223,41.95731,4.62243,0.99364,28.18452,1
819,20,1425.06606,13307.78512,155.17541,211.12759,3.86827,4.32635,42.34175,1
820,20,3012.57518,12691.89561,149.20022,745.50012,4.50022,14.56576,47.72816,1
821,20,12411.34403,8329.44248,147.91627,1142.56283,4.99189,16.98268,41.79908,1
822,22,19135.41994,9262.66294,146.82539,117.79255,5.2476,3.53449,51.78687,1
386,23,17935.13798,9697.24447,101.17717,36.14996,5.21164,1.94154,41.80736,1
404,24,22385.41836,3537.30851,150.90771,65.52772,4.46276,1.41456,40.09139,1
823,24,6114.36987,12026.2915,173.28506,606.11291,4.46851,10.13776,59.74923,1
824,25,2965.01953,7800.09479,149.25039,286.54979,4.65209,5.34095,44.55391,1
825,25,20481.82403,1822.39497,129.57531,850.16504,4.45676,18.64966,28.70636,1
826,26,7447.89832,11372.06609,154.69297,145.23595,4.64406,2.78542,38.73113,1
827,26,10520.75236,8243.88678,190.94556,190.49599,4.31352,3.06637,50.54324,1
828,28,10441.8927,8220.38486,149.29877,195.87095,4.55903,3.24185,32.52596,1
829,29,3862.97548,492.43894,163.5122,135.06522,3.97748,2.73141,47.10695,1
501,32,1781.89656,7142.10429,134.49783,50.47092,4.26393,1.36619,40.81316,1
830,32,3000.10363,12733.61511,132.80481,557.95792,4.58602,9.79644,24.05121,1
831,34,17064.86616,12417.52403,142.82709,244.26149,4.36824,5.60309,38.35864,1
582,37,18282.37571,5875.20327,134.73034,42.91059,4.41987,1.07431,41.82913,1
832,37,20469.19157,1789.58121,171.50609,287.0126,4.21268,5.323,49.08452,1
626,40,18185.45574,6046.27227,110.6457,40.90623,4.67966,1.12411,34.4665,1
628,40,18255.23354,4008.21978,174.22564,64.9003,4.3616,1.66423,52.97285,1
637,41,11646.74286,4486.06238,147.09356,60.82396,4.53847,1.34703,40.05496,1
833,47,5976.3776,4796.82435,98.38105,65.48406,4.85067,2.46402,39.23877,1
