"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
10,2,9522.03426,2060.05147,126.48164,136.02944,5.34287,2.19156,22.77679,1
25,2,17871.20962,6216.58297,300.3286,293.9013,3.55056,3.29472,55.54872,1
31,2,22244.22355,10030.47776,135.75542,114.52971,5.08883,1.66424,25.38804,1
1074,2,2341.70257,4421.20371,148.63559,660.26917,4.70329,11.52513,35.96649,1
1075,2,4208.93075,4968.6944,124.68689,2022.95288,5.72228,45.19817,25.09584,1
1076,2,4181.15501,13665.82439,129.28395,580.68523,4.4094,11.23043,27.00839,1
1077,2,4862.62976,5630.05043,132.16272,3493.30527,5.78251,53.76136,26.72907,1
1078,2,5373.89277,1378.29457,129.77993,942.8932,4.92196,17.28433,24.2794,1
1079,2,5994.65405,6520.75782,138.00011,2489.96786,6.17567,30.20947,20.66611,1
1080,2,7606.29794,13854.04367,130.40627,1413.86405,5.32511,20.45964,21.53283,1
1081,2,7727.60032,13015.83841,157.13788,243.71711,5.04203,4.30793,40.05543,1
1082,2,9239.88846,13105.88787,142.5964,1921.83132,4.60767,35.36595,37.57058,1
1083,2,9499.29712,8349.90853,124.51261,2448.35488,4.97522,49.99761,24.69828,1
1084,2,10765.73794,13104.93562,133.47393,3705.56423,5.00835,58.35872,33.67616,1
1085,2,11973.78535,10241.82672,136.99604,2908.2399,5.64942,40.14582,22.97663,1
1086,2,12285.44796,13873.75287,134.83075,2494.56877,6.02681,21.76262,13.73875,1
1087,2,12503.5195,5713.14702,133.94038,1336.11453,5.19464,24.24058,25.18725,1
1088,2,12691.0579,12841.51843,134.41936,3641.01371,5.19578,59.91839,28.71785,1
1089,2,13601.76091,8232.76722,124.33706,759.31346,6.17692,12.70187,22.33019,1
1090,2,14284.69966,8608.55639,123.70808,6435.74435,6.37086,70.5304,48.74218,1
1091,2,14613.00017,12753.65557,146.58305,7458.94606,6.05616,76.22428,22.67789,1
1092,2,15757.57305,14646.80705,124.10226,2733.87846,4.81657,37.76535,20.79945,1
1093,2,16104.59975,3880.50033,132.33005,1635.03312,5.2012,25.98465,27.67246,1
1094,2,16171.14609,10928.69626,131.78941,4059.52445,5.4373,61.86889,29.69121,1
1095,2,17090.07611,9222.14748,134.19737,3391.03811,5.24752,50.30839,25.55939,1
1096,2,17800.98994,3297.95026,143.69458,1810.29264,5.98287,22.37322,16.56296,1
1097,2,18558.62267,13764.76853,130.60068,937.47531,4.51027,19.26618,30.47368,1
1098,2,18944.03617,6288.8732,123.04497,1010.40889,4.93365,20.08149,23.07242,1
1099,2,19334.53524,3073.62226,141.23997,1393.792,4.80558,20.51572,39.65332,1
1100,2,20095.34079,14668.40986,132.64293,341.45368,4.27615,7.68651,34.77807,1
1101,2,20938.20567,1094.86527,137.27654,1622.91461,4.63936,30.43628,30.01562,1
1102,3,4878.12667,4302.39642,131.35325,328.09487,5.53502,8.75433,32.79544,1
1103,3,18627.45131,13944.2202,169.39179,2815.17772,5.82244,31.68214,22.05722,1
1104,3,18769.92332,10851.04169,130.97255,489.17497,4.82641,11.50409,36.14894,1
1105,3,20578.2194,11813.21589,129.16055,2971.72881,5.44242,35.73149,21.86676,1
1106,4,6429.27383,893.05251,136.71521,1775.12045,4.79659,36.85249,35.59896,1
1107,4,9061.55398,6402.50875,180.94091,1050.44187,5.0554,17.60883,38.23105,1
1108,4,15124.62106,8266.95474,128.48893,857.19095,5.38464,19.8863,34.8246,1
1109,4,17109.8494,9230.63758,132.93241,1279.7489,5.02414,23.02085,36.03285,1
1110,5,2068.55436,7336.00493,124.46362,134.66135,4.50427,2.88448,26.47336,1
1111,5,5413.82162,1418.04028,144.22355,406.04266,4.65828,8.54442,36.63157,1
1112,5,5686.77531,11504.49122,140.88628,530.07228,4.75556,8.4705,29.16489,1
1113,5,5834.24022,8246.48282,133.26538,590.67447,4.83837,12.98985,35.41818,1
1114,5,7689.9988,13069.55678,181.68318,287.72204,4.66523,5.26174,55.85138,1
1115,5,8853.94842,6277.78275,148.86305,407.83436,5.40734,8.53312,25.49744,1
1116,5,15776.51342,9683.53681,118.55906,197.4969,5.15327,4.85436,30.79662,1
1117,5,17554.76747,4262.99826,131.01134,922.38174,5.12724,19.71247,27.66979,1
1118,5,21202.56504,5810.60811,137.50126,2568.06641,4.91611,44.51709,28.99215,1
137,6,17389.83253,11242.48607,113.39988,45.32729,4.81778,1.2587,34.40717,1
1119,6,10781.51319,13117.84714,139.04546,1056.65844,4.7863,17.49104,24.51503,1
1120,6,12481.65296,9458.03844,131.40357,314.3217,5.78036,7.6551,24.69516,1
148,7,4832.19058,4384.83648,103.44733,47.44879,6.60789,3.39272,48.13228,1
1121,7,7438.88519,4316.41887,135.95971,1767.68853,5.18142,31.12995,25.19619,1
172,8,4519.5791,5216.51789,524.55666,635.0527,2.79576,3.68358,80.61141,1
1122,8,5369.69913,4878.93303,129.91587,1722.03838,5.71332,34.90093,24.07287,1
1123,8,15782.73642,9736.06626,123.91466,536.97609,5.19478,12.62904,29.33419,1
1124,9,8290.45181,10242.36477,124.98012,2444.46882,4.99963,43.94688,21.58415,1
1125,9,8935.05761,6317.5459,230.83336,1479.05331,4.83534,19.9327,40.76665,1
1126,10,18808.85614,10890.10618,144.44165,308.87396,4.55675,5.76336,32.19649,1
1127,10,20048.20384,14711.12049,110.27643,157.17155,4.41114,3.7305,36.3568,1
1128,10,22131.42326,8532.32176,163.96636,1061.32279,5.04328,19.10403,41.20528,1
1129,11,17345.48968,11173.67371,143.31556,230.7512,4.9339,5.22947,43.0781,1
1130,11,17797.74216,6344.85617,126.34243,465.57875,5.01651,10.65802,29.59622,1
1131,12,9120.17108,6450.67425,136.03535,375.03683,5.08981,7.10691,29.85956,1
1132,12,17404.87888,11169.07527,126.05451,138.73434,4.94444,3.03436,32.11354,1
1133,12,22114.6251,8566.89001,150.99002,1290.17005,5.49996,25.92117,23.36613,1
1134,13,7590.28175,13814.00474,127.86638,195.39138,4.70852,4.56623,38.31781,1
339,14,7457.81666,4406.82393,182.99087,128.23788,4.44311,1.75764,35.36233,1
1135,14,5858.33597,8207.31973,123.57989,356.33972,4.6444,9.1044,37.0688,1
1136,14,22074.16221,8545.26839,130.35239,1510.23002,5.55218,28.41389,29.17531,1
1137,15,12283.73879,13888.4758,134.84563,964.44485,5.25609,13.67022,36.4932,1
412,16,22256.29803,9948.85284,131.38629,47.77113,4.74385,1.25888,39.87135,1
1138,17,16106.25121,3900.87281,135.59063,3099.98022,5.27677,38.738,41.09938,1
1139,17,18529.44262,13769.91262,124.84097,1098.94651,4.57924,22.43203,37.23765,1
441,18,4875.4744,5699.39506,136.20599,151.31898,5.97254,1.94958,22.31899,1
1140,18,7434.57315,4288.12224,148.71357,425.27111,5.27841,6.884,23.25263,1
1141,18,9459.22016,8361.5122,119.10428,355.75919,4.9406,7.62796,32.01765,1
