"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
23,2,15919.66851,6992.30276,144.25855,212.80045,5.2309,2.0781,19.5201,1
1140,2,2676.9683,4734.58031,132.60647,1090.35844,5.2352,21.62355,38.46922,1
1141,2,2792.32266,5744.41021,137.99141,2992.13481,5.19131,42.22838,41.93881,1
1142,2,4035.66688,8005.84094,146.5405,3149.66215,5.28343,39.37829,21.89558,1
1143,2,4606.24581,3776.99578,135.86813,12280.95572,6.31024,110.93135,11.4616,1
1144,2,4531.06497,5941.22012,131.47712,3942.90066,5.22566,54.90917,18.39018,1
1145,2,4920.90693,1156.0437,122.10547,800.50908,5.10109,15.74551,24.9649,1
1146,2,6498.12272,8662.45956,125.2892,3371.36411,5.57399,48.2978,21.85769,1
1147,2,9116.31904,14542.9649,154.87453,1551.92452,4.09596,25.15414,34.22118,1
1148,2,9412.53324,5806.85178,133.41721,1395.20692,5.99704,18.55101,20.9683,1
1149,2,10143.35362,5992.29691,131.21815,2373.38453,6.15941,42.94473,28.9785,1
1150,2,10284.9425,781.62884,123.89993,3644.36658,4.86231,59.28498,31.98384,1
1151,2,10895.05003,5342.30616,146.31321,2813.97929,5.84946,40.03614,31.75313,1
1152,2,10937.20978,10216.70091,137.60933,2730.68272,5.3176,36.15787,15.93055,1
1153,2,11806.26919,3009.69115,153.97597,885.22771,5.36292,10.64816,16.77461,1
1154,2,11840.97476,5356.63292,133.29709,1341.65163,5.16172,25.6488,28.02409,1
1155,2,12079.40641,10647.24038,127.87869,1726.90718,5.5746,21.76016,19.45999,1
1156,2,12752.63716,12481.91111,131.9985,1023.43981,5.33585,15.44192,19.2172,1
1157,2,13342.68394,11605.18501,120.79255,899.66098,5.44215,21.44989,22.29803,1
1158,2,14298.73994,12369.6835,141.85009,2296.04635,5.00736,35.03185,23.47019,1
1159,2,14496.88733,1683.50921,141.61985,1798.05439,5.42712,22.36901,21.82106,1
1160,2,14517.77227,8373.80911,132.60413,5692.16812,5.88161,54.91702,25.45578,1
1161,2,15880.28347,5729.0946,153.88675,797.82905,6.06161,9.40894,24.19983,1
1162,2,16229.73741,10032.81894,124.83596,4312.54557,5.82928,83.36987,30.60788,1
1163,2,16881.44114,10569.47515,129.93343,5297.42903,6.58572,82.67161,16.8023,1
1164,2,17000.27645,2454.21474,143.17849,4286.87799,5.32377,46.10335,20.26292,1
1165,2,19201.26847,3357.67495,138.95934,2506.01303,4.78573,39.16034,24.74356,1
1166,2,19221.99345,7322.53168,127.38577,2538.81366,5.78844,26.70535,21.31439,1
1167,2,20098.01338,12015.2767,143.88515,1629.06983,4.84669,23.83433,34.1387,1
1168,2,20387.76842,8252.40451,139.75151,5060.8619,5.05849,70.55207,19.24312,1
1169,2,21446.95038,6476.37429,136.80386,1890.14218,4.96491,28.93345,29.80845,1
1170,3,4436.62226,2959.63887,125.87133,1748.77764,5.7087,37.19644,18.449,1
1171,3,5767.33745,8335.90955,116.91901,841.82513,5.14907,21.44337,25.54915,1
1172,3,7618.29753,2740.54919,121.22371,297.33566,4.65282,6.46498,23.11454,1
1173,3,9278.96435,7096.52554,277.94156,1076.33528,4.53742,17.35601,69.92245,1
1174,3,10204.45196,2865.64751,121.37989,910.29883,5.32815,13.69958,37.17052,1
1175,3,14537.23288,1681.06062,145.03706,1571.3648,5.29545,22.94676,30.28881,1
1176,4,9461.85382,7159.1156,144.24741,546.79431,6.2548,10.47717,34.45282,1
1177,4,17299.77982,10574.04771,261.16802,468.83245,4.79329,9.10264,67.32964,1
1178,4,20145.35199,12035.19546,145.40508,1126.59929,4.95905,14.44597,23.71078,1
1179,4,20873.50014,10795.66965,138.06581,1739.93725,4.6881,32.36156,31.61905,1
1180,5,15741.52934,5768.24019,133.94502,1543.80473,5.41122,19.17715,15.65901,1
137,6,16495.48485,10229.58305,427.37842,579.7732,3.40419,6.64774,99.14712,1
1181,6,1625.60178,12256.01343,129.84381,808.99472,4.47838,17.88376,30.31759,1
1182,6,3676.71069,487.16737,149.0061,242.3998,4.75686,4.08376,32.60538,1
1183,6,16849.82188,1556.17777,124.40924,2462.01634,5.12045,45.25625,24.73733,1
1184,7,1409.95099,8187.77011,137.69817,932.75395,4.47804,17.34559,37.37957,1
1185,7,5758.24988,5516.25671,142.31247,1004.47582,5.44673,15.21009,14.92502,1
187,8,9031.30961,7084.69701,202.47089,154.22721,5.57468,2.49252,42.21338,1
1186,9,2763.20475,5733.01194,137.10158,2692.82795,5.46041,32.21674,23.08453,1
1187,9,12431.7939,11810.90379,136.76372,928.62839,4.99635,17.36948,40.74776,1
1188,10,8974.44371,7017.41717,138.76572,2726.31599,5.38067,49.39427,32.89604,1
1189,10,14281.38885,12352.86636,142.17483,1638.58848,4.79014,24.27607,39.65315,1
1190,11,9660.60561,5873.51715,312.53399,513.15011,3.85338,6.64155,62.59555,1
1191,12,9385.55841,7133.06803,213.9874,538.04764,5.03885,9.62944,35.27334,1
346,13,16580.37303,10414.75629,439.69698,487.1882,4.10883,5.36384,101.89665,1
1192,13,13559.29041,7252.14751,138.38765,821.77681,4.85215,15.97426,32.04119,1
1193,13,18257.95385,1099.724,134.96749,428.41279,4.67613,9.03994,39.93279,1
1194,14,4423.74131,2984.30775,126.8178,862.25638,5.89277,18.81245,29.4805,1
1195,15,3842.63336,7201.16587,133.53401,262.7379,4.7122,7.03091,33.91678,1
1196,15,4013.06801,7954.60486,129.38755,252.1464,4.96875,6.53963,30.33038,1
1197,15,5834.05997,8360.46699,119.06412,95.29489,5.35722,4.14412,45.10076,1
1198,16,9122.56469,14612.50404,125.93916,172.64803,4.32381,3.40029,29.38547,1
1199,16,14372.65589,2446.44608,127.68796,5638.71398,5.4659,68.01082,16.75117,1
1200,17,1658.97339,12274.47351,126.9483,638.79909,4.31234,14.34248,28.89359,1
1201,18,13635.34731,7230.72933,118.08142,110.48919,4.96852,2.62888,29.5134,1
528,20,9112.65603,7064.79763,259.81859,234.13481,4.77642,4.12254,62.21342,1
1202,20,12454.12579,11806.2704,136.99316,1958.76498,4.93704,39.15695,29.18056,1
556,21,6027.99256,8479.9303,337.74684,241.37359,4.05306,3.39155,82.22433,1
558,21,9226.29379,7113.91588,320.68979,378.28048,3.39726,4.21691,59.70398,1
559,21,9239.37604,7120.88262,334.87757,419.58959,2.97635,4.28308,59.44959,1
1203,21,11871.02687,5277.19832,139.01061,237.33806,4.5197,5.15496,41.55809,1
1204,22,11872.54983,5366.68959,135.71483,1098.56796,4.89083,21.22833,34.21464,1
1205,22,14506.0643,1780.74443,216.40148,641.40022,4.93656,10.19928,42.16624,1
1206,23,4064.44916,8028.25017,154.58629,406.09261,4.45112,6.63516,30.12099,1
1207,23,17469.80414,10604.76968,130.62955,391.14128,5.23904,10.60138,32.96694,1
647,24,16925.5991,2342.27778,114.23214,54.27581,4.86705,1.19825,30.34516,1
1208,25,1414.17973,8193.17674,132.08369,1121.85596,4.41629,21.53204,41.20542,1
1209,25,3883.94263,7260.28913,130.71903,1071.00955,4.95826,24.15095,35.67427,1
1210,26,20860.06927,10783.60221,126.12951,882.1459,4.66947,14.07951,47.60374,1
1211,27,16974.46603,2440.51347,137.04241,1219.51156,4.96098,20.44468,31.79991,1
739,28,19123.12559,3349.21338,109.11975,63.71683,4.92475,1.14076,25.62896,1
1212,28,9534.23364,5845.30429,125.17526,1004.83768,5.17663,16.96247,22.20047,1
1213,29,13543.0321,7196.11295,128.66205,215.6846,4.85225,5.51701,36.86645,1
1214,33,8959.54327,6994.62246,129.28203,582.0205,4.87528,10.7513,29.13743,1
1215,34,17518.60515,10648.01576,108.30604,81.47031,4.76978,2.68131,38.04859,1
1216,35,16979.33503,10558.55083,151.00665,240.40747,5.50213,7.01047,71.36117,1
1217,36,14307.29705,12384.18163,144.30208,521.31934,4.7083,11.12073,32.11675,1
958,40,12503.19713,11768.85129,160.09824,89.50341,5.19466,1.53527,36.02119,1
1218,41,16985.63807,2465.23195,140.78,823.22395,5.11084,12.9611,26.42928,1
1219,42,10261.63935,786.5145,145.82586,202.77354,4.48386,4.03325,34.40243,1
1220,43,17387.63994,10613.13163,221.79492,229.60993,4.40794,4.61759,60.18691,1
1040,45,14400.61438,1707.08948,117.76516,50.07142,4.7486,1.34324,34.4657,1
1221,45,15728.99892,5825.41878,138.97479,95.59501,4.62766,2.68044,36.19771,1
1077,47,13482.24422,7235.19136,125.89915,45.23381,4.57364,1.2234,38.80918,1
1222,47,16239.63791,10014.65616,124.00102,400.87356,5.2522,6.79063,24.84249,1
1090,48,4459.01435,3174.87828,318.50026,271.71748,3.94463,3.19144,64.07327,1
1104,48,18265.19607,1074.81184,152.69818,109.44082,4.78564,1.67798,30.48169,1
1113,49,8591.02708,9328.27277,109.84606,32.93289,4.67553,1.12402,39.45854,1
1123,49,16813.42452,1528.27641,149.30723,70.78468,4.9013,1.48643,38.20203,1
