"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
2,2,2646.76446,5543.68233,267.54739,226.73408,4.75808,2.28608,45.47597,1
3,2,2749.33456,5135.39895,370.57331,334.80429,3.46019,2.20051,54.22346,1
9,2,7990.93756,6945.28199,148.41966,79.77557,5.69336,1.30706,33.32785,1
10,2,8472.8515,2894.97033,441.43552,483.46142,2.83833,4.45749,88.27925,1
684,2,1334.31111,9029.08956,136.19823,468.73451,4.70819,9.34375,36.2724,1
685,2,3644.3022,6173.41923,152.62612,3741.24225,6.07373,48.85302,20.84255,1
686,2,5165.91149,12696.36897,154.85057,3258.19445,5.07125,47.58892,28.64411,1
687,2,6192.63965,6464.1126,140.74663,374.02044,6.60475,8.59282,29.36876,1
688,2,6999.90166,5135.71844,146.93813,1313.10528,5.49432,24.75885,27.28479,1
689,2,7586.73142,8112.28208,144.28971,439.97819,5.66755,6.05584,23.23228,1
690,2,8661.60405,2585.4463,193.6289,399.06951,5.22669,7.41685,27.96715,1
691,2,12828.31523,6595.50873,226.80081,221.84111,5.00218,4.17483,64.31861,1
692,2,13662.21815,9810.78017,133.25857,1220.26387,4.86527,26.85806,35.27512,1
693,2,14840.29286,13740.99575,128.4863,486.42356,4.57225,12.79932,32.52282,1
694,2,15454.95278,8403.2745,136.56593,1057.85267,5.0744,18.87216,30.64972,1
695,2,15926.53156,2272.03839,147.33303,918.35666,4.8975,19.11289,39.1707,1
696,2,17215.21586,1525.73935,141.20166,1373.93867,4.83736,27.45929,32.02709,1
697,2,17952.45046,8292.47973,136.57948,4081.85472,6.02632,49.51155,16.47542,1
698,2,18828.25852,11221.22428,146.13312,1596.22678,5.25209,23.86392,24.23833,1
699,2,19386.27481,6175.85219,145.30791,2647.00586,5.41856,41.34917,23.96262,1
700,2,19602.16177,13001.73782,133.28999,695.90895,4.72945,11.2671,31.32835,1
701,2,21535.14032,1007.91806,153.71072,115.39682,4.69707,2.96613,35.11831,1
27,3,6048.59906,6343.38886,499.2358,653.05871,1.31587,3.15318,64.25213,1
31,3,8413.46452,2967.00588,416.22899,344.03276,3.26861,2.8161,75.33718,1
702,3,2559.36853,5792.41969,138.04005,849.3658,5.76302,21.74549,54.50474,1
703,3,7915.58095,6994.98643,154.42221,135.78339,5.66952,2.90055,41.42402,1
704,3,12758.37152,6675.0169,260.16521,306.3584,4.80742,4.64413,60.81879,1
