"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
877,2,827.73521,9832.51442,138.92898,1069.42766,4.66256,23.76179,31.33353,1
878,2,1721.47796,4974.67771,133.62115,1620.99073,5.04182,27.07459,21.19747,1
879,2,1991.11683,2187.42016,129.35596,2122.50499,5.9121,37.20179,22.74747,1
880,2,2844.43083,7245.20229,154.62987,261.97454,4.57411,4.9922,40.24612,1
881,2,5247.8399,13764.77374,128.56579,537.10667,4.70389,7.91898,23.66248,1
882,2,6723.32949,12694.25949,110.76336,148.58843,5.11412,3.58972,25.06913,1
883,2,6935.12388,3520.32594,128.35096,734.89357,5.10662,9.71878,16.75218,1
884,2,7730.60995,6752.22994,128.64261,2331.39006,5.43711,30.98866,18.23995,1
885,2,8236.27399,11455.63247,151.75394,2743.67443,5.48359,36.24903,27.32249,1
886,2,9598.17692,13182.49631,148.35059,2332.96693,4.7868,43.61239,38.37213,1
887,2,13264.15793,6042.8691,140.80339,1635.82862,5.31609,26.21812,20.19685,1
888,2,13386.49078,8505.60465,192.98981,2507.67222,6.56561,31.58527,28.37888,1
889,2,13684.85098,7419.27451,142.45099,1870.08784,5.85699,38.25944,34.41536,1
890,2,13856.70581,637.37854,134.63159,306.87313,4.61182,7.59236,33.59746,1
891,2,14036.56761,10436.44856,128.71249,1348.01162,5.10399,23.02342,26.01591,1
892,2,14371.43175,8241.2194,131.69169,3542.26987,6.03796,61.19483,16.85573,1
893,2,14421.56585,1570.14236,130.41256,2252.73057,5.64555,27.24318,20.12116,1
894,2,14969.78813,13998.74604,136.19916,1951.25707,4.86143,27.65262,23.56591,1
895,2,15113.27381,3108.24198,192.38451,3193.07944,5.41592,34.584,26.0858,1
896,2,16046.38675,8145.30126,130.62901,2450.77121,6.27325,38.68581,25.41642,1
897,2,18625.17739,8088.2753,131.90471,4154.04,5.24731,68.25024,28.27773,1
898,2,19053.98457,4307.19743,140.0071,1982.59953,5.68775,24.39646,24.54581,1
899,2,19269.78253,13378.50035,139.78263,4228.86041,4.97037,54.22004,19.80635,1
900,2,20026.62698,11371.02335,157.91138,676.92574,5.14329,10.88278,28.73581,1
901,2,20267.33574,7020.06103,140.84602,712.56439,5.91492,10.97323,25.02148,1
902,2,22082.50806,3695.37095,132.01277,1438.1149,5.10365,23.69123,22.99553,1
903,2,22228.86652,4578.36104,143.831,1477.58758,4.96882,26.30354,24.38839,1
904,3,1625.48633,1836.44354,444.43347,1189.94056,2.26207,7.54621,74.78431,1
905,3,4121.69689,8771.33233,142.69763,3374.78807,4.96337,54.65551,29.07198,1
906,3,10388.4117,2072.6629,139.32925,939.57133,5.33421,22.69937,37.50684,1
907,3,10949.4324,2648.58105,135.93335,1257.11053,5.24847,26.05855,38.31025,1
908,3,14018.10404,10462.9064,142.64521,2722.5751,4.96247,43.66343,20.58968,1
909,3,14573.01446,7337.23428,152.39525,629.79113,5.70722,12.83985,48.58437,1
910,3,15107.8012,3194.37703,166.78176,2302.44555,5.51762,27.73994,32.64615,1
911,4,1794.85154,2014.22332,427.6394,995.58504,3.0089,5.00792,63.8289,1
912,4,1853.68195,12715.72412,138.35542,485.08641,4.61772,10.61357,28.52964,1
913,4,8204.26326,11480.42687,145.886,2122.58944,5.57004,27.58263,43.9226,1
914,4,14427.04448,1584.35571,131.98681,796.11449,5.46628,10.68484,25.40025,1
915,5,1765.89085,1419.34561,139.9892,520.95676,5.27171,12.88243,39.13301,1
916,5,1958.58211,2163.34696,147.31693,616.38491,5.71549,12.34535,44.70911,1
917,5,20029.64158,11432.65405,134.34383,110.97592,4.84087,2.28461,40.67238,1
121,6,14647.55699,7242.19122,145.53496,58.20895,6.99259,1.85886,47.04436,1
918,6,2101.44712,13514.70625,135.77124,549.57217,4.47209,11.26118,31.4552,1
919,6,5282.33238,13769.96204,165.91399,467.23973,4.48538,7.39998,26.13944,1
920,6,15734.80393,6998.70588,160.32221,186.88487,5.58943,3.21107,36.43993,1
921,6,20112.9667,11405.75228,159.81801,1343.99391,5.11321,18.42464,35.5271,1
145,7,13960.3538,10610.10305,219.64577,109.24015,4.55705,1.75066,51.40199,1
922,7,812.52605,9837.12362,143.74177,1173.58338,4.57418,25.82989,32.12552,1
159,8,1668.1186,1583.1438,302.06495,195.22091,3.76644,2.05525,58.0238,1
923,8,21145.66815,4519.36604,176.5092,279.35197,4.40802,3.93377,41.72881,1
924,9,13305.33055,8533.05254,207.23007,648.54774,5.03948,9.62294,36.70331,1
925,9,15799.90938,7035.20797,128.69842,2552.70275,5.42509,42.23525,20.93228,1
926,10,13245.35196,6023.66844,126.74366,440.82349,5.21763,9.1097,38.04471,1
927,10,13484.97154,8513.94397,143.55639,272.28582,6.64037,4.77878,21.61984,1
928,11,1864.80773,12672.35688,128.33531,336.20884,4.59816,7.50249,35.06838,1
268,13,1735.17441,1329.36005,113.01245,42.50979,5.84237,1.63189,39.57643,1
272,13,5341.68514,13752.00737,141.58381,48.93969,4.39653,1.40456,45.13575,1
