"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,3,19651.91069,13309.78189,239.21673,118.07325,5.36029,1.61178,52.69393
2,3,20942.9508,9756.70121,133.01088,66.2404,7.24606,2.24921,41.44795
3,4,19663.61559,13333.86254,128.44539,66.51765,6.52619,1.46593,32.67739
4,4,20919.15686,9780.15147,188.65325,152.24136,6.67266,2.02904,34.70913
5,5,19626.2193,13363.76132,136.37317,123.36402,6.75351,1.91453,25.49454
6,5,20901.58424,9773.35843,149.09772,115.97633,6.58741,2.25632,32.04499
7,6,19626.91713,13335.48323,115.40914,163.92175,6.65735,1.99684,17.45655
8,6,20876.26406,9780.83296,133.31758,128.96951,7.47824,1.88082,23.89201
9,7,19654.05432,13329.26438,127.34831,79.53105,7.17108,2.01247,32.3423
10,7,20900.8769,9775.47819,139.57694,81.34916,7.68015,1.75867,33.93365
11,8,20879.55192,9720.71107,121.92851,102.89655,7.70702,1.97807,25.35132
12,9,19614.93299,13368.62359,126.94021,109.44367,7.00412,1.68098,24.16646
13,9,20839.7345,9783.35456,111.98271,55.07493,7.0983,1.53924,31.88181
14,10,19638.52632,13349.2388,138.25727,134.35968,6.58421,1.94394,24.61385
15,10,20888.61771,9787.10103,170.50385,92.82981,6.37019,1.73524,40.23303
16,13,19627.98799,13370.30936,127.75261,102.21779,7.49391,1.8736,26.47362
17,14,19657.01603,13340.38312,126.25617,85.819,6.67691,1.61496,27.8563
18,15,19685.87989,13343.46188,131.77771,83.60989,6.73317,2.042,32.85896
19,16,19658.23678,13422.12468,114.82642,60.91414,6.30246,1.86685,33.09936
20,17,19606.67281,13325.8058,89.60186,49.02773,6.70577,1.66707,27.17563
21,18,19607.14044,13361.5653,135.2894,118.33898,6.51222,1.67444,24.78651
22,19,19619.19082,13346.2782,106.19975,125.60989,7.01015,1.93405,18.63863
23,20,19631.15263,13331.24405,109.68794,161.91832,7.20924,2.54824,17.90155
24,22,19616.19156,13347.85585,124.04403,71.09752,7.2844,2.1399,34.82624
25,23,19627.64101,13354.18933,118.95145,89.74733,6.50083,1.99085,27.06869
26,25,19671.43146,13328.71108,79.82479,42.71851,5.66624,1.56237,25.58114
27,26,19631.74395,13364.46168,115.43211,87.5824,6.30706,1.80993,25.59301
28,27,19625.99053,13374.34576,137.35129,79.00639,6.70359,1.76288,33.94821
29,28,19599.92423,13365.77699,91.89,54.0053,7.16336,1.58664,25.78601
30,29,19628.31121,13358.63662,133.02155,178.90703,6.65522,1.76908,18.8653
31,30,19603.84442,13371.24082,144.51705,113.25431,6.72414,2.12017,30.39489
32,31,19633.61452,13334.87062,142.94226,106.27908,6.34354,2.30382,32.55038
33,32,19642.35063,13383.10189,122.27605,118.72723,6.77455,2.15953,23.82956
34,33,19613.25249,13352.82115,138.78097,116.86414,7.72904,2.02682,27.65883
35,34,19646.55239,13367.75775,120.54803,70.56794,6.75397,2.1189,33.54863
36,35,19648.44927,13329.08822,132.24481,97.88689,6.66713,1.89846,28.64802
37,38,20924.50592,9731.28069,131.25264,109.14793,6.71497,2.12937,27.51984
38,39,20929.43343,9711.48683,163.13498,145.35737,6.50532,2.31027,31.10667
39,40,20888.37959,9756.11229,134.4171,84.71106,7.53026,2.32021,35.49195
40,57,20974.27835,9751.74123,129.70745,103.98497,7.34449,1.98685,27.27238
41,58,20966.67867,9696.40453,131.87746,113.35817,7.90535,2.05814,26.60264
42,59,20944.48218,9680.58147,118.63299,108.66799,7.14515,2.30603,25.01992
43,60,20979.6455,9670.53045,147.77887,113.98514,7.45705,2.37958,32.86939
44,61,20986.56091,9624.60618,108.82212,87.32845,7.37554,1.70687,23.41171
45,62,21013.67938,9695.2633,87.71524,49.71673,7.28212,2.01821,28.22349
46,75,6663.86334,3864.76048,137.05869,82.78616,8.29733,2.45005,38.15818
