"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,34,15525.041,14104.73238,96.32927,39.71948,7.73051,2.15939,38.52073
2,36,15605.84792,14089.21369,295.84518,261.4057,5.85554,2.69487,52.33629
3,37,982.8562,1048.04337,210.65011,94.57601,6.15857,1.813,54.93557
4,37,15467.83126,14083.33611,217.54322,231.50262,6.77582,2.63653,35.42984
5,39,15427.22126,14095.85308,231.47313,274.72758,6.85861,3.03192,36.77113
6,79,8314.20943,10329.83113,210.32133,92.42006,7.57661,2.24496,63.23943
7,80,8319.83704,10304.03566,183.68919,109.52611,7.55373,2.33857,45.95975
8,81,8354.14022,10345.82803,180.12234,84.01054,8.00383,2.33251,54.94793
9,117,5183.09601,6269.54175,274.46183,216.16808,6.65917,2.49487,51.65941
10,174,18897.20078,7479.7136,239.46433,117.5525,8.70251,2.39892,66.62824
11,240,19178.56696,4549.02752,288.49567,191.7961,6.17617,2.04182,54.58669
12,246,19257.46605,4457.47245,275.36722,162.577,8.14479,1.87825,55.18522
13,248,19331.3593,4463.37905,179.88226,101.25858,9.01611,2.1184,44.86111
14,260,5698.57347,7919.73823,196.51222,104.98915,8.10863,2.07406,49.15681
15,274,5452.38874,11162.81221,290.60166,155.14454,7.39481,2.6239,77.16133
16,277,19308.4422,4465.78674,216.78821,141.29325,8.02058,2.24576,47.26846
17,318,1907.10808,10521.16567,144.3271,56.55812,8.38939,2.17632,51.75793
18,330,17674.96637,9415.06693,140.46718,57.02281,9.33896,2.56343,54.48942
19,338,7637.07938,6253.71823,218.53739,331.94657,9.22327,3.20762,30.03841
20,349,17325.89112,13121.59491,249.50819,163.36975,6.08214,2.12028,50.60028
21,376,18994.17284,7517.40806,227.47888,127.61269,8.29508,2.80655,63.57877
22,380,18960.97599,7489.27118,162.57145,85.28976,9.62058,2.34741,46.67823
23,419,15533.68606,12175.37663,231.48269,149.08032,7.19193,2.28986,50.63873
24,420,22132.92807,5284.26898,204.99047,82.9161,8.41269,1.80909,58.32174
25,431,12922.16484,8049.39359,212.31856,126.09188,10.34182,3.02642,60.4214
26,456,697.5298,14213.59606,186.80162,94.00537,6.06354,1.84705,46.71726
27,463,746.20817,14185.30368,114.5633,42.9317,7.25806,2.14747,45.73865
28,527,3742.25961,1271.21134,292.92996,189.23845,5.59884,2.29378,60.5605
29,527,20093.04619,9885.13653,164.34424,71.88836,9.11537,2.46541,55.99248
