"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,2,1909.09211,2804.15788,153.6396,37.74501,5.51707,1.43974,61.85549
2,3,21779.90216,12886.24275,180.90838,156.8104,6.34234,2.47396,35.17505
3,4,4310.03682,713.10337,165.17573,68.50713,6.55542,1.78701,48.83759
4,4,21767.17096,12845.43252,159.62585,176.66421,6.75254,2.57106,27.49912
5,5,21794.18555,12822.49214,148.10712,118.67848,7.22965,2.03523,29.86003
6,6,21801.04457,12852.92151,163.92604,89.0274,6.66274,1.88386,40.78827
7,10,4348.3428,767.69314,137.92999,64.87449,7.21615,2.08341,42.59359
8,34,21775.50442,12878.8998,164.20529,120.36011,6.28358,2.24845,35.60702
9,35,21823.49787,12867.29367,165.80171,88.53313,6.0188,1.81551,40.8963
10,79,17670.07937,4897.45188,175.53176,192.94563,7.63144,2.82301,30.79881
11,80,17616.30344,4961.67763,158.95979,65.2298,7.60224,2.15515,53.07469
12,148,12391.95593,10993.19199,158.99649,72.05056,8.13311,1.7426,44.02121
13,150,12377.6228,10966.30491,161.24658,199.62629,8.90152,2.97402,27.29987
14,151,12392.84212,10943.95119,154.64724,207.28885,8.70158,2.27797,22.40169
15,152,12359.23983,10998.66388,159.13852,176.9172,7.85385,2.49798,27.0056
16,153,12381.18084,10935.66525,160.65608,124.55969,7.84358,1.76948,30.39904
17,165,12189.08352,9438.59003,124.3819,64.892,8.28726,2.37454,39.42503
18,166,12133.20579,9453.79262,158.11069,214.75657,9.135,3.73521,28.2748
19,184,18779.30529,8054.2321,105.71173,40.81743,9.06565,2.70315,48.55679
20,186,12191.77971,9466.67571,117.05191,57.20325,8.39908,1.86419,35.47396
21,191,10594.55744,10722.56921,211.68728,185.2366,7.88514,2.71887,41.08918
22,194,10455.0376,2760.50657,154.65707,58.58024,8.51633,1.84577,50.87573
23,196,12121.62082,9418.70219,136.87147,55.74005,8.49766,1.75863,43.41019
24,197,14963.0471,14311.71661,166.34698,176.42003,6.32458,2.44205,28.46896
25,198,1562.3221,9966.92342,174.51698,243.09474,7.70159,2.49761,24.401
26,210,18938.84969,8868.33518,151.92802,57.27276,7.99069,2.114,54.37155
27,215,10932.35922,3047.04443,221.14185,116.606,8.45232,2.26961,57.0716
28,216,10976.36828,3090.73821,282.80577,237.1126,6.65227,2.42748,49.47656
29,217,14950.91354,14306.57941,173.16214,121.11664,6.03625,1.96555,35.85036
30,225,10015.72168,610.26659,122.31596,79.68032,8.29867,2.13253,31.41056
31,225,10632.66508,10676.60957,109.46669,52.72148,8.15613,1.97883,35.41043
32,230,10939.66088,2990.45757,127.14971,51.8835,8.53765,1.8116,41.97514
