"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,3,8309.6872,958.1951,120.38634,178.69648,8.1281,2.1591,17.76492
2,3,13270.4983,4129.50235,106.61932,61.51358,7.42629,1.96321,30.53812
3,4,8280.48701,948.88173,135.4739,219.17085,8.33156,2.33686,18.39616
4,5,8293.85321,947.13431,130.71611,341.17584,8.28869,2.61939,13.64787
5,7,12121.86279,10818.26201,86.74502,47.3141,8.38695,2.00309,28.75087
6,7,13348.5009,4196.08167,108.22649,47.62815,7.89501,2.12238,38.87361
7,8,5783.12668,8834.89368,143.50531,116.62622,7.76348,2.37126,30.98575
8,8,13302.1921,4165.25181,146.98262,69.02033,6.3596,1.85985,42.01302
9,17,13286.83362,4154.47025,144.44294,76.95462,7.56191,2.35602,42.60721
10,20,13324.42658,4164.27153,144.25648,58.95901,7.00727,2.09715,49.03509
11,24,13329.94209,4242.9131,89.66125,41.22616,8.50444,1.7732,31.36254
12,28,13292.26789,4156.15995,124.71542,111.90226,7.69856,1.87776,24.17648
13,29,13291.61125,4103.70639,121.94772,74.37317,7.04878,2.00917,32.02967
14,30,13325.34205,4164.00943,98.36831,56.4468,7.21304,1.75959,28.11622
15,31,13308.32296,4117.1936,201.91118,129.62319,7.11015,1.85499,41.21645
16,33,6944.04736,2341.77868,123.3497,77.79048,7.27709,1.87065,30.56605
17,34,13295.52562,4147.66801,114.15284,64.56272,7.5422,2.0542,32.84041
18,35,6918.5419,2346.57472,118.89529,51.34319,8.10032,1.97551,40.26492
19,35,13362.22882,4167.99182,154.10388,81.59493,8.48665,2.06752,41.74803
20,36,13308.9227,4117.36601,125.6413,57.58236,7.61078,2.3611,43.71242
21,38,13284.76279,4160.26091,158.33387,95.15905,7.20505,2.06268,38.62368
22,39,13286.59602,4190.50386,108.50277,61.91972,7.06785,1.97502,31.15758
23,47,13357.26587,4150.57522,98.22748,39.99163,8.53645,2.03093,38.13995
24,49,6933.13604,2427.55384,121.8468,62.41948,6.86324,1.50253,32.22461
25,53,13328.38416,4185.50735,117.3347,61.28234,8.04173,1.7387,32.90481
26,56,13315.30962,4152.71697,112.26787,66.92519,7.00686,1.62492,28.56362
