"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,17,7157.95905,13135.40204,152.57815,61.1098,6.86601,2.22083,53.49672
2,19,20595.8352,7191.76735,106.86176,44.23031,7.4787,1.78208,37.18921
3,20,20558.84883,7176.84695,127.36529,120.52803,7.59257,2.14686,24.78182
4,21,20544.58078,7172.45494,120.93336,70.24673,7.82144,1.68924,30.74528
5,36,9243.35741,13319.55275,108.80299,58.01008,6.92503,2.08978,33.59424
6,39,15716.5886,969.01127,103.47656,44.00981,7.17704,1.76669,35.68451
7,50,9331.6214,14580.94217,152.18335,55.90363,6.1105,1.85721,51.68496
8,50,21754.01958,12579.64104,124.38626,63.19512,6.20689,1.46723,32.51001
9,56,9354.94173,14569.02394,109.71634,61.23015,6.15376,1.72821,30.18204
10,57,18954.80415,1501.49964,94.36471,41.13302,7.64646,2.09331,35.99301
11,59,20580.14277,740.34623,138.74887,121.35774,6.59596,2.19201,27.79737
12,62,20616.21964,5261.95372,120.93629,116.19566,7.65785,1.98355,23.12612
13,66,15773.11774,4416.69648,113.69219,179.13714,8.42962,2.51417,17.38967
14,67,2442.38546,8362.94371,104.09902,46.32011,8.34022,2.33397,39.56016
15,67,15794.73308,4373.09958,108.35194,86.54521,8.5433,2.46024,26.90808
16,68,15685.87284,4231.06077,126.68085,91.62971,8.90259,2.27953,30.64379
17,69,14987.54734,4434.4498,101.84159,126.50895,9.11337,3.22915,21.31896
18,70,10698.30136,10658.23814,143.69144,209.7141,7.77057,1.74317,18.6179
19,70,15160.04005,4393.16016,120.58823,81.68169,8.09764,2.47522,32.43551
20,71,10717.69861,10639.51473,134.36248,154.26702,8.82865,2.06645,22.09494
21,71,15138.64115,4372.66504,119.6579,48.15112,8.19141,1.89874,41.78594
22,72,10731.55882,10645.37995,123.8264,262.32131,9.21487,2.50891,14.97395
23,74,10706.61527,10758.4601,94.07406,52.56188,8.62784,1.94414,29.09007
24,79,7804.18428,10312.84772,158.14242,124.19034,7.77218,2.49101,34.69038
25,79,10957.90063,8366.84524,153.16414,81.34485,8.97,1.60571,36.97485
26,80,9717.77429,8212.34998,149.35053,117.49718,8.32612,2.41924,32.87656
27,81,9995.9051,8287.20028,119.39158,123.15485,8.6484,2.81399,25.13253
28,82,9984.2474,8306.05389,125.78721,150.26975,9.6671,2.87588,23.546
29,83,14392.00983,2084.70096,110.05498,47.69131,7.913,1.75243,36.32353
30,85,14388.71869,2043.54783,109.27375,86.34575,7.19491,1.65849,23.48779
31,97,9083.10306,1649.39178,173.1635,84.69103,7.18807,2.31241,51.14998
32,98,9102.90635,1607.71239,139.64015,128.30253,7.69333,2.66799,29.41168
33,99,9067.74684,1573.91231,145.82954,122.14472,7.38118,2.24316,29.86714
34,100,9089.1793,1614.29382,160.04572,119.16073,6.74069,2.1061,33.5651
35,108,5761.77038,11443.56055,150.33902,100.232,7.08469,2.14917,35.26262
36,109,6090.87571,9710.78412,133.13372,77.62845,7.73484,2.02796,35.04538
37,110,5532.45233,9852.12593,159.69078,83.57394,7.37448,1.95004,41.89017
38,111,10737.21469,10634.06404,145.99066,105.44321,8.1781,2.3163,33.79553
39,112,5102.41698,11213.60548,124.81087,63.55931,8.17935,2.24185,39.05947
40,113,4771.54802,11212.67605,112.75193,72.10801,8.18457,2.16901,30.56671
41,114,5484.6781,11755.17028,145.96874,79.03258,7.58937,2.0278,39.23785
42,116,3247.22646,11210.51215,134.99041,86.47291,7.63177,1.97386,32.63386
43,117,3096.6923,12001.6966,180.025,80.58959,7.19251,2.47653,58.93697
44,128,1808.38518,5107.60034,111.89936,88.62582,8.01752,1.93525,25.028
45,129,1826.81987,5124.79715,123.43727,59.52435,8.0048,2.37274,41.66113
46,130,1780.84358,5092.23696,114.20868,108.17064,8.80364,2.02398,22.77935
47,130,10725.76892,10638.05432,147.78272,114.89848,8.6074,2.28485,32.05899
48,132,1774.25727,5074.87005,104.65856,109.09698,8.46473,1.72209,19.40588
49,132,8568.02072,8538.62162,108.59842,70.94239,8.86738,2.16413,29.43459
50,136,1850.27592,5111.90528,93.49987,60.29583,8.90906,2.10128,27.05815
51,137,1799.49921,5069.35078,113.6853,82.97804,7.78651,2.23914,28.32355
52,137,10720.72604,10604.52689,188.60064,90.65943,6.82039,1.74938,47.37147
53,139,3378.9195,8538.80165,114.81101,271.63455,8.88103,2.80719,13.84008
54,140,3331.83223,8566.58248,124.60466,111.89689,8.19556,2.16353,25.44873
55,142,3337.64912,8558.805,117.5568,109.34509,8.61293,2.01561,23.39862
56,142,35747.81539,1624.07711,144.1265,74.75358,6.19872,1.71188,37.17798
57,143,10746.4855,10663.06039,129.08457,90.02781,8.42628,2.79659,35.26783
58,143,35711.914,1558.34598,184.82287,105.2287,6.28963,2.19479,46.19842
59,149,35769.24411,1615.85798,187.69158,119.27875,5.73421,2.17863,42.75895
60,150,1786.23682,5063.33585,96.82485,87.44485,8.34255,2.04689,21.63743
61,156,19640.34557,9444.706,66.40711,60.19428,8.38892,2.09981,18.44905
62,157,19598.5691,9462.44995,123.24965,170.64102,7.82031,2.15816,18.83773
63,163,10719.32788,10643.23515,149.28407,161.43996,9.13758,2.82048,27.95707
64,166,10696.25104,10630.62817,122.68814,92.83315,9.32465,2.3394,29.42933
65,172,16631.97061,4531.98336,109.07286,81.74778,8.30746,1.98125,25.85404
66,173,16601.34824,4523.21838,111.50756,107.20888,8.53874,2.49084,24.08618
67,174,16615.55938,4525.44574,123.00024,238.62858,8.25199,2.60963,16.00605
