"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,3,812.97199,14268.40749,113.17187,56.71662,6.01452,1.74195,33.20579
2,3,11715.70429,14358.5536,134.59022,126.08589,7.73382,2.45077,27.24709
3,4,1239.007,2602.40174,182.73049,103.92631,6.95464,2.26983,46.72034
4,4,11700.26477,14359.07347,135.49308,65.78076,6.66216,1.61267,36.58292
5,5,10112.70154,3355.44817,120.4161,53.04032,7.85726,1.7659,37.96059
6,9,9180.12683,13543.05909,153.84615,103.27489,7.54646,1.92971,33.91991
7,15,13512.66791,12001.55313,127.12421,164.79099,7.69107,2.19972,20.15471
8,16,13490.4244,12020.47464,144.9396,115.83503,7.294,2.18959,30.4486
9,37,6165.05904,9923.38901,166.59523,67.55115,7.48875,1.77405,49.78291
10,77,16859.99661,2742.45615,171.80028,132.8041,7.53269,2.60819,38.06275
11,78,16767.24848,2794.83364,156.25711,165.36079,7.94311,2.39541,27.15074
12,83,18229.86024,1678.13539,174.63774,82.04998,6.94991,1.92555,47.97579
13,84,18254.82738,1741.92438,143.91855,68.3373,7.64134,1.66494,39.09472
14,86,18214.74421,1647.31672,167.42875,66.23624,7.13256,1.82836,51.69932
15,87,18212.38451,1682.701,118.79337,98.7003,7.56676,2.06457,25.65736
16,88,18253.33365,1655.17529,202.10163,119.31661,7.00809,1.66453,41.71726
17,89,18390.28975,1811.31008,170.47678,94.09906,6.98754,2.24364,45.23666
18,90,18389.73896,1754.00473,136.07363,118.0091,7.3387,2.25206,27.94956
19,98,7443.69539,10250.58278,156.6453,89.33198,7.43594,1.81308,37.54366
20,105,16155.8062,12486.54814,111.32416,59.01881,7.50593,2.04656,33.8598
21,107,16144.84568,12490.48497,136.5802,102.75944,7.12133,2.13665,30.31474
22,116,3569.65264,12010.20244,152.75203,71.53905,5.69391,1.71106,41.5105
23,117,7368.78485,10280.73196,143.6177,81.14955,7.6985,1.7248,35.0179
24,124,7391.27835,10271.80966,211.96599,102.54724,6.06338,1.86434,52.89122
25,125,13399.32829,2191.10837,139.44427,55.81744,7.32837,1.58345,42.39342
26,128,29807.56321,1523.15003,193.8965,119.40668,5.63955,2.07536,43.68929
27,129,11827.07396,7228.28525,137.35175,72.03292,8.00579,1.76669,36.28453
28,130,7398.45724,10265.72366,172.68851,74.03228,8.42945,1.9267,51.07271
29,130,11794.07064,7205.18209,143.93911,76.96679,8.67395,2.07076,39.64847
30,132,44034.63577,7119.85196,125.85933,57.3186,5.83568,1.52805,35.82973
31,133,43976.32822,7044.63004,104.74159,49.77096,6.88616,1.94141,34.57227
32,139,10508.95896,6936.16129,112.57777,79.10758,9.0875,2.06545,27.97408
33,140,14057.53946,5788.80046,124.47943,112.87764,9.85595,2.64546,27.52466
34,141,14077.72582,5800.91612,129.32801,104.58056,9.4007,2.34051,28.96681
35,145,43983.78313,7069.25386,102.56868,49.97088,6.79973,1.74286,32.07859
36,146,43978.66431,7061.24237,128.29167,57.71412,6.128,1.47642,36.06005
37,148,12259.72941,14135.45466,131.73165,144.90411,7.43702,2.51521,24.24577
38,149,12297.33495,14142.14768,158.20982,225.83602,6.3794,2.02157,20.87784
39,149,44051.30428,7034.16086,99.6667,45.28107,6.6001,1.62683,32.28027
40,150,12254.37395,14115.57918,131.06935,102.37253,7.2693,2.22153,29.26528
41,150,44021.35225,7068.75775,115.34865,50.64943,6.73296,1.48237,34.54619
42,151,44026.74793,7017.94392,142.1438,100.52234,6.04375,1.59948,28.95765
43,157,14170.1528,5892.43004,257.28174,122.35659,7.99711,2.68319,78.31511
44,160,17655.41035,6077.97497,108.1589,51.72365,8.71301,1.92182,34.88653
45,160,44058.85884,7021.78289,111.40303,53.35489,6.63596,1.73293,33.90647
46,161,44050.97446,7036.92114,132.42341,64.68393,6.01631,1.75572,37.22973
47,162,5491.08064,4206.44375,147.37762,217.72908,8.3707,2.67676,21.6394
48,162,17641.6105,6144.38649,134.64125,81.69278,8.82615,2.79728,40.42745
49,162,44079.45532,7054.15498,108.32624,59.94826,6.9183,1.88302,31.18788
50,163,44039.51423,7042.21738,155.79657,65.59161,5.7921,1.67707,45.03228
51,164,14077.5227,5761.52697,129.06222,103.47869,9.52715,2.05594,27.5586
52,164,44069.5856,7070.40692,73.46145,37.21264,6.90393,1.78479,26.83467
53,165,5515.3133,4224.83141,132.74938,178.68065,9.25867,2.18478,20.0995
54,165,6530.6594,12389.45714,271.99546,164.22527,5.64658,1.6873,50.82764
55,166,5515.96153,4206.22022,140.19128,159.21269,8.57244,2.04506,22.73581
56,166,6587.50569,12379.26547,126.87727,113.59098,7.93063,2.2563,26.21482
57,167,5505.93094,4183.10351,113.3977,76.21464,8.3604,2.12938,29.35966
58,167,17581.89973,6053.20787,287.19528,187.65718,7.15699,2.65273,64.89967
59,168,17518.6483,6160.47558,141.20371,56.00129,8.00806,2.07349,49.16643
60,169,5516.37618,4257.17447,136.07448,56.03343,8.42686,2.25909,48.86355
61,170,5530.53379,4180.83309,151.76049,116.31402,7.60997,2.24757,32.70698
62,170,7431.61039,10239.14284,130.20861,180.88104,9.12966,2.90999,21.68828
63,170,17564.11722,6188.2263,119.11259,63.07096,9.81325,2.03972,35.21641
64,171,17618.27991,6119.16476,131.89845,64.83409,9.4244,2.39714,43.09368
65,202,3312.81419,7841.71484,162.95758,142.19789,8.08365,2.34097,31.75499
66,202,4600.35565,9762.22964,111.72382,71.71472,7.74523,1.78053,27.99982
67,203,3307.82799,7828.49993,162.04885,98.5066,8.46928,2.2935,41.03741
68,205,16907.21717,12706.72338,183.76088,128.62868,6.68383,2.37511,40.95488
69,206,6582.63094,6699.48444,114.13211,56.50645,7.84117,1.60673,32.59369
70,207,6612.25341,6709.63009,124.12765,228.95425,10.32576,3.2747,18.11016
71,208,3300.65222,7884.55316,118.51433,117.36805,8.5962,2.38738,24.00658
72,208,5799.47403,2128.56635,160.04409,71.14067,7.52925,2.00194,48.1031
73,212,3380.70328,7869.72259,115.92719,47.67148,8.61214,1.91403,40.49523
74,213,10505.09155,4921.72272,130.55836,87.97148,8.78054,2.59839,35.08073
75,214,20751.47447,8706.58849,165.56442,106.59616,8.16917,1.91048,36.49239
76,215,3322.93007,7991.92123,142.69286,67.35856,8.16314,2.08855,43.48858
77,215,19820.63094,7981.08367,106.5326,71.86565,8.43214,1.85679,26.7807
78,225,3298.34911,7822.85308,151.49434,204.51989,7.38877,2.5125,22.85871
79,225,18277.81947,4533.04764,132.55634,156.10164,8.10981,3.04358,25.22607
80,226,11143.60309,1243.71312,89.52494,46.22064,8.12951,2.22766,31.82837
81,231,13900.46141,7775.1861,131.48563,97.20361,9.26754,2.00795,29.22015
82,232,7410.41402,10244.36398,133.42438,64.80097,8.02472,2.78551,47.8731
83,232,16965.26704,3599.64448,118.36076,50.11401,7.92874,2.00976,41.0952
84,239,7393.73366,10232.08177,147.3771,95.97633,8.03942,2.06324,34.7521
85,242,2162.64907,12206.28719,153.0592,101.08868,6.95247,2.36908,37.69899
86,243,6144.18178,9886.33661,134.6256,59.73546,7.53195,1.79849,40.76266
87,250,3341.27539,7857.12871,67.33138,37.28798,8.27702,1.76857,24.32569
88,252,2101.88878,12258.5079,145.20765,82.00292,8.26639,2.00046,37.66309
89,256,2151.5781,12267.3522,107.78836,83.46826,7.84733,1.93255,24.88874
90,256,11149.45738,1310.86348,92.20595,47.61775,8.58045,1.73902,29.11765
91,260,2141.2964,12284.0005,190.55831,96.11538,6.67485,2.0863,50.43918
92,262,2063.73212,12251.76452,66.13854,44.93156,7.38259,1.99823,21.97164
93,264,2156.18072,12303.21679,114.28283,66.3861,8.01672,1.85797,30.89724
94,270,2168.92881,12290.95016,174.93664,89.55663,6.78548,2.05947,46.60748
95,274,11098.9859,2140.03848,107.40946,43.45051,7.78059,2.04338,40.44956
96,288,20115.89302,6971.04078,101.41587,43.3535,8.09315,1.42154,32.31405
97,289,20157.65132,7010.7911,186.25931,172.26962,8.28539,2.43204,33.89636
98,290,20152.0359,6970.8114,110.27462,101.31133,8.24796,2.00259,22.72677
99,292,20112.7394,7017.61929,128.27769,84.62581,7.35811,1.69351,29.17561
100,293,20115.62453,7019.21198,157.49466,132.60733,8.37004,1.89458,29.11572
101,294,20133.87581,6974.8482,131.03098,164.87633,8.49748,2.59204,22.25477
102,295,20143.25016,6997.22444,144.27386,175.65869,9.06293,2.40735,23.43825
103,296,15425.63196,7679.32934,200.56082,107.32353,8.68714,2.59236,56.88265
104,297,20149.55422,6966.08935,151.44879,152.38883,9.1352,2.58282,28.54598
105,298,15448.13581,7718.80234,151.82936,193.45989,9.8009,3.23322,26.75478
106,300,10092.33963,14360.34229,108.08428,44.71315,7.19416,1.81244,37.7274
107,301,10108.18398,14356.62252,120.98855,353.02107,9.45159,3.04616,12.73025
108,306,10070.91294,14344.71539,148.5212,111.7758,7.13147,2.0698,31.5025
109,314,2196.84974,2789.04511,137.77693,55.39383,8.39784,1.93928,46.19586
110,317,2160.2435,2807.52173,112.29293,98.94575,8.67641,1.95169,23.39666
111,323,7463.71353,10233.97976,140.88229,105.14656,9.15566,2.27872,31.99714
112,329,10087.07892,14365.5136,130.9015,125.54095,6.97813,1.87834,23.76843
113,352,16521.7332,11998.07536,133.25701,130.80841,8.24358,2.13952,24.78221
114,355,13620.44879,9481.48705,175.39358,79.17552,8.01704,2.20742,53.53334
115,357,14836.06222,6861.53211,104.56517,73.75298,8.35539,2.42162,28.65114
116,358,14779.91812,6857.14081,104.74751,49.69564,8.67499,1.8845,34.16251
117,359,8783.8699,10534.18916,131.39794,217.92718,9.75628,3.62294,21.17015
118,360,8783.84738,10560.91027,179.50982,146.22528,7.39059,2.64318,37.97429
119,367,7441.40948,10278.5294,146.20866,120.29917,8.47404,2.19393,30.00898
