"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,13,17083.10484,13849.01099,138.17828,55.58616,6.58331,2.20044,49.53686
2,17,17047.16297,13928.88791,150.3455,85.94601,6.41738,2.16147,39.6457
3,19,13245.09552,11794.516,180.95253,84.76336,6.98923,2.04447,50.90975
4,21,10000.42171,8733.71548,118.49787,44.93344,7.55228,2.07264,45.41639
5,21,13290.82707,11891.57468,164.55516,93.86898,7.31755,2.1101,41.68109
6,22,13171.81277,11856.4763,211.84267,94.99213,7.68218,2.30681,63.63243
7,144,13207.45403,10220.94926,135.45059,55.34932,8.44172,2.06121,46.58906
8,210,14968.83926,726.20565,248.83862,281.76043,6.48736,2.44401,35.80663
9,281,8006.8711,13550.39857,234.47195,117.33592,6.75855,2.18939,60.88426
10,355,7543.83691,11731.75844,143.67966,54.97791,7.24245,1.81769,47.68666
11,381,15921.64715,3388.87062,133.55204,61.32862,8.44939,2.17052,43.39042
12,475,7459.9254,2200.9355,139.98026,126.95429,8.32514,2.71062,29.97319
13,476,7600.53822,2421.92447,268.00013,149.06544,5.30224,1.55806,51.41357
14,478,7536.15743,2527.15841,161.53913,281.73172,8.7503,2.99594,21.36404
15,479,7532.44109,2564.93282,173.23168,148.08758,7.84709,2.21608,32.72793
16,480,7655.56178,2492.65714,166.33177,201.67933,8.31712,2.86575,27.80184
17,481,7594.66808,2461.32551,128.46618,49.67097,8.24455,2.45282,51.8708
18,538,15554.59745,10959.86436,174.47151,269.10884,10.33806,3.61308,26.95395
19,549,4053.85878,11117.74718,229.18186,121.83712,6.9226,2.17116,56.71995
20,578,15539.30832,10954.41418,88.91738,67.9039,9.18119,2.52312,25.25878
21,598,5378.21596,3638.48846,153.9094,68.88025,7.90536,1.70239,43.01811
22,608,4095.67666,11100.2268,154.67211,128.20405,8.3723,3.59327,40.35091
23,611,4037.98877,11150.84705,176.55032,70.51249,8.17613,1.94262,55.04618
24,619,4056.0155,11064.31477,194.5798,195.7397,9.31319,3.21014,38.09017
25,619,5977.26123,10469.61554,162.37877,210.55601,9.2274,2.3088,23.74483
26,620,6006.3874,10480.34317,175.52331,131.23324,8.28842,2.25213,36.7287
27,621,5965.3836,10481.5693,165.60383,161.03408,8.19549,2.80766,32.37578
28,622,5969.5633,10426.22655,165.96873,173.04292,9.20657,2.76224,30.51071
29,646,14206.49372,4386.04139,191.67867,170.76774,8.12805,2.6949,37.5203
30,648,14179.59934,4361.90724,198.26226,262.89623,9.26454,3.12708,30.66754
31,656,8421.52836,9653.18956,197.57282,129.25683,8.2537,2.22153,43.8156
32,658,8320.71317,9615.71412,191.99429,180.87308,9.26105,3.47241,41.72649
33,660,8394.24225,9616.99019,270.1195,204.90314,7.51061,2.35536,50.81401
34,661,8421.28577,9621.34454,163.32808,103.06652,8.507,2.08494,38.22698
35,662,8309.45737,9685.24987,138.54159,115.84879,8.98813,2.46151,30.19291
36,669,6208.50815,12218.56681,141.16012,65.91932,7.40929,1.80558,40.53389
37,688,8349.94062,9669.48784,149.12636,94.61189,8.75243,2.04929,35.57931
38,690,19877.0459,4681.63782,145.89177,75.66869,8.31269,2.04763,40.69382
39,693,4012.60379,8410.68903,204.06604,218.89354,8.37528,2.8829,35.27448
40,694,4073.18638,8443.64469,173.83247,112.63699,7.95915,2.40728,42.10168
41,695,4132.65482,8375.71165,175.78795,116.31643,9.35352,2.16845,39.53596
42,697,4082.52603,8453.31186,211.28666,133.15319,8.05386,2.35483,48.91775
43,700,9536.61363,718.91662,85.83021,42.13876,8.41705,1.62577,28.39698
44,718,17312.69837,7406.03805,189.92726,84.0642,8.72681,2.76447,66.67787
45,724,9566.18007,667.57152,159.1481,83.13212,8.45813,1.70488,39.32391
46,727,9560.45809,654.08378,216.91114,108.12397,7.96769,2.54627,63.32171
47,730,17315.89977,7385.89566,420.58488,550.76749,4.27662,2.73301,50.69564
48,733,9556.14345,714.85123,187.22976,87.14201,7.98977,2.32427,56.51213
49,735,9544.54352,674.18055,193.57586,112.47744,7.33555,2.51387,50.82916
50,741,8323.17842,9699.89469,218.3468,182.87973,8.28233,2.53399,41.8077
51,744,9531.21133,697.71406,116.72215,47.81532,8.66408,2.36919,45.59927
52,747,9437.14943,745.46969,102.85617,73.17459,8.41284,2.39367,28.06447
53,760,18261.63977,14018.1783,101.94405,41.04547,7.01402,1.83088,37.39819
54,761,13029.33608,5211.86312,142.67605,55.14455,8.50179,2.48764,56.26617
55,807,7479.09227,2345.20471,220.17498,295.55771,7.01473,2.77553,30.78159
56,812,7529.02718,2412.94399,141.45712,61.43392,8.241,1.93287,44.26496
57,818,4710.19667,6202.43849,131.49932,51.25053,8.48722,2.01855,46.86055
58,819,4122.60008,11097.9282,202.07755,92.50326,7.12268,1.8788,53.54846
59,820,4089.09184,11070.73708,163.05605,310.00224,9.23603,3.0595,20.39265
60,833,2705.29164,1299.12442,194.64487,86.21531,7.03821,1.84304,52.91924
61,834,4097.4016,11065.01702,188.45877,272.34226,8.03699,2.39335,24.55928
62,835,4132.29867,11111.17922,152.00914,144.80709,8.05071,2.23964,27.94443
63,836,2736.01132,1324.56565,267.6465,196.87874,6.14391,2.15984,49.20318
64,839,2769.86674,1304.75403,195.47767,109.95786,7.52301,1.96287,45.72822
65,849,2642.91651,1229.43561,99.70152,46.94236,8.54739,1.56143,31.02198
66,851,2729.72991,1289.08012,202.19248,109.60089,7.64082,1.83075,46.47973
67,859,2192.83117,7173.31067,174.77633,77.82009,7.88533,1.79686,48.25048
68,879,4642.39182,1962.2491,200.30688,97.21926,7.51293,2.00267,52.6646
69,881,4647.44284,1914.1215,223.2773,128.81803,7.04869,1.99465,49.73941
70,884,4575.6791,1859.42422,161.58333,68.75809,7.54524,2.06547,50.93983
71,890,5310.24104,12734.00672,170.06373,68.46561,6.81899,1.87641,52.28308
72,892,4587.49185,9109.30622,155.45419,91.26874,8.14202,2.83276,46.19404
73,894,4550.63598,9082.60851,132.48295,53.70687,8.79326,2.05256,46.09762
74,895,4570.58159,9139.43503,228.40633,131.16744,7.38076,1.97682,50.5036
75,902,4519.98344,9119.43101,180.48884,101.28105,8.45243,2.25345,46.60996
76,906,4544.04395,9106.7617,167.254,79.64212,7.87139,2.46953,53.00348
77,906,8897.20906,7602.83862,109.05315,113.35775,10.33089,2.37542,22.10122
78,907,4668.26619,9031.33672,169.35534,72.49614,9.13924,2.50841,58.90092
79,912,8854.56732,7634.60611,153.49462,113.8173,8.88732,2.98872,39.22854
80,913,8862.10183,7575.32557,140.20203,108.0021,10.39165,2.80168,34.52665
81,915,8837.57135,7583.96486,130.84727,112.37957,10.4879,2.91381,31.00761
82,918,4593.66833,9106.4942,178.69135,133.81887,7.38458,2.38323,38.21343
83,946,8851.90031,7760.30199,179.40714,148.06862,8.08117,2.17232,34.05932
84,950,11427.99343,10160.24995,201.56822,90.39693,7.86709,1.9556,55.52299
85,951,4599.95531,9066.34492,229.56449,159.60617,8.37853,2.08623,45.05767
86,951,8851.17113,7660.92081,177.75156,122.95316,9.29886,2.59798,42.41234
87,981,4134.59876,5905.00371,172.95153,72.14384,8.14889,1.72771,49.32954
88,1019,6281.00903,12992.42192,137.30917,91.52392,8.05605,1.96298,31.97979
89,1038,6444.02693,12958.35075,144.00837,60.97833,7.35551,1.82183,44.32036
90,1094,4736.98658,5950.8922,258.81336,184.38173,7.44856,2.51934,53.84362
91,1095,4687.0374,6029.35212,218.95546,184.59303,7.12136,2.43791,40.80912
92,1104,4650.87689,5965.68901,302.10694,210.28059,6.56337,2.73932,65.53913
93,1107,22026.28589,13366.18687,148.26039,61.82114,6.69783,2.0605,48.71132
94,1111,21980.70764,13337.2701,227.37955,140.88677,6.06434,1.94688,47.11767
95,1112,4646.98959,5999.18417,256.69573,198.44318,6.52465,2.86479,54.29227
96,1123,21991.80358,13292.71708,267.67917,183.30622,5.7191,2.18811,52.42497
97,1125,21942.82777,13376.90052,129.72116,48.34032,6.97646,1.87684,46.27925
98,1145,13585.2833,13162.03962,143.7985,59.6662,6.89242,1.9905,47.02492
99,1150,21984.40377,13406.93148,180.02457,82.65529,6.66118,2.13289,52.76367
100,1166,4665.65876,6166.25152,222.97973,178.20835,7.70897,3.01505,48.91334
101,1167,4599.20552,6178.65983,234.56317,116.68025,8.14687,2.95612,74.91548
102,1182,20036.90785,7767.25243,136.57781,63.29855,8.75948,2.21575,44.20672
103,1183,19981.43551,7792.08049,137.69773,59.14247,8.75936,2.36342,48.90233
104,1196,20054.93999,7774.3916,129.27446,76.22413,8.63051,2.16468,35.18028
105,1197,19941.54759,7775.64023,190.84452,104.7935,9.14969,2.28912,49.78824
106,1198,19957.79403,7813.60949,189.7244,87.51296,7.82313,2.25589,56.44937
107,1199,19980.07332,7811.85801,190.70236,134.17702,7.69716,2.03041,38.66776
108,1200,19994.72055,7780.35757,195.18263,130.26374,8.18032,2.22929,42.85958
109,1215,19968.09789,7842.29748,313.16263,234.4845,6.64398,1.90031,50.89913
110,1234,5094.61004,14302.37999,189.33091,99.73286,6.86422,1.95905,46.94844
111,1267,4618.16676,9013.4736,73.89472,35.39575,9.49737,2.67654,33.57878
112,1288,6762.81171,11807.73343,185.91732,207.58149,8.83479,2.99573,32.67252
113,1340,4070.69061,11053.44645,176.39132,150.05802,8.14993,2.80704,37.48393
114,1342,4054.77967,11050.29493,218.86787,186.22871,7.19032,2.01741,36.85226
115,1343,4087.5685,11045.94924,140.39501,106.48444,8.72706,2.36187,32.084
116,1347,4032.21484,11014.78333,183.23626,88.08644,7.03043,2.08392,50.87871
117,1348,4120.53769,11061.89887,206.7465,193.88132,7.70429,2.53184,36.82846
118,1356,4628.06351,6201.98598,166.13653,89.03545,8.93823,2.05063,43.34147
119,1358,4706.18765,6195.28367,205.16024,94.34411,8.43631,2.31896,61.03259
120,1368,13004.81604,1208.14388,112.6585,46.65571,8.75734,1.77829,38.28216
121,1380,21316.7819,6131.75225,132.3464,55.85679,8.75691,2.17186,46.03878
122,1404,4666.55352,6216.8927,204.96186,113.04545,8.25091,1.87904,46.92888
123,1430,18199.50354,12892.32259,134.29072,56.55686,7.29755,2.10317,45.75675
124,1433,5062.74949,9094.27999,155.19052,100.07315,8.52555,2.94201,43.7822
125,1441,4762.51923,6127.82077,261.09449,154.66869,8.08891,2.56177,63.74809
126,1457,4658.23767,6128.72849,290.33457,170.79953,7.51458,2.45831,67.91546
127,1458,4737.09748,6185.87543,176.05157,103.15128,8.35219,2.18681,43.58593
128,1465,4645.47764,6125.606,248.40714,134.37705,7.37279,2.07956,57.95588
129,1474,4828.52755,6207.88082,397.238,420.89277,4.35942,2.37104,52.70006
130,1479,4650.15977,6205.35401,188.66398,157.1564,8.35595,2.50515,37.56916
131,1499,5075.14512,9104.71571,189.41616,176.87657,7.85799,2.92054,37.50153
132,1509,4648.92129,6194.37075,184.06675,175.28615,10.37423,3.32827,39.03907
133,1511,4688.74239,6157.56382,95.68132,38.18541,8.86984,1.94681,37.39288
134,1549,4718.78097,6123.44385,124.72581,47.30543,8.71889,2.28316,49.50292
135,1554,19231.2943,6619.86183,177.19806,88.20584,8.0549,1.68253,43.43968
136,1578,19290.02529,6597.63141,126.93552,46.37245,9.12206,2.31271,51.97909
137,1584,6306.37987,10120.05158,251.8993,184.12739,6.19074,2.66429,53.46849
138,1588,4654.73664,6206.11148,211.3065,182.1432,8.28565,2.61815,40.64738
139,1589,506.75603,8780.91111,164.55766,86.38298,6.81779,2.33965,46.96837
140,1591,4665.18774,6228.40007,173.36893,103.42801,8.07136,1.80366,38.73685
141,1661,19130.57182,6587.76583,158.41323,65.39689,8.36123,1.78284,47.59035
142,1677,19206.98649,6705.5411,222.03711,127.54621,7.42934,2.2329,52.94999
143,1741,562.26209,8887.76145,196.40099,111.96287,6.24517,2.22242,48.54264
144,1774,17731.73986,14304.74569,149.18426,95.42964,7.10026,1.98591,34.87439
145,1796,17706.75377,14262.00172,191.74017,101.05536,6.76718,2.24033,50.9625
146,1797,17709.09196,14280.4468,225.23264,169.23138,5.96116,2.35883,44.7252
147,1798,17684.04913,14271.21686,233.7932,186.22865,5.98968,2.11934,41.51805
148,1799,17697.21973,14319.04071,180.93296,136.34413,7.22878,2.59762,40.17433
149,1800,17719.0586,14322.13881,187.02043,113.81892,7.2758,2.29586,45.35183
150,1801,17656.27282,14253.1643,205.38674,112.78409,6.35266,2.30056,52.69892
151,1802,17643.44002,14285.99193,221.00067,184.10911,6.82678,2.55763,42.5777
152,1812,17681.83194,14308.21707,173.34575,180.89864,7.29267,1.98708,27.14132
153,1813,17672.89235,14310.82843,188.84023,259.16976,7.30492,3.25567,29.48056
154,1814,17656.27338,14297.82835,214.38893,306.072,7.42287,2.96863,29.83386
155,1815,17619.5917,14361.14316,138.57155,71.99989,6.64351,1.72311,36.33685
156,1839,14658.76389,12283.96608,142.5711,80.35387,7.97154,1.52801,33.30035
157,1840,14645.56508,12316.30064,122.69725,78.69478,8.32276,2.273,32.7666
158,1841,14665.04933,12370.08982,186.85614,118.05171,7.11053,2.24316,43.48264
159,1842,14615.1331,12333.99447,165.58319,123.15597,8.14318,2.30377,35.84301
160,1843,14625.72216,12323.2535,151.65297,77.53655,8.53871,2.14767,43.24774
161,1844,14604.09875,12301.81101,175.48814,103.54624,7.84504,1.82995,39.62312
162,1845,14618.96034,12325.73542,183.92527,136.74132,7.12031,2.50632,40.27406
163,1847,14619.92061,12276.78009,159.13551,98.34122,7.58984,2.13352,38.58957
164,1848,14662.00413,12343.38682,164.34674,103.279,8.03612,1.95028,37.30932
165,1849,14634.08501,12292.71279,154.776,89.40561,8.23514,2.16033,40.09367
166,1850,14648.80168,12270.56142,136.49922,91.00279,8.2601,2.15395,33.18768
167,1851,14636.82486,12342.12951,221.70934,141.06198,6.53271,1.9772,45.71608
168,1852,14595.74722,12383.45334,193.8313,95.10565,7.391,1.97749,50.65151
169,1853,14640.68088,12336.90095,137.73028,60.40854,8.07534,2.17412,45.90888
170,1854,14545.28174,12409.49859,113.72456,50.31952,7.24893,1.84913,37.34039
171,1858,14631.43528,12448.67939,175.60504,68.68266,7.56102,2.91283,72.32805
172,1859,14604.85569,12281.02337,144.50801,92.10768,7.71528,1.81466,32.96805
173,1860,14631.5746,12253.32491,112.00753,48.49788,8.1803,1.66492,35.92365
174,1861,14701.82572,12278.5661,161.09471,88.28801,7.5256,1.91055,40.31895
175,1862,14678.06601,12355.40353,162.38886,91.22972,7.50709,2.24372,43.14677
176,1863,14560.22606,12311.17854,132.23906,86.27671,8.05028,2.73754,37.28724
177,1864,14596.23719,12286.01704,197.54022,144.13328,6.7913,2.14534,39.61324
178,1865,14580.60218,12337.54155,93.56452,54.2802,8.77305,2.25442,30.08314
179,1866,14591.3932,12303.62514,183.78056,136.99811,7.50993,2.0225,36.07783
180,1869,14647.86443,12311.33579,180.13188,74.86272,7.78655,2.106,56.68887
181,1870,14668.4233,12295.92802,183.93714,118.19979,7.30999,1.91164,39.2024
182,1873,14588.36886,12311.99056,147.71174,76.71057,8.9588,2.14906,42.00461
183,1874,14588.68618,12442.87916,172.07041,91.00393,7.765,2.64615,51.87484
184,1877,14657.65051,12349.49251,113.28899,46.45119,7.8036,2.26244,43.59412
185,1878,14637.34324,12323.272,149.11597,147.26689,7.83241,2.16487,26.54298
186,1879,14670.59969,12308.39951,181.6221,181.20276,7.41954,2.40091,31.31021
187,1880,9106.71089,5544.86981,158.76913,77.62327,8.56839,2.47864,50.09883
188,1880,14586.04448,12359.62741,146.81995,135.4451,8.95295,2.88698,31.51748
