"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,2,578.14372,6148.64346,134.98759,53.12326,6.34142,1.91681,46.05382
2,2,1119.33785,9613.75045,118.98328,49.88744,7.02216,1.96504,41.07069
3,3,16496.33203,5001.18551,128.27147,149.61111,7.82554,2.13463,21.52578
4,4,16517.87979,4975.51025,142.63104,247.00772,8.24055,2.42691,18.34532
5,5,1132.10176,9544.83771,107.6411,65.46645,8.0856,2.52124,33.13441
6,5,16544.44819,4992.53911,160.1341,268.95774,7.96927,3.38006,23.05575
7,6,16546.49945,4966.07669,159.78225,290.07027,7.53976,3.11232,20.95533
8,7,16538.24137,4959.33917,112.79152,211.35117,9.37848,2.29048,15.00944
9,8,16558.92844,4965.21252,126.14584,177.10247,8.26636,2.88425,21.04032
10,9,16581.22235,4983.15824,250.74293,199.98229,6.40848,2.67219,49.7344
11,10,16515.03436,4940.67074,160.17819,133.36953,8.15001,2.08616,30.85452
12,11,16553.84735,4991.33592,139.76163,99.60145,8.70346,2.39593,33.73172
13,12,16523.85111,5008.86659,138.79021,111.71733,8.03582,2.16677,29.35013
14,13,16597.76891,4974.37613,116.91628,131.14243,9.37133,2.37361,21.79494
15,14,16546.92256,4957.89708,172.58381,125.42919,6.87529,2.51958,39.30099
16,25,9859.26762,7398.60071,141.51112,69.57974,7.53311,1.74849,38.54172
17,34,12571.41507,12475.60509,156.24233,91.07175,6.42653,1.6295,35.27922
18,36,8249.05046,13554.35647,96.29656,38.32176,6.85157,1.4788,33.50695
19,38,8232.59836,13412.13003,130.46848,50.19298,6.79267,1.68762,43.08205
20,45,12540.27717,12661.71435,164.64135,66.97737,6.9046,1.84345,50.24619
21,56,12755.48309,8997.06412,161.5819,113.07806,7.07251,2.42656,37.89237
22,84,8291.72022,9264.45478,107.82298,42.72014,7.92787,1.79709,38.72554
23,134,13509.38648,13032.01382,136.80887,154.24728,7.96709,2.67281,25.02466
24,136,12605.98406,1715.24187,107.30337,53.81365,7.56207,2.17317,35.50185
25,137,12705.9014,1693.50054,123.79939,86.25922,7.1875,1.80549,28.19225
26,156,5372.43751,12425.44582,115.95539,98.3033,7.55915,2.41906,26.61209
27,159,9084.4507,3490.22467,132.17942,293.39699,9.72535,3.14505,16.261
28,166,1185.76876,14266.39254,157.36935,93.16429,6.84024,2.15944,39.79186
29,183,6000.22884,2507.93937,102.89372,75.16732,8.93467,2.3141,27.13653
30,187,5746.88318,7935.80424,127.51608,54.90051,8.52188,2.10495,43.53008
31,189,10734.57722,8028.13085,154.92532,208.69343,8.10023,2.69542,23.90654
32,190,10672.67229,7990.84989,140.38976,117.73257,8.64896,1.97415,27.64533
33,192,10671.88971,8005.50079,129.87109,318.42807,9.75918,3.9791,16.50308
34,199,5673.48515,7945.0272,142.72243,149.1711,8.55295,2.96975,28.5613
35,200,5695.44978,7914.58054,127.8748,192.35817,8.70116,2.06619,17.96302
36,201,5701.95899,7888.73089,131.40082,71.85019,8.35668,2.05092,36.62342
37,202,5733.79221,7932.04672,154.86256,206.97677,8.83172,2.49809,23.28454
38,203,5725.34795,7927.62047,151.61432,253.09106,8.92734,2.75205,20.44361
39,204,5740.21179,7904.06779,124.99713,119.61461,9.07885,2.11623,24.19203
40,205,5727.99875,7903.87648,160.30904,324.62844,9.88985,3.04228,19.24901
41,206,5663.32419,7949.93979,148.34092,78.75636,8.24905,2.02447,40.20351
42,207,5709.20924,7917.82841,152.18152,67.06503,7.94606,1.57157,41.66758
43,208,5718.1172,7948.5444,107.96303,69.7648,9.48586,2.0887,29.12253
44,209,5684.25525,7869.79057,144.80207,203.19414,8.50006,2.98391,23.25254
45,211,10679.85534,8077.09068,105.56996,72.32631,8.92656,2.36384,29.10176
46,213,10695.30245,8051.3114,132.95283,154.95248,9.13892,2.43378,23.09719
47,220,4615.73971,2302.48317,94.56458,57.66645,7.00006,2.14556,28.56203
48,233,14572.80265,13874.03205,139.4645,248.0565,8.15379,3.56828,20.73101
49,234,14545.88779,13862.38299,128.69503,253.01793,8.28435,3.10911,17.33003
50,235,10779.49345,7992.11848,239.96704,131.88921,7.43005,2.1767,57.27522
51,235,14550.03916,13869.39005,142.89961,343.80563,8.3875,2.96091,15.76908
52,236,10729.59135,7994.71189,106.21474,67.10159,8.63817,2.26503,30.3807
53,236,14562.85926,13859.80014,136.70488,130.17166,7.65077,2.51438,27.50163
54,240,18281.70698,9095.77765,123.76904,95.50564,7.85594,2.14868,28.11823
55,241,18278.46989,9076.68496,92.77563,64.58481,8.49747,2.11388,25.60687
56,242,18280.50665,9102.07286,168.99657,131.3228,7.36947,1.78269,31.423
57,243,18278.17701,9113.32551,116.94204,84.69978,7.66258,1.68251,25.93307
58,244,18278.06863,9117.78907,94.44757,75.60441,8.66258,2.26253,24.08087
59,245,17923.40469,12037.04024,143.14285,130.08066,7.42426,2.12249,27.21941
60,245,18265.99948,9119.7747,144.5622,132.18596,8.02386,2.50433,29.29031
61,246,17900.26836,12083.93114,118.44228,116.38089,7.24756,2.53286,24.7305
62,246,18256.22526,9109.16272,114.09751,97.74602,7.50257,1.64341,22.72944
63,247,17906.24901,12082.65273,118.75615,64.18442,8.19878,2.52292,38.49012
64,258,14535.41387,13869.64811,137.16334,164.40794,8.23901,1.9834,21.42545
65,258,16198.16159,7215.26554,132.93589,149.70594,9.37623,2.57109,24.1989
66,261,2845.16736,861.2022,139.89792,67.01139,7.27614,1.65422,38.0661
67,261,16189.53112,7182.90901,151.36586,76.80122,8.9555,1.85429,40.39064
68,278,14561.30234,13898.42367,117.50205,70.89783,7.19876,2.09986,32.19151
69,279,14517.9547,13892.06705,132.37788,92.05385,7.00153,2.20409,31.90828
70,280,14531.82217,13841.15121,117.09704,266.93253,8.41824,3.8044,16.03379
71,281,14552.17311,13838.23516,133.09391,158.45468,7.98002,2.33255,22.4002
72,286,14509.28066,13864.48609,152.14448,92.01826,6.48648,1.91854,36.21455
73,287,14594.83819,13891.01639,95.92774,38.88225,7.87541,2.4639,41.75554
74,292,18118.89777,4863.1665,146.69521,104.00161,8.91743,2.4062,35.02066
75,302,18190.91733,4855.0277,242.26824,114.56365,7.1968,2.00565,61.95037
76,309,10230.24983,10595.42148,122.6676,271.32328,9.37155,3.04413,15.42681
77,310,10252.05138,10580.57868,141.63736,266.08103,8.56558,2.93766,18.52824
78,335,16678.85788,12016.26248,168.22039,87.25047,7.0066,1.83564,42.40419
79,349,1172.61714,11868.00467,137.6841,98.29474,7.75735,2.29506,32.68631
80,350,1180.92305,11870.3713,118.15665,170.27906,8.42654,2.30674,18.31428
81,351,1168.71031,11912.53762,151.33996,65.72581,7.68302,2.14109,48.88583
82,353,1187.20311,11889.68376,107.58663,64.10122,7.12465,1.97874,30.09966
83,354,1109.78837,11863.9414,71.26412,44.53582,7.0365,1.6622,22.47198
84,355,1182.02108,11894.87758,120.50596,147.94076,8.73493,2.70323,21.92135
85,356,1188.37141,11867.16753,141.82287,174.71619,8.47548,2.3529,22.80114
86,357,1179.36517,11903.20117,133.56616,63.27721,7.1968,1.72386,37.95335
87,358,15922.21588,4692.88135,138.68368,55.14218,8.44759,2.28291,51.19024
88,359,1192.89327,11903.49041,163.12694,125.6048,6.54221,1.73964,30.63644
89,361,1144.28676,11885.47999,184.93668,80.79742,7.27837,2.26117,57.94434
90,362,1179.79489,11823.19504,137.79832,183.16802,8.58116,2.94232,23.29235
91,371,1198.75451,11897.65934,148.88039,60.17909,7.09905,2.06108,50.04705
92,384,2046.90254,10055.58102,107.0505,84.57872,8.9411,2.20779,25.73165
93,400,1194.48037,11907.91205,151.21729,59.18873,6.78135,1.4004,43.00387
94,403,1183.85301,11844.47116,123.90069,53.08476,6.94437,1.67482,38.48723
95,410,1135.5741,11841.21014,143.1449,81.09874,7.68821,2.32066,40.07424
96,417,1182.5395,11867.06642,114.37402,179.86962,8.3186,2.8006,18.15607
97,442,6349.75169,6096.71764,124.3738,58.05731,8.65767,2.35643,42.7672
98,443,6301.67261,6084.90849,164.23324,79.70974,7.79761,1.79768,43.39382
99,444,1756.40323,11404.3699,125.09968,163.65339,8.32193,2.76616,21.6309
100,444,6372.3068,6071.0672,162.88388,89.30626,8.41171,2.8863,51.11151
101,445,6349.68468,6115.63878,121.69037,54.80574,9.16265,2.17813,41.57084
102,448,6371.4268,6019.89013,135.7853,50.57827,8.42982,2.12446,50.97561
103,449,1804.28941,11384.52097,93.18391,44.56076,8.32982,1.89757,31.99031
104,449,6376.42742,6092.21242,142.66236,90.99998,8.17112,2.07858,34.67375
105,451,1753.28008,11379.55556,116.51271,113.54459,8.28727,2.91563,26.25231
106,453,1730.08429,11395.70764,88.1193,61.34628,6.97407,2.15743,25.15658
107,456,1758.03359,11403.1771,118.35764,80.06162,7.00684,1.85493,28.32956
108,457,1752.72307,11415.34808,147.24897,138.35572,7.49829,2.81166,30.72491
109,457,6325.85262,6065.17721,187.96798,95.22532,7.34357,1.67198,44.49094
110,458,19310.97035,8730.67912,151.76617,71.81799,7.7802,2.53658,50.50304
111,462,1715.16784,11358.00933,106.14134,80.66501,7.80267,1.89028,24.80212
112,464,1171.31356,11878.53461,154.86061,141.84646,6.98084,2.44784,30.26141
113,465,1173.57689,11833.59595,133.60405,97.94621,8.17146,1.94841,29.31712
114,578,1867.85103,2137.43352,147.10037,103.1568,7.59558,1.73648,30.63883
115,587,19115.28875,4780.28088,146.91515,157.88616,8.22771,2.41453,25.9146
116,588,1863.31197,2142.46516,138.56194,68.75521,7.34375,2.13588,41.55226
117,588,19161.23066,4773.93014,143.11507,132.97021,8.37313,2.18535,27.11487
118,589,1870.07742,2158.21597,157.47611,108.53612,7.06871,1.84332,33.13528
119,589,19120.92013,4776.16668,160.52186,234.36919,8.29956,2.80087,23.47168
120,590,19147.85736,4793.06448,124.81224,91.07103,9.13273,2.24372,29.96384
121,592,19131.0193,4800.33622,155.68012,105.62328,8.64076,2.4975,38.40593
122,593,1857.96899,2132.744,88.68098,40.61353,7.75256,1.81005,31.53989
123,593,19138.69469,4755.94484,136.77848,140.413,8.94881,2.90053,27.83518
124,597,1834.61913,2183.61273,92.86906,41.39554,7.73134,2.02246,34.54681
125,605,1840.21984,2130.176,177.83561,138.9873,6.88438,2.05978,34.38422
126,606,17960.36396,7727.29063,125.58192,108.89975,8.74783,1.78941,24.42708
127,609,19116.99301,4826.20646,98.92783,59.91375,8.06948,2.19525,29.69369
128,610,17913.85296,7807.25732,119.64698,47.96776,8.8559,2.10874,44.18832
129,622,8536.28277,4683.26456,133.52116,100.58662,8.43966,1.76624,27.70117
130,623,8370.43597,7938.74456,134.83471,83.85721,8.81205,1.7979,32.03003
131,644,19170.63915,4879.53744,101.21108,61.42247,7.45955,1.39032,25.41802
132,645,18417.40773,8499.79869,120.36438,52.34937,7.64232,1.96328,40.23218
133,682,17946.04212,7711.16187,145.69083,150.9895,8.54128,2.3655,26.22531
