"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,3,16137.13546,12194.95477,208.40172,106.29297,6.82631,2.66165,62.01494
2,4,16229.75818,12273.20547,161.12434,62.8592,7.53284,1.71226,49.21717
3,5,16197.57691,12178.87224,148.80659,63.94928,7.61809,2.0417,47.47623
4,6,2467.46195,4549.65978,109.17624,41.91314,7.34132,1.79731,39.91385
5,6,5545.33497,11766.72965,147.19028,89.41837,7.15949,1.72119,33.75608
6,7,5541.53329,11760.20091,98.87575,60.44715,7.8597,1.99534,28.32638
7,8,5531.32491,11761.29,91.57705,69.69289,7.39639,2.07971,23.77044
8,11,16183.7155,14327.12702,86.99617,38.27438,5.95611,1.74309,31.65016
9,11,22221.34984,11531.88099,132.80715,65.26236,6.20972,1.58785,35.61416
10,39,13844.31601,913.83124,203.771,287.66759,8.02202,3.36278,30.99731
11,41,13845.0209,966.46468,175.17596,211.16636,7.91437,2.78099,28.49739
12,42,13862.03809,859.5235,185.76604,170.48247,7.83029,2.24798,32.77778
13,43,13821.54161,903.48344,127.83311,68.49353,8.61469,2.11564,37.08764
14,44,13817.04564,902.98692,170.3485,180.21368,8.72579,2.59502,29.79715
15,45,13847.93917,891.05759,152.16787,62.8878,7.67048,2.23401,52.2654
16,46,13818.47394,882.56247,192.71509,114.32178,6.46239,1.58761,39.45785
17,47,13818.65882,907.77469,187.31542,132.93885,7.30889,2.17533,39.25019
18,48,13881.13271,979.73724,186.54859,86.61671,7.4845,1.69491,47.5062
19,49,13860.99986,943.25071,152.8991,110.6007,8.74298,2.14943,33.58584
20,50,13865.53862,972.13685,143.36274,103.03305,8.59003,2.92296,37.86455
21,51,13890.40462,879.57828,85.49298,71.92339,8.63183,2.61261,23.46219
22,52,13827.42351,860.03476,186.22372,141.08358,7.49757,1.90524,35.02352
23,53,13867.6145,911.70753,143.75676,105.10188,7.59862,2.26582,32.81855
24,54,13804.15669,920.98805,164.05512,137.68205,8.75864,2.32946,32.74681
25,56,13811.19594,933.86861,145.88557,182.4611,8.56961,2.06709,21.89361
26,154,19015.50597,6323.74933,192.16282,125.86191,7.66743,2.57913,46.65418
27,155,18942.44744,6382.5961,138.7501,56.34345,8.44778,2.31898,50.82295
28,159,10241.44534,13918.73221,142.85341,107.17643,7.9876,2.08275,30.89317
29,160,12928.51529,12202.53981,145.14429,348.85811,10.23853,3.44615,16.86937
30,164,7882.50915,10323.04854,199.37879,132.45329,8.79446,2.42928,45.78322
31,168,14175.10657,11666.71235,160.67818,70.86289,7.7968,2.2645,51.99056
32,169,14217.75389,11671.85966,118.54215,53.35377,7.82654,1.819,37.51744
33,170,13799.70186,817.27023,141.53465,95.46931,9.56828,2.99589,40.02988
34,170,17961.96896,5212.52453,73.51658,37.17943,9.24637,2.00735,28.13432
35,183,16088.46472,2475.88783,296.50508,188.39557,5.23096,2.28036,61.74311
36,194,13811.85337,845.87825,145.14723,134.00844,10.15406,2.41747,28.69461
37,195,13719.59914,898.28175,175.929,161.24018,8.04496,2.49697,33.24863
38,197,13834.60623,944.32043,159.02135,103.72599,7.49991,1.95624,35.58802
39,198,13779.95135,877.49711,180.37308,120.38199,7.66472,2.42167,42.37441
40,214,17429.0741,9906.17581,136.52257,66.46625,7.55932,1.69711,37.47081
41,215,17394.71329,9812.49246,148.77361,134.24935,8.35762,2.58465,30.58392
42,216,17456.00852,9843.41305,264.92511,162.16614,6.9574,2.51994,62.08638
43,216,19188.64711,3913.99842,121.15785,94.92984,9.11831,2.40224,28.82019
44,219,17392.04143,9832.31611,124.00676,52.22071,8.24491,2.17397,44.23978
45,224,10822.53217,11166.12716,144.10658,123.42585,9.42865,2.36987,29.89341
46,227,10837.36451,11110.65839,170.09154,182.65621,8.97527,3.77854,36.1442
47,230,10788.11539,11136.89189,142.97247,119.82696,10.05251,2.44154,30.63629
48,231,10817.8693,11136.08553,131.78449,51.79125,8.67211,2.36515,50.96138
49,232,14281.3661,11663.77613,148.6987,65.92398,8.21903,2.56584,52.83726
50,234,14263.61159,11615.28952,181.70608,90.38933,8.70673,2.15368,50.15921
51,234,19168.21245,3836.37909,142.84217,62.5194,7.56517,1.98949,44.94372
52,238,10796.43101,11120.92048,124.94208,54.01302,7.92839,1.90002,40.7035
53,239,4431.59968,8514.49698,214.41058,129.03557,8.32131,2.10699,48.1593
54,240,4425.52207,8568.60067,104.00975,49.54044,8.30159,2.12745,35.85886
55,241,10837.01174,11146.67004,194.40931,279.04925,7.74571,2.76937,26.841
56,242,10850.58428,11112.26676,170.88946,168.41259,8.85406,2.55117,31.21205
57,242,14302.83204,11651.71867,150.75494,86.44678,8.21774,1.82699,36.61124
58,243,10853.81843,11075.44093,150.19246,79.50459,8.36295,2.01901,40.56774
59,243,14204.42015,11654.22869,135.87817,96.47153,8.36587,2.36963,33.04378
60,244,10856.04869,11149.24019,207.96391,123.64311,7.75688,2.46286,51.99508
61,244,14251.43759,11676.25701,159.82034,124.30621,8.23573,2.12837,32.64296
62,245,10877.71336,11123.6599,108.41737,54.1599,8.75868,2.27204,36.61112
63,247,4470.14181,8477.84928,153.95306,124.79998,8.63144,2.27067,31.83736
64,249,5158.9221,8460.22761,157.93406,127.86801,9.18206,2.61485,34.7202
65,250,14176.94203,13213.3044,153.4978,70.87169,7.51498,1.95316,44.85163
66,253,5100.39447,8462.03325,144.90161,117.65422,9.73582,2.60997,32.68037
67,257,5116.41227,8446.51376,160.71917,212.08657,9.4421,2.36089,23.51089
68,263,5301.41022,10184.53106,123.49124,50.49488,8.08969,2.27599,46.2852
69,263,10788.49407,11188.66891,203.37712,104.8787,7.16077,2.27938,54.70028
70,264,10856.80847,11253.02787,183.80336,99.45198,7.90803,1.4289,39.10685
71,264,16323.80202,14418.46952,211.74848,97.08476,6.29353,2.13513,59.55119
72,265,16214.30272,14370.74185,202.0166,128.69542,5.94445,2.33863,46.74921
73,266,16237.65559,14382.25721,163.73061,160.57557,7.56751,2.0776,27.81894
74,267,14241.46614,11605.075,186.57153,105.3924,7.84938,2.28503,47.853
75,268,10835.16164,11145.95041,176.634,95.58122,8.46241,2.70287,52.6059
76,269,10849.10439,11142.74126,146.82328,76.04579,8.24318,2.04894,40.91978
77,270,10902.27102,11087.09842,250.67362,130.35564,6.82922,1.997,58.79999
78,271,4604.06265,1016.97232,116.61762,71.91765,8.82986,2.63352,35.19197
79,272,14151.93767,13174.48455,172.8514,104.57891,7.09916,2.40088,44.15958
80,273,4643.22382,1080.68705,141.3545,92.95687,8.72106,2.61496,37.77818
81,275,6280.35688,13562.22842,153.00077,79.04903,7.47707,2.17153,43.41194
82,275,14139.80594,13164.14945,127.30763,72.75787,8.45308,1.84713,33.21057
83,278,14249.84578,11649.50839,164.91925,151.91429,8.5143,2.434,31.32699
84,279,6292.15484,13573.07919,121.37619,50.99432,7.47271,1.82618,40.08132
85,281,6260.32645,13568.22331,151.91729,108.51015,7.34079,2.30017,34.85473
86,284,7867.63287,1015.59118,236.32551,152.97874,6.63335,2.20195,50.08667
87,294,6246.26936,13579.77514,198.56395,103.65663,7.407,2.56267,57.18578
88,295,6190.33076,13479.07652,234.09084,114.45853,6.03779,1.93842,57.64207
89,302,7810.34091,1059.05857,89.36131,41.141,8.20928,2.22557,34.58321
90,323,4592.08967,1072.55091,195.28729,140.63674,7.66137,2.35786,41.67374
91,324,4555.47211,1090.53296,152.71495,70.27737,7.45014,2.23306,48.13758
92,328,6289.28875,13589.08959,162.73814,76.51184,7.34258,2.04609,47.15513
93,333,4577.98352,1101.93602,211.3384,149.10688,7.7918,2.23211,43.50366
94,334,4516.91591,1126.73977,169.95562,91.54252,7.4489,2.25421,46.12254
95,344,19696.63902,3592.05663,283.89837,186.13653,5.87863,2.41487,60.29963
96,362,3882.44756,7785.0118,141.35458,88.96009,8.3017,2.07852,34.81127
97,370,14345.33243,10402.06658,228.38452,233.0079,6.75944,2.7479,38.76986
98,373,14353.24461,10413.92925,151.35122,136.06592,8.90341,2.17306,28.67229
99,390,2270.052,5122.3841,163.44746,99.26753,7.76501,2.19071,40.33663
100,391,2290.65277,5134.58132,168.82601,92.3521,7.53973,1.71463,39.62498
101,392,2283.05056,5099.48755,164.48993,96.4565,8.09502,2.18946,41.5897
102,393,2286.95691,5170.82243,118.44389,65.0983,8.3496,2.00466,33.8932
103,396,4626.01431,9149.61759,147.89873,65.80923,7.32553,1.87253,44.0515
104,410,19542.74482,3573.71638,112.68183,53.0098,8.56335,2.24596,38.96944
105,421,6639.72014,1203.09012,152.85923,61.06161,7.53298,1.9942,50.50273
106,424,14303.77097,10446.05759,123.61465,57.36397,8.51081,2.46221,43.85281
107,428,6807.42793,1305.42443,177.06084,136.11665,7.50883,1.95274,33.8845
108,428,9170.77641,7632.46689,138.47104,122.37665,8.82554,2.2269,27.74248
109,433,14323.31601,10358.21087,141.22941,61.52428,7.54958,1.92276,44.00038
110,434,9150.99182,7592.67949,187.90636,155.48932,9.37522,2.69805,39.19421
111,446,9061.4518,7620.53985,82.65458,40.49056,8.51568,2.0757,30.77936
112,462,14914.67289,13841.33254,160.43879,156.68449,7.28562,1.87035,26.46225
113,463,14916.96514,13848.59792,151.04893,236.77393,8.06497,2.81927,21.52725
114,469,6212.0667,13536.89424,140.75567,70.78855,7.28945,1.65966,36.96087
115,484,20593.38285,751.27808,178.03748,72.84372,6.88585,1.90789,53.80561
116,488,16464.90453,1416.89595,129.55768,50.69423,8.57839,2.02953,46.40443
117,508,6728.1969,1242.24874,137.68836,54.70622,7.87305,2.14669,49.2109
118,521,5108.33018,5984.30574,68.66573,38.84251,9.03659,2.20149,26.26051
119,531,6844.97373,1375.45637,129.77445,55.564,7.96738,1.86282,41.57827
120,532,6830.76612,1305.84313,164.50826,71.69769,7.82783,2.40648,55.36253
121,564,6353.36495,13522.13077,153.22835,75.00587,7.19412,1.84545,41.70912
122,576,4988.94688,6022.37648,130.98084,150.74045,10.52015,3.24656,26.28614
123,579,4953.57116,5998.98278,133.09582,57.83403,8.85398,2.56771,49.73531
124,581,9137.36529,7606.97947,149.89521,96.93875,9.13369,2.19239,36.33928
125,582,9213.36838,7623.66491,259.02832,162.45441,6.9768,2.67082,62.10484
126,604,6790.63571,1343.60214,194.87716,103.54138,6.52962,1.89548,46.79633
127,607,732.94002,7598.94893,173.36843,77.04266,7.22962,2.15206,52.96488
128,622,9168.16627,7630.54646,148.47355,87.63197,8.4776,2.8362,44.55878
129,648,6784.03805,1298.53311,164.12455,153.85411,7.61424,2.42649,30.78298
130,677,9044.31175,7613.29992,140.83041,62.4251,8.58228,2.10871,45.46093
131,751,8948.41756,5957.2993,141.63213,64.57063,8.11468,1.60111,39.18564
