"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,3,13250.21946,1131.60002,113.19395,75.74107,7.26607,1.63966,26.62796
2,3,14981.66779,1633.52294,144.89514,425.18639,10.39024,5.19223,17.59372
3,4,13237.63135,1081.53545,179.97544,85.19984,8.0923,1.88376,48.15636
4,4,14975.73839,1635.40093,130.7783,380.8283,9.7628,4.92343,16.12378
5,5,13244.29683,1108.67716,125.81563,80.08147,7.77945,1.98352,31.47814
6,5,14957.35681,1614.4932,172.07211,198.15962,7.22926,2.74185,28.92695
7,15,22045.7636,10462.71811,141.97001,182.11246,7.31783,2.96476,24.44043
8,24,15469.42412,1427.13048,122.25241,98.45005,7.67317,1.92776,25.96868
9,25,15431.7488,1462.06687,129.6561,100.91264,7.86516,2.18111,28.9172
10,26,15448.28777,1458.96321,152.55138,129.33966,7.10078,2.47169,31.86608
11,27,15414.28309,1463.04499,126.15201,99.18624,7.65115,2.35652,29.20499
12,28,15445.87568,1424.93916,175.22048,140.68909,7.12871,2.26802,34.91124
13,29,15419.85123,1429.41641,120.75979,78.62161,7.31269,2.08621,30.88658
14,30,15414.30125,1428.58601,170.30289,120.50824,7.29659,1.98294,35.30105
15,31,15431.84967,1476.03779,132.73419,135.67469,7.65616,2.73693,26.65285
16,32,15455.42277,1436.56867,131.86513,101.85513,7.29746,2.04611,28.59965
17,33,15436.72913,1466.2833,133.26383,105.51944,7.63705,2.04729,28.29123
18,34,15411.64337,1459.88859,117.56362,86.02117,7.45171,2.00649,27.55146
19,35,15440.1206,1457.48382,134.4367,167.55442,7.36623,2.30118,21.72513
20,36,15449.39625,1462.78739,122.11259,152.21853,7.42001,2.17311,20.1421
21,37,15424.62269,1484.09865,110.36195,78.02481,7.97983,2.24466,28.51752
22,38,15453.30841,1444.10853,143.08181,98.21688,7.22976,2.33033,34.74195
23,39,15430.77512,1455.01176,121.15575,117.59697,7.3884,2.13766,23.61985
24,40,15404.54156,1442.98158,151.31031,103.78414,6.87237,2.34035,36.13701
25,41,15402.02119,1439.38025,163.98914,99.70495,6.9312,1.78049,36.63868
26,42,15416.06209,1462.84665,154.22708,103.27637,7.57067,2.30744,37.00023
27,43,15400.04353,1509.85437,115.64278,53.28918,7.61475,1.96447,37.64201
28,44,15494.70586,1409.48566,68.29673,43.42524,6.86802,1.76953,22.30143
29,45,15423.18213,1475.93899,148.83238,81.84989,7.49604,2.21383,41.04695
30,46,15452.3672,1414.05791,155.5704,120.48774,6.25635,1.53663,28.3542
31,47,15398.14018,1466.68811,134.4001,106.00745,7.13218,2.10884,28.86376
32,48,15452.09608,1439.43141,148.85233,105.09066,7.54929,2.41715,35.55136
33,52,15527.08109,1478.8337,131.37674,51.8359,7.2028,1.86129,44.50847
34,53,15463.30819,1397.27275,134.51279,57.09975,6.92106,1.79943,42.09765
35,56,15442.98321,1461.19964,114.46314,50.8736,8.15923,1.96721,38.44599
36,57,15429.88855,1466.68094,116.54717,58.44002,7.54153,2.19469,37.47286
37,82,7546.20574,2217.33691,123.17947,51.69555,6.83123,1.70401,39.22161
38,99,19717.14028,11276.92194,101.65497,96.39047,7.83463,2.07238,21.5617
39,100,19749.29032,11326.50906,147.82792,67.51998,7.61122,1.78001,42.15376
40,104,4692.78396,13485.97542,119.3767,72.62197,6.36847,1.72984,29.82866
41,107,4673.79487,13446.15128,172.80865,70.68754,5.85814,1.47638,46.44135
42,110,4641.23032,13503.24993,182.3492,82.83395,6.22743,1.81587,49.20117
43,114,4647.38791,13477.26279,169.75517,90.59301,5.90734,1.62697,39.56471
44,115,4692.55305,13484.88147,224.84909,124.51295,5.92203,2.60496,60.58598
45,120,1400.25806,8065.76609,144.62487,129.89988,7.95963,2.15288,27.77945
46,121,1469.47891,8084.58902,145.62024,96.38887,7.29141,1.70133,31.44391
47,135,4596.08885,13485.61645,103.30665,66.77825,7.39531,1.75101,26.55022
48,138,17741.73263,7037.63219,155.87099,76.06932,7.16536,1.75714,41.31316
49,139,1485.37454,8089.40281,136.29189,74.76593,7.34062,2.02885,37.19626
50,143,16412.27545,11940.66131,163.91902,68.08793,6.66506,2.17387,53.99153
51,146,1474.71545,8062.22603,156.34135,78.22694,8.11377,2.38559,47.57451
52,147,1428.71634,8087.38439,121.43723,100.36793,8.29077,1.99949,25.76109
53,147,4682.30319,13514.95678,109.1945,69.13949,6.48702,1.54964,26.59176
54,148,16409.03153,11951.62374,145.19723,57.55722,6.94733,1.69176,45.15018
55,149,4648.60723,13489.34808,168.369,90.69298,6.66237,1.96229,42.61377
56,151,4663.67393,13451.74656,103.7638,62.624,7.51367,2.41342,31.93166
57,152,16307.96595,11975.52256,94.84188,44.42256,6.87233,1.48448,29.80619
58,153,4654.23732,13517.186,151.63865,65.49676,6.11514,1.59672,42.47188
59,155,16258.62511,11863.33128,134.68539,60.46581,7.17423,2.13619,44.0186
60,165,16479.38667,12005.25962,212.55276,84.96665,7.0521,2.08899,65.81421
61,166,17755.16637,7033.99253,180.8516,96.33862,7.57473,2.06638,46.35692
62,167,9378.35159,9189.87855,121.53923,144.00063,7.86925,2.02002,20.28305
63,168,9377.13745,9197.81756,159.56762,164.04873,7.61522,2.31302,27.6732
64,168,10185.40829,12375.92373,129.91715,68.06157,7.61633,1.68611,34.42725
65,169,9406.62664,9181.53612,142.32458,134.88815,8.00967,2.14331,26.44057
66,170,9427.83182,9246.23319,124.94578,142.57717,7.98115,2.28484,22.05495
67,179,17737.94386,6982.50688,130.28877,55.16661,7.10554,1.8163,41.52298
68,195,22083.72923,10490.60953,175.08272,166.26089,7.07216,2.28918,30.98679
69,198,18163.948,2315.50269,137.16663,178.80661,8.42693,2.50591,22.01866
70,199,18132.26639,2375.03634,152.87423,167.29543,8.29346,2.98963,28.96911
71,200,19330.13306,2866.37867,146.46333,150.2445,7.83486,2.37257,26.53777
72,201,18147.62949,2408.07294,230.44657,127.23991,6.32978,2.51934,60.57574
73,202,18169.90032,2347.15682,102.365,50.5806,8.19472,2.41619,36.83065
74,202,19335.31365,2849.03988,109.3802,51.58941,8.0541,2.01971,36.27966
75,204,16294.6235,6329.53107,89.87832,41.8947,9.02723,2.06105,33.15861
76,204,19313.17655,2828.38433,110.55868,49.25707,9.13947,1.94323,37.3852
77,209,17694.63893,7039.89619,127.25485,60.71341,8.66962,2.49538,44.06393
78,209,19333.75569,2830.43198,78.62655,49.74137,7.93112,2.05111,24.98838
79,210,19314.37529,2877.20355,123.51788,60.92318,7.96481,2.06709,38.17351
80,211,17223.98148,2355.95116,116.75323,74.39284,7.88204,2.4264,32.96129
81,213,17212.30273,2373.37409,105.63351,78.88833,8.53747,2.82502,29.73885
82,214,17233.23089,2366.2952,132.58542,69.86694,7.84501,2.17035,38.91155
83,219,14141.67603,7146.59346,86.10315,38.38874,8.10711,1.99206,33.00066
84,220,1446.83138,11709.1103,145.08406,163.52446,7.28194,2.52963,25.35104
85,221,1436.06131,11724.06639,138.49478,141.60351,7.3435,2.25703,25.1748
86,222,15195.14406,9453.13555,188.87883,118.76063,7.88937,2.38694,45.50523
87,226,17622.48753,7009.01763,139.36676,57.50406,8.54311,2.32842,50.45613
88,242,955.11501,1532.87661,147.08713,92.56814,6.15432,1.80495,33.5583
89,243,977.632,1521.47325,104.61999,59.64793,6.90173,2.01069,30.78233
90,244,1014.19803,1491.61992,151.69395,59.65921,6.8854,1.9223,49.85119
91,244,16426.2174,11971.2239,248.00205,119.24857,6.34318,2.78304,77.2828
92,245,21211.48261,6826.78968,128.14441,66.14871,8.86883,2.58098,42.41965
93,246,16292.20386,11966.74031,145.77407,60.8144,6.88481,1.84218,45.42079
94,247,992.09288,1509.73545,156.20138,97.69212,7.01837,2.07884,37.30694
95,247,14988.45758,1111.02021,141.23429,57.43978,8.45035,2.06532,48.12356
96,248,945.17361,1555.6857,159.80185,99.60429,6.59232,1.80671,35.6223
97,251,1669.44279,2834.99515,129.76604,61.3697,7.70788,1.90544,39.0556
98,256,13372.52601,13334.02201,136.64161,124.50455,9.00484,2.34118,27.50286
99,257,13386.89886,13338.86574,122.95499,73.97625,6.90005,2.11949,33.28502
100,259,19413.16957,2095.06468,160.40526,82.9451,7.93796,1.84933,41.32211
101,275,19445.51166,2045.47165,136.93251,114.99415,6.97716,2.0258,27.48221
102,276,19430.54451,2092.30187,139.6019,95.30392,9.0387,2.42631,35.02468
103,282,6196.31717,2525.36526,82.43982,38.70384,8.18732,1.87202,30.33093
104,284,19427.70874,2087.10399,100.81896,68.89013,7.3253,2.15774,27.32503
105,285,19482.99881,2043.71696,152.11211,88.30104,7.62461,2.14771,39.37014
106,289,9275.6177,3739.70686,122.79874,284.20542,10.82629,3.31555,15.44033
107,291,14982.95842,9287.48304,143.18341,58.54043,8.30898,2.47905,53.77544
108,292,9293.90331,3783.30801,141.89728,150.83262,8.71624,2.52183,26.03709
109,297,19387.19086,2020.93839,140.79881,83.69059,8.12011,2.30228,38.06649
