"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,2,2127.34925,8530.5137,109.66113,40.77503,6.75406,1.80335,41.02877
2,2,6934.47557,9444.19757,195.72049,54.05759,5.87036,1.78019,75.55557
3,3,10948.25405,5374.73447,134.3859,53.86819,8.9593,2.67595,54.85391
4,5,7022.20945,9525.45457,170.25383,68.76692,7.35723,1.71549,49.82063
5,8,2535.36375,10479.99625,62.01367,27.91097,8.04038,1.99849,28.56297
6,9,2521.1861,10494.48836,111.37451,46.51155,7.4338,1.88033,38.77069
7,9,18226.63962,9922.4562,157.69323,73.18676,7.39007,1.95133,45.47111
8,11,6996.8533,9443.23297,176.97157,83.13056,7.05238,1.37779,41.52277
9,12,7022.84943,9462.61005,134.09404,60.18999,7.32801,2.11711,43.6915
10,13,7099.58751,9470.58841,148.83456,239.19528,7.88261,2.69517,20.58302
11,14,7077.74632,9420.60586,170.35132,102.10657,7.53962,2.32923,43.29941
12,16,2525.07772,10524.10113,118.38854,47.56029,7.29747,1.89774,41.55658
13,21,7053.10241,9580.84328,213.24544,127.54619,6.86666,2.09031,47.99073
14,42,15717.16985,6947.79759,102.2908,49.19369,7.96486,1.88173,33.36911
15,63,2594.14147,8349.93397,133.27287,165.52727,8.2249,2.22837,21.41426
16,64,2603.1473,8338.17452,105.54269,75.50341,7.55733,2.1146,26.90189
17,66,2532.21611,8385.28649,134.11242,97.28711,8.33689,2.08402,30.44099
18,68,2569.42857,8341.13387,151.76051,955.82321,10.67648,6.63853,11.57058
19,69,2540.15987,8306.72311,144.68512,178.51243,8.50117,2.44127,23.3925
20,70,2593.76776,8346.09001,135.08814,175.81125,8.57732,1.95098,20.00859
21,71,2582.84854,8360.87306,130.65849,143.37356,8.23649,2.44035,23.86936
22,72,2591.62185,8317.26749,144.84524,143.03201,8.66663,2.42937,27.35882
23,72,10402.40964,3287.39397,164.44066,139.1047,8.20725,1.94964,30.16187
24,73,2588.18548,8385.42272,145.51851,116.7859,8.08319,2.43337,31.94124
25,73,9080.77008,5006.4258,153.73829,365.45214,9.22868,3.22677,17.16078
26,74,2577.98235,8376.28464,120.93684,62.37393,8.33249,1.91201,35.18073
27,74,8494.12419,5029.03615,151.30344,404.27058,9.80523,3.98659,17.08121
28,75,2545.97444,8371.64142,143.69932,168.79359,8.12506,2.11508,22.82192
29,76,2592.65962,8327.95146,146.15186,152.8608,7.99384,2.25498,25.59848
30,77,2555.42966,8348.94767,141.89355,163.34703,7.96549,2.54179,24.67797
31,78,2571.11504,8343.30296,123.07785,219.83851,8.91523,2.3715,16.39903
32,89,4436.21026,9345.53517,140.20775,56.86886,7.45058,1.94883,46.53532
33,205,21404.60383,5633.09352,182.26883,160.60853,8.58499,2.31154,33.7797
34,206,21413.1986,5571.67486,130.05313,53.82814,8.09884,2.23453,46.93747
35,207,21323.70332,5698.36349,193.82177,95.5091,6.51991,2.05427,51.54811
36,226,27187.60142,6484.70008,122.0696,51.1186,6.39285,1.6223,38.25053
37,227,27162.27325,6467.45681,94.45969,45.47687,6.57417,2.2771,34.84278
38,234,27122.70118,6446.68831,140.7308,54.13723,5.33991,1.4772,42.56928
39,236,27161.49937,6475.40232,149.95978,69.50919,6.03621,1.78175,42.10819
40,237,27170.75138,6475.63132,85.01377,40.63084,6.56777,1.62867,28.80936
41,242,27192.71935,6515.71078,212.74335,100.78428,5.05806,1.53566,48.88256
42,246,27120.4851,6476.94038,107.28891,43.58456,6.21832,1.6987,36.99729
43,248,27173.70871,6470.45977,138.32409,56.14144,5.71148,1.58635,41.79581
44,250,27148.07357,6450.81628,144.82951,78.95385,6.26226,2.0377,38.93277
45,252,27160.62928,6495.57381,163.60122,73.29051,6.2192,1.73285,45.12297
46,255,27160.11398,6519.06251,110.21044,50.79701,6.8213,1.86777,35.7593
47,256,27183.57673,6468.73423,126.87838,50.56434,6.35105,2.00172,44.82791
48,258,7443.06106,506.53727,113.42609,48.11069,7.64665,2.13375,41.21551
49,258,27138.08883,6464.36909,143.07704,62.1968,6.46444,1.81788,43.2367
50,260,27129.92945,6395.79003,120.67703,49.28038,6.46285,1.80089,40.51773
51,265,7457.03372,499.0069,214.60727,101.07044,6.13335,2.06348,57.69794
52,270,27138.94729,6476.71645,87.73273,33.92572,6.5255,1.32287,31.37586
53,271,27186.68634,6444.14416,107.97698,56.68897,6.29169,1.60497,30.35032
54,274,27149.08047,6418.39558,95.84686,45.46374,6.13502,1.71236,31.31184
55,277,27233.64596,6481.86702,135.87033,59.304,6.42346,1.74708,40.94362
56,279,27186.99212,6507.85917,110.70107,49.23891,6.08548,1.87286,36.83115
57,280,27147.94489,6476.84703,113.63989,57.9415,7.13576,1.81223,33.42182
58,281,14187.15242,2134.80014,142.24648,141.66784,9.14531,2.9397,29.40108
59,281,27210.06334,6459.11365,133.89275,60.48682,6.17397,1.52026,37.3048
60,282,14155.24809,2140.59287,168.68208,196.36447,9.00892,3.06904,29.95135
61,291,14872.00561,12756.91843,108.59593,42.63948,7.67532,1.83744,39.54341
62,292,27007.66498,5013.04017,158.23055,62.1731,6.29799,1.46791,45.02798
63,295,6940.54047,12409.22178,108.01709,66.61383,7.30818,2.00843,29.62299
64,296,6890.80279,12363.76225,145.11612,59.38558,8.45791,1.87035,46.29629
65,297,6856.24313,12377.92151,122.32067,53.49687,7.61802,1.96307,40.46272
66,298,6097.72887,4622.49536,166.81359,111.12992,8.17956,2.02251,36.71619
67,298,6857.32538,12410.4531,84.41707,65.12304,7.63703,1.98177,22.2582
68,303,6844.13656,12438.16513,174.15007,74.45133,7.20059,1.96732,52.07222
69,304,6923.34246,12420.86061,149.36951,126.31234,7.78924,3.11048,35.51385
70,305,6927.60707,12378.82745,147.08424,164.59685,9.54841,2.93141,27.50233
71,312,6164.25514,2996.1452,187.04259,103.18254,7.80283,2.40119,50.26303
72,315,6210.77345,3076.41539,126.98433,74.36692,7.95162,2.26348,35.7257
73,316,6252.66917,3066.07724,155.98019,133.32684,8.1697,2.25711,30.81064
74,318,6263.21077,3063.77189,114.27069,88.15013,9.06189,2.16286,26.92045
75,319,7567.8763,6514.46719,146.28169,118.79122,8.8815,1.73212,27.59091
76,320,6227.44167,3096.9506,149.86274,76.03785,7.997,1.91056,40.70064
77,321,6288.57409,3034.90139,166.01434,76.40868,7.58807,2.19403,50.51602
