"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,2,3723.53779,8507.22581,119.85879,138.47692,6.36146,2.09864,20.72751
2,3,3724.01236,8542.07083,137.97477,62.26474,7.65079,1.62773,39.11092
3,3,15579.5266,2000.86303,148.06494,62.09146,7.28258,2.12198,49.24303
4,3,16256.42009,9006.10998,120.87699,209.59821,8.12088,2.64929,17.17508
5,3,18280.69394,4223.25787,141.65026,72.35486,6.92515,2.163,41.51007
6,3,18456.49434,9637.81088,124.69272,96.50742,7.05637,2.26847,28.84161
7,4,15587.87662,2032.63155,165.0106,75.28267,7.34188,2.16545,50.27304
8,4,18223.89077,4140.40854,138.52375,118.92812,7.21113,2.11756,27.73905
9,4,18383.89487,9618.51225,123.55801,78.66087,7.43673,1.79835,29.92592
10,5,18242.53299,4179.52483,134.37318,150.56502,7.87851,2.67371,24.8622
11,5,18437.95699,9590.24935,119.15009,86.64679,7.35848,2.20708,29.00656
12,6,18460.99521,9626.19745,122.88741,113.37042,7.2938,2.07691,24.39391
13,7,18462.07785,9626.83386,128.23755,74.06957,7.63762,2.35929,37.08327
14,8,18450.91893,9624.39183,142.49303,115.81719,7.59805,2.08868,29.17174
15,9,18483.65558,9624.76961,122.72978,108.22903,6.99467,1.93625,24.50284
16,10,6588.64869,8281.24336,86.20965,40.03354,7.85431,1.87548,31.25326
17,10,18441.17506,9576.70015,109.0134,86.31663,7.27185,1.6973,23.59935
18,12,4872.76967,4054.13724,158.6659,67.77434,6.70995,1.9825,49.04585
19,14,4813.29342,4127.77373,126.07761,55.31011,6.46164,1.95423,41.04362
20,16,4829.21274,4106.0265,135.18849,83.98549,7.68105,2.47017,37.17413
21,23,4833.72073,4080.64465,145.01401,82.26627,6.42459,2.04081,37.86113
22,25,4870.77773,4103.72796,98.49341,41.69919,7.20894,2.09847,37.69799
23,43,29606.24436,4691.64876,126.87078,50.55052,6.39233,1.63905,40.7446
24,44,4859.02516,4170.81667,147.66756,67.72241,7.01746,2.00374,44.50922
25,45,4795.26436,4129.25907,146.21761,68.80672,6.67704,1.64894,39.57578
26,48,12613.72744,12759.75827,102.89736,53.14249,7.81474,1.56033,29.60871
27,49,12643.62829,12782.25009,145.12103,161.65995,6.92963,2.42131,25.09932
28,50,12606.83416,12769.73527,169.48165,85.97732,6.08963,1.71081,41.91433
29,52,4860.33516,4045.59807,158.61683,60.711,6.94461,1.60391,47.85757
30,62,4821.09932,4100.8323,130.34066,120.09009,8.15134,2.43011,26.93703
31,93,10005.37794,10501.70698,202.76242,96.68657,6.97983,1.93606,52.86944
32,94,10030.99036,10552.89108,131.94622,90.77706,7.62231,1.92732,30.29126
33,104,18674.98248,3851.19085,87.99264,43.47218,7.19192,1.65995,28.83
34,110,18593.76285,3843.11964,112.7338,59.45124,7.94896,2.04972,34.26418
35,112,18633.49247,3847.36789,157.09196,69.89928,6.96214,2.13267,49.11346
36,126,18673.99934,3830.76848,113.9321,75.31439,7.99705,1.86473,28.22691
37,176,18585.16202,3832.80034,143.24868,88.73823,7.71284,1.81924,33.49243
38,196,842.90827,5883.65772,146.66774,65.12097,6.97078,1.86502,43.7948
39,215,11909.74433,7532.29202,132.1912,96.66571,8.72057,2.30102,31.3436
40,216,6964.2501,1483.16677,100.13613,44.62935,7.75375,2.42631,39.43362
41,221,11932.45369,7532.94034,136.07484,199.16356,9.1056,3.207,22.40475
42,222,2600.46081,493.59136,126.92493,63.62737,7.25441,1.72395,35.34488
43,222,3385.6952,8994.19374,127.40866,89.71491,7.63622,1.94615,29.3003
44,226,3373.37384,9032.28616,132.86816,102.30629,7.6413,1.67585,26.71615
45,227,3362.53256,9003.64405,92.46689,58.70586,8.91138,2.07724,27.07486
46,228,3339.64573,8996.36876,139.8227,142.70281,8.58084,2.364,25.83814
47,229,3340.00759,8995.90366,119.81727,90.59219,7.86654,1.95077,26.92975
48,230,3410.8351,9029.55817,94.40651,40.79307,8.42605,1.87015,34.41355
49,234,6924.79621,2244.69865,153.9172,77.06214,7.71751,2.37801,46.94982
50,237,1006.84784,7406.35882,145.4659,57.76649,8.06524,2.07333,50.10984
51,238,983.84584,7355.41131,153.43641,75.88252,7.45859,1.68005,39.69666
52,240,6953.10294,1452.08446,107.76882,77.25942,8.46914,2.18417,27.53781
53,241,1036.27994,7412.58851,125.04147,60.79096,8.12791,2.40743,42.07624
54,249,1052.62468,7385.25792,144.24782,61.44458,7.35351,2.4363,51.74698
55,252,5275.81086,544.23823,103.40939,94.74608,7.90243,1.90728,21.64446
56,271,6474.23144,8214.6279,162.87118,69.83129,7.85055,2.03898,50.56068
57,272,6569.50049,8242.75937,111.77354,61.10576,8.1599,2.01001,32.92725
58,273,6488.44861,8221.57295,94.84937,55.51487,7.6072,1.94215,28.26691
59,280,5270.80104,9658.01005,147.75278,147.03158,7.79823,2.04383,25.67198
60,282,6454.08168,8232.24052,108.55269,55.98866,7.88875,1.7371,31.7558
61,284,6503.09196,8203.38642,133.68042,74.42985,7.91203,1.69333,33.61529
62,288,9886.24528,8567.63623,114.36154,72.9503,8.70165,1.81685,28.7055
63,289,9922.01517,8528.81088,131.76556,381.27201,8.98814,4.6685,15.86964
64,293,6560.70832,8211.31292,126.72866,60.69732,7.73932,1.46056,34.15272
65,329,6549.61589,8241.87689,135.70088,106.63088,7.08156,1.9755,28.34722
66,330,6509.21931,8271.59653,188.92434,103.82511,8.07371,2.07461,46.77606
67,352,15482.45099,3194.61217,150.40393,113.55779,7.71324,1.9871,31.13511
68,353,15431.94206,3135.81125,110.88441,42.79468,7.07184,1.82725,40.42976
69,355,8416.85277,12014.58019,180.6848,82.49442,6.72832,1.97197,50.86112
70,364,6027.06893,7626.92563,118.7522,378.80126,9.8598,3.10985,11.96394
71,365,6010.40684,7605.82821,125.46193,268.77454,9.27159,2.34278,14.67329
72,368,6036.43793,7593.61992,131.55882,448.35668,9.1897,3.68177,12.81865
73,372,6543.41234,8277.71778,53.19225,34.55819,8.33128,2.03777,21.31594
74,380,16486.10058,4902.94687,123.99199,97.49445,8.64224,2.44403,29.38064
75,435,4142.61506,7731.74451,143.63223,65.53126,7.89091,2.20395,46.13942
76,437,4106.33727,7793.38369,128.41862,49.40531,8.80144,1.55376,41.12276
77,438,4147.07145,7789.64672,135.47577,54.37981,8.445,1.98278,46.27729
78,439,4126.29122,7815.23382,122.98396,62.10813,8.08237,1.89687,35.95407
79,500,21212.24752,8015.89019,116.50508,135.57112,8.56487,2.61496,22.02204
80,501,21188.72973,8052.41602,106.66085,48.53408,8.28924,1.85528,35.32016
81,503,21228.86392,8011.9922,111.05184,78.6648,7.37266,1.86902,26.55773
82,507,21188.90227,8025.63142,161.31712,122.82701,7.68666,1.7124,30.4774
83,542,3999.75746,13372.69153,130.44786,111.51061,7.91642,1.99417,26.21225
84,565,17872.54259,2342.19137,94.03427,59.95608,8.25019,2.45401,29.27128
85,569,4017.95411,13393.65907,123.3297,72.8596,7.1798,1.70435,30.83843
86,589,17911.5377,2354.3797,142.29009,133.98492,8.17049,1.95243,25.62296
87,590,17881.67846,2398.10914,167.09122,118.40199,6.89405,2.54303,39.37785
88,592,17902.07013,2363.11967,128.95653,99.92817,8.08048,2.29049,29.53507
89,593,17874.18919,2342.5377,191.48246,99.40642,6.26472,1.4724,41.84964
90,596,17845.65872,2366.41474,89.02255,56.24722,7.40102,1.60191,24.28473
91,609,5914.26188,9728.67605,146.6995,161.47118,8.49823,2.10262,24.1037
92,611,5924.11089,9730.95702,139.24356,57.41687,8.11153,2.19045,48.7153
93,612,9860.52412,12204.3698,135.8839,76.6585,7.59909,1.86143,34.98996
94,617,9837.11695,12184.21258,124.84042,113.38997,8.78191,1.99301,24.50458
95,619,17808.48648,2378.66703,183.5614,95.10225,7.55928,2.21733,49.75507
96,648,4033.92031,13378.34359,120.43812,52.73311,7.06943,1.57144,36.29466
97,678,4007.13702,13331.68056,139.86435,78.19024,6.79199,1.85036,35.76269
98,686,4012.28424,13362.17527,116.9839,93.8325,7.7985,2.3092,27.27933
99,705,4808.00915,14632.12747,149.38573,65.84482,6.27899,1.85978,44.50623
100,741,21329.43349,7967.29725,137.15285,105.06284,7.52336,1.84722,28.2913
101,742,21344.39175,8022.56272,122.92183,87.12315,9.08219,2.70073,33.14658
102,743,15267.60363,5314.86679,108.71373,53.21984,7.68995,1.95613,34.67423
103,743,21314.32055,7986.65309,134.50344,113.89538,7.89569,2.04357,27.12436
104,744,15292.41228,5317.67071,146.21711,92.60493,8.47574,2.57103,39.42022
105,745,15409.25107,4478.89475,104.1508,51.89688,8.24039,2.08797,34.41115
106,752,7890.6067,810.01989,158.58192,86.04337,6.78542,2.2015,43.15965
107,755,1203.07046,2414.99892,105.54564,68.16317,7.69608,2.11748,28.93456
108,756,1187.05796,2367.99891,122.69854,72.05269,7.21896,1.81881,31.6742
109,756,15449.01799,4469.86829,125.68077,67.12418,7.50712,2.33132,38.61119
110,757,7873.94103,768.50448,130.5883,113.05326,8.28812,1.96362,25.85063
111,758,1178.51938,2361.22841,116.69656,57.74405,7.23235,1.60448,33.00013
112,759,7880.46157,792.60861,129.37277,109.38308,7.64674,1.934,25.98293
113,762,7950.09827,785.15483,131.08528,157.86563,7.73644,2.46935,22.51394
114,763,7922.03781,811.68032,115.459,109.74208,7.85217,2.21918,23.64862
115,770,7946.053,762.1426,139.92748,56.67625,7.19437,1.97229,46.81418
116,780,1542.48333,7728.5277,126.28094,55.25177,8.35627,1.84241,40.02462
117,781,1476.8683,7770.08679,132.26196,88.73997,8.02167,1.90099,30.70256
118,787,1519.12391,7766.70147,152.47237,93.41236,7.29842,1.79227,34.88146
119,788,21672.49235,11979.60378,114.491,72.50819,7.05519,1.72832,28.33257
120,789,1534.8093,7784.68531,110.53321,47.81345,8.39006,2.0292,38.99741
121,791,21715.42136,11992.7901,115.27905,75.53873,7.52111,1.94745,29.08031
122,794,1510.54232,7838.93055,118.35259,50.4371,7.42369,2.18701,42.70203
123,795,1561.56086,7809.59647,81.57986,51.27363,8.6297,1.77336,24.20529
124,797,21776.08248,12015.459,154.66003,105.3423,6.72325,1.9596,33.90716
125,798,21705.15725,12061.32189,90.4782,51.32054,7.69155,2.31698,30.42437
126,801,21752.49182,11964.34555,139.80841,89.47422,7.37137,2.16747,34.81897
127,802,21705.60279,11977.93752,183.22997,171.43015,6.57809,2.0944,31.0342
