"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,3,11273.13187,14223.45729,240.33388,176.96921,5.11352,2.13322,45.10845
2,4,5972.65197,5831.6758,128.73622,113.64893,9.09059,2.32451,27.04316
3,4,11246.55778,14229.11618,185.67138,106.20608,5.79382,2.07596,44.83072
4,4,18403.97115,1994.82668,102.37467,44.25405,7.08328,2.03284,37.35718
5,5,6004.14999,5842.7518,116.26115,256.87798,9.13568,3.32938,15.47629
6,5,10303.97567,12333.85351,138.4093,56.38265,7.11758,1.74446,43.54316
7,5,11275.88444,14217.2016,128.27847,105.26664,6.79847,1.93809,26.41066
8,6,11252.07835,14218.30303,117.1852,52.82166,6.53707,1.97908,38.69874
9,7,6041.4311,5813.47856,133.28376,244.92534,8.71166,2.63882,17.4398
10,10,18269.71898,5617.02578,101.79093,45.34904,7.85798,1.91764,35.45429
11,11,18366.03154,5587.08592,95.2066,79.48938,8.39983,2.48936,24.40908
12,12,18349.56109,5662.01471,118.46665,173.30321,8.41116,2.31948,18.1919
13,13,18354.16198,5649.54953,137.48766,168.86118,8.35904,2.3594,22.44976
14,14,18371.87121,5665.25203,140.79406,219.87977,7.90413,3.38591,22.38964
15,15,18357.51018,5634.46487,168.97757,153.94929,6.98946,2.10379,30.05761
16,16,18327.64676,5646.80815,130.46452,194.2797,8.54039,2.51789,19.53603
17,17,18356.14966,5633.50797,123.26852,175.04825,8.27794,2.63436,19.8618
18,18,18345.36288,5658.07111,134.75922,167.18297,7.82959,2.07745,21.04961
19,19,18366.07005,5655.82145,129.4991,181.32097,7.7204,3.07209,22.00683
20,20,18346.44304,5645.87738,115.57414,45.38341,7.82667,2.04758,43.26949
21,21,18361.48325,5637.4075,102.64453,271.82926,9.45493,3.66424,13.23065
22,22,18394.07006,5659.73019,127.52747,216.7948,8.3115,2.87957,18.50867
23,36,9289.99902,12217.13474,109.94505,45.7538,7.37117,1.6206,36.15308
24,38,7787.58315,8721.724,118.06596,103.14552,8.02298,1.81038,23.57468
25,39,19139.45706,5587.1949,147.13952,59.23702,7.4496,1.9976,48.9631
26,81,27642.13755,11428.49993,155.39469,63.34434,5.7008,1.45937,43.24777
27,84,27579.40477,11410.06468,176.88411,68.5681,6.05594,2.13542,59.62877
28,98,2263.67605,7012.05281,120.57576,89.31178,7.41631,1.96533,27.49366
29,99,2295.59222,7010.47412,129.08223,82.08793,7.32149,1.62189,29.55593
