"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,9,13495.77875,3997.13093,172.73236,125.17515,7.79209,2.01255,35.25677
2,30,7261.65749,2353.2409,385.23711,378.84367,4.37549,2.33414,54.09667
3,31,7324.45525,2418.02329,329.16341,327.52036,5.47057,3.04523,55.95012
4,32,7367.01441,2330.66719,230.62233,115.5932,7.09473,2.1647,59.63041
5,89,10786.83094,14104.54385,230.97171,111.58139,6.16729,1.95538,57.89877
6,271,14200.37115,4752.79417,186.63154,123.7034,8.22667,2.25725,42.01882
7,272,14156.00263,4784.50546,177.09352,196.88257,8.98924,2.36193,28.25153
8,273,14277.5807,4753.08123,186.97313,200.87517,9.12587,2.82501,32.75135
9,282,21334.75412,9382.37562,176.97379,79.53858,8.28592,2.12188,52.84554
10,301,15297.03663,10869.94663,208.31678,99.48713,7.28795,2.08084,56.09204
11,306,11216.669,9129.51779,223.70489,208.30048,8.23741,2.58193,39.60711
12,307,11218.24547,9186.83438,179.36547,164.18372,9.39492,2.74531,35.41146
13,309,11274.42681,9142.45784,251.53424,176.10076,7.7328,2.73446,56.25542
14,333,5227.90155,13995.56149,182.80196,254.0359,8.5046,3.51882,29.75996
15,334,5231.22451,14012.65488,185.20429,92.30392,7.67213,2.14658,50.68029
16,336,22248.58196,6162.54816,264.08935,323.34569,6.29323,3.10061,40.14664
17,339,22280.83212,6165.39168,186.57408,143.25903,7.85917,2.34038,38.2802
18,341,22210.35217,6208.70461,189.57893,112.03589,8.00478,2.60978,50.508
19,368,908.44609,7568.21953,165.9417,123.65973,7.37175,2.20122,35.06323
20,369,869.27853,7556.62818,216.44179,170.21206,7.81635,2.7815,46.07875
21,370,657.26059,12831.9667,214.70708,245.68126,6.06071,1.84423,28.39899
22,370,860.52697,7553.76351,199.88293,180.29415,7.33995,2.78145,38.97531
23,372,911.13179,7499.25909,197.5777,170.2041,7.57161,2.52135,37.96176
24,375,912.32728,7519.56653,170.481,95.62342,7.82627,2.33122,45.63186
25,395,15487.40363,6111.20171,231.67836,165.44521,8.72798,2.56701,49.93317
26,418,814.0864,7449.71417,239.4096,155.03637,6.56466,2.08001,48.98023
27,431,8546.69878,5679.20644,182.25247,119.36832,9.11059,3.00984,49.32574
28,440,13453.08578,3390.23547,253.32918,145.4066,8.32601,2.42195,61.59567
29,441,13559.34774,3307.49115,147.81085,62.66964,9.0064,2.26027,50.53817
30,459,20709.51946,7138.28951,93.90778,37.23901,9.49143,2.08631,38.44865
31,463,13473.49537,3284.39779,169.18212,91.22215,8.94001,2.23902,45.76704
32,473,4004.58529,7123.97905,215.07225,136.07,8.79361,3.04064,58.05614
33,476,3918.66351,6979.29641,150.98679,114.31958,8.73792,2.34765,33.57544
34,493,15159.13556,7842.7011,153.45795,86.82664,10.05563,2.36568,42.47322
