"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,2,4704.00385,8440.26508,518.77151,780.52447,0.00001,1.7961,42.52904
2,2,6641.71477,9637.28509,180.57447,43.48189,5.72231,1.45089,70.50284
3,2,12601.70161,10464.64717,159.00451,47.37731,3.7508,1.14671,49.5736
4,3,4686.358,8469.24309,178.88116,151.9961,8.72099,3.3068,41.74408
5,3,5462.89678,9950.06769,102.2645,54.9622,6.72742,1.73,29.82863
6,3,12583.49295,10506.32103,125.48817,75.15197,7.97051,2.38769,35.81145
7,4,4581.14235,8411.58623,161.69032,104.55108,8.93312,2.56101,41.47729
8,4,12586.04956,10521.52032,134.33415,110.38313,7.74588,1.78049,26.28247
9,5,4620.97638,8453.31672,174.23849,140.72824,8.47808,2.87858,39.25033
10,5,12568.07432,10489.91339,133.5158,186.5676,8.4648,2.54168,20.76082
11,6,4669.22304,8438.92866,174.20187,107.17445,8.69181,2.74946,47.42908
12,6,5547.48104,9924.39452,160.60007,72.03093,6.46186,1.78025,45.11415
13,7,4639.32823,8419.83142,182.59359,103.10029,8.23986,2.59927,50.83542
14,7,12611.10599,10469.43809,126.18635,105.58215,7.59102,2.29898,27.63062
15,8,4547.41951,8362.77024,290.2769,305.43638,6.27325,2.77735,45.62597
16,8,12587.1091,10515.69352,128.24601,120.55812,7.73174,2.24353,25.43428
17,9,4660.71838,8428.12264,237.6378,162.42326,8.4464,2.7115,54.58531
18,9,12607.51622,10460.06054,144.78003,121.13979,7.5544,2.06239,28.71248
19,10,4620.1259,8389.95084,172.83129,109.4697,8.45069,3.07668,49.42247
20,10,12587.86599,10528.69055,122.71625,129.07983,8.58005,2.38709,23.48363
21,11,4590.63107,8366.43584,268.77448,207.69228,6.65633,2.87218,56.4233
22,11,12612.97418,10478.16537,123.52641,130.59268,8.99384,2.34264,23.31715
23,12,4647.33026,8384.90804,269.62021,295.54863,6.34136,3.57577,48.92202
24,12,12603.11944,10495.25884,132.09138,246.52552,7.877,2.96022,17.903
25,13,4661.83651,8370.0402,208.30941,135.07123,7.92793,3.057,55.6658
26,13,12568.08662,10499.32278,126.11698,171.83291,7.95356,1.9979,18.8208
27,14,4627.45183,8429.69246,215.91674,152.45051,7.68833,3.11565,54.00094
28,14,12607.14464,10524.20623,120.20904,116.47927,8.7627,2.71612,25.98846
29,15,4581.33225,8426.11254,255.74066,192.92553,7.53784,2.85538,55.11973
30,15,12595.25294,10502.96487,129.58702,217.21684,8.07788,2.27982,17.37971
31,16,4556.3573,8414.68777,297.3865,209.8779,7.02084,2.90649,66.62417
32,16,12604.17505,10531.18164,125.36012,187.30272,8.53215,2.40012,18.72831
33,17,12594.19267,10533.87341,123.91383,168.72459,7.93679,2.29847,19.51095
34,18,4528.31739,8374.59362,141.72721,60.24042,8.83388,2.52574,52.34054
35,18,12606.64582,10522.65041,129.37835,197.6317,8.42009,2.2106,18.27987
36,19,4476.63505,8406.48393,215.98254,151.50368,7.41236,1.88552,40.76474
37,19,12591.142,10520.25563,106.81781,114.16908,8.49854,2.2516,21.01847
38,20,4578.50035,8503.15509,206.29035,157.6085,7.41153,2.79042,45.57603
39,20,19896.69811,5869.65596,130.68084,69.32939,7.71386,2.31907,39.67936
40,21,4548.28448,8412.84639,222.7824,151.81911,8.03145,2.63022,51.08058
41,21,12610.02643,10504.54183,149.35497,185.09512,7.80185,2.23312,22.97227
42,21,19993.45127,5894.68128,151.16412,115.34962,6.95836,1.79178,29.74167
43,22,4508.54801,8449.04775,183.18838,130.17532,8.30672,2.63166,42.74509
44,22,12595.55759,10527.17399,117.50822,82.07949,8.28074,1.98727,28.34356
45,23,4646.48076,8421.8694,156.90045,60.67342,8.14062,2.46951,59.92852
46,23,12575.6833,10515.9905,120.88758,177.67864,8.14812,2.17657,17.96611
47,23,19890.95521,5870.78078,104.32535,82.52899,7.83623,1.67658,22.9877
48,24,12609.86102,10525.32626,126.46755,245.48708,8.01059,2.69581,16.43038
49,24,19890.89321,5869.21568,87.4936,79.36964,8.25416,1.91087,20.07451
50,25,12573.00633,10497.21213,112.41719,82.12509,7.53246,1.69315,25.28818
51,25,19921.63542,5869.15492,131.45462,54.89235,7.00008,1.82425,42.27249
52,26,12577.47622,10497.26699,130.65448,177.59892,7.55161,2.11058,19.56198
53,26,19888.87372,5853.69194,121.39595,57.37763,7.09549,1.41738,33.26109
54,27,12601.27761,10495.47201,143.40305,164.13481,7.57319,2.32597,24.05116
55,27,19921.04605,5963.82041,68.01278,54.56963,7.87288,2.39553,21.18465
56,28,12599.29093,10535.85075,115.5974,185.38514,9.17548,2.73775,17.87034
57,29,12593.94482,10516.96988,110.96865,173.27067,8.63637,2.33015,16.84266
58,30,4748.26431,8428.50766,91.23883,74.951,8.24909,2.3162,23.45378
59,30,12624.54299,10500.6304,160.0437,217.74775,7.2958,2.56873,23.74608
60,33,4749.43458,8437.45043,109.90976,46.96314,7.77196,1.87366,37.77249
61,34,4718.6462,8470.37948,130.91193,76.94604,8.57883,1.90239,33.52363
62,35,4736.6233,8485.52955,121.98465,66.94686,8.17566,2.14692,35.64611
63,42,4697.09931,8428.50989,133.31886,70.59602,8.68924,2.05829,37.90871
64,43,4801.62015,8447.03973,144.46501,57.92841,8.2299,2.13752,50.34908
65,44,4748.69699,8432.32468,133.17545,118.08616,8.84937,2.24572,27.12107
66,45,4741.01739,8479.69448,111.75994,91.36587,8.75336,2.1616,25.51832
67,46,4775.17991,8434.13597,148.2831,156.54378,8.68202,2.10117,24.96104
68,47,4709.49794,8455.40663,189.30892,175.81814,7.16319,2.86277,37.22596
69,48,4783.03935,8479.53322,170.90318,129.28999,8.10013,2.18677,35.25461
70,49,4720.81639,8462.34439,164.82884,108.82261,8.47731,2.36855,39.64918
71,50,4648.86573,8334.42154,12.63303,29.65001,8.88813,2.38049,12.26299
72,53,4757.51389,8484.52743,121.8628,49.88226,7.83811,2.01862,43.01321
73,54,4723.6124,8457.1327,171.84443,86.33024,8.02753,2.13127,47.57172
74,55,4686.8546,8491.90212,136.01254,81.78433,8.76207,2.12991,35.52743
75,56,4773.08048,8499.58678,97.31378,58.05073,8.30116,2.18577,29.69693
76,57,4673.92086,8483.12005,125.40407,59.98765,7.97395,2.27463,41.39711
77,58,4788.10176,8482.71219,135.15055,103.28305,8.60737,2.06637,29.36749
78,59,4744.55245,8480.95506,168.61477,126.9398,8.34876,2.41147,36.79173
79,60,4753.88621,8491.79196,118.91568,122.91871,8.39194,2.37851,23.30866
80,61,4778.21569,8477.6612,127.70649,75.2914,7.81042,2.25232,35.58872
81,62,4686.5151,8409.68828,165.20404,78.36036,8.71544,2.50539,53.16438
82,64,4785.37575,8453.78318,146.43631,105.57161,8.0156,2.39005,34.42953
83,68,4706.57949,8447.75722,135.27591,165.21447,8.56097,2.54911,23.01063
84,69,4739.99931,8515.73085,108.9671,56.10287,8.70638,2.44954,37.30218
85,70,4758.13535,8481.08907,148.8552,66.26411,8.10354,1.79397,43.31251
86,71,4659.34539,8593.442,139.79041,53.78262,7.66247,1.81966,46.67308
87,71,9526.06342,3373.83154,93.82484,43.42923,7.07755,2.04556,33.96898
88,87,9540.77285,3391.90603,111.20043,50.33013,6.90672,1.69468,34.92829
89,88,4737.2787,8521.88563,122.47681,53.04061,8.03235,2.33546,44.6638
90,92,9525.30608,3408.13115,92.79351,42.13857,7.63297,1.81626,32.51145
91,104,4731.28638,8412.52964,96.39418,38.46327,8.24973,2.00577,38.08375
92,120,12878.38039,11248.94618,130.57547,82.59201,7.14253,2.05621,32.84795
93,122,12848.83403,11225.6563,152.80577,76.43498,7.24664,2.02702,42.8975
94,190,11495.40198,12599.03106,135.74969,55.70321,7.29259,1.80075,43.43092
95,191,4766.26376,8532.52497,161.4302,78.76128,8.2287,2.27642,48.31748
96,192,4727.83315,8420.58671,129.66557,65.58265,8.01799,2.3031,40.79682
97,195,11556.07727,5238.27534,140.42065,76.68812,7.88131,1.57477,34.10849
98,196,11597.27925,5345.82641,124.43303,55.90215,8.95715,2.1387,41.83944
99,197,11360.28425,1803.8803,137.01113,100.45233,7.7849,2.13463,30.92976
100,197,11634.32243,5291.98437,206.93136,103.15956,7.99146,2.19357,55.6416
101,200,11347.92798,1816.36851,119.38355,92.06927,8.49209,2.0822,27.19081
102,201,11326.31801,1758.83134,138.74452,112.34317,7.25664,2.34382,30.2491
103,202,10464.46723,4307.75912,126.57974,140.14644,7.24265,1.50383,19.88774
104,202,11334.32853,1802.61041,135.51775,58.57054,7.48737,1.81655,41.92678
105,203,10450.40372,4306.88111,92.36092,44.77112,8.14049,1.78166,30.73807
106,204,10481.42861,4248.7618,102.42995,40.47971,8.96876,2.70033,46.70903
107,205,10504.75673,4309.97487,139.50773,91.35467,8.63654,1.76888,31.33568
108,207,10476.78561,4344.04342,110.46562,63.70332,8.89025,2.01518,31.51107
109,208,10466.8781,4321.15667,129.59862,330.65543,8.76394,3.54389,15.27904
110,209,8939.61145,3087.45625,155.94569,122.47719,8.14579,1.94331,30.69106
111,209,10470.24869,4297.30854,119.89872,242.09928,8.63962,2.73531,15.60707
112,210,8467.29188,496.55443,116.92171,58.4327,8.16409,2.05786,36.48448
113,210,8971.64832,3109.83408,125.05511,266.4174,8.46367,3.39171,16.6738
114,210,10478.66235,4331.33426,101.35136,188.01489,8.84656,2.28513,14.2931
115,213,8491.67638,512.12378,121.69107,206.9788,8.21444,2.31969,16.71322
116,215,8453.38582,540.87462,94.68083,49.76148,7.37744,1.71612,29.01097
117,215,12806.7917,6956.25032,134.1829,210.78518,8.95442,3.26769,21.27698
118,216,8492.21983,526.48599,144.91456,83.02105,8.0191,2.65258,43.12505
119,217,8515.42904,526.84787,116.76033,96.21768,6.84198,1.86282,24.60562
120,218,19670.41524,7179.18688,140.65924,155.03448,8.69904,2.34754,24.49423
121,219,19652.78134,7219.54009,139.88566,167.60986,7.62727,3.12466,26.10294
122,220,19688.40835,7183.80046,122.54348,159.76659,9.15801,1.9784,19.00851
123,221,10446.79571,11322.16358,123.39409,109.15746,7.47953,1.93809,24.53413
124,221,19670.87678,7222.03939,151.95897,201.96294,7.6876,2.01955,21.36707
125,221,21170.99156,6524.28674,123.00003,117.09582,8.71269,1.91275,23.19883
126,222,19671.19447,7250.19868,151.33486,67.83707,7.70719,2.48001,51.9282
127,222,21178.24368,6500.65291,115.36734,101.55839,8.21873,1.81328,23.17214
128,223,8954.5786,3059.61137,130.88574,141.60392,8.58426,2.44103,24.13626
129,223,21163.12561,6515.98475,112.31787,125.85278,8.35099,2.53116,21.85969
130,224,8928.35358,3110.11027,111.21301,108.25676,8.86841,1.92058,21.65452
131,224,19639.80904,7188.02206,147.55689,163.07608,8.12588,1.95394,23.49411
132,225,8936.20818,3064.45118,141.16095,150.77845,7.41961,2.01707,23.68073
133,225,19673.55073,7202.84266,127.37335,139.07696,8.00187,2.10336,22.30096
134,225,21131.12604,6494.92864,127.19898,115.37021,7.74903,1.54879,22.82555
135,226,4758.78377,8399.39279,105.41851,41.66007,8.36595,2.1283,41.56844
136,226,8954.57704,3091.37562,115.68668,105.42156,8.53558,1.74243,22.3931
137,226,19661.81885,7234.67945,163.52814,189.19074,8.04435,2.70959,27.7093
138,227,16149.94923,10853.79599,86.05746,51.08334,7.53756,1.64809,25.14229
139,227,19643.38483,7217.64052,142.45968,276.7077,7.75079,2.85684,17.97707
140,228,19652.71159,7232.08596,113.984,158.86931,9.11317,2.17288,18.00963
141,229,19666.55366,7215.82518,118.02524,164.64003,8.61178,2.22526,18.48369
142,230,4700.14647,8447.89539,171.75547,78.96748,7.46381,1.74511,45.88532
143,230,19697.67487,7177.24141,117.79501,71.30682,7.84338,2.14369,32.46252
144,231,19662.3284,7230.16846,143.41189,127.49956,7.29631,1.86751,26.34193
145,231,21192.73554,6498.30881,117.96224,97.41168,8.12316,2.05714,25.62775
146,232,19646.22646,7206.21686,123.71323,181.5478,8.33187,2.50368,19.09711
147,233,19669.38506,7203.92184,122.71972,240.75392,8.43534,2.96713,16.58872
148,234,19637.92646,7209.22757,168.06419,82.59939,6.88476,2.02586,46.36049
149,234,21164.69676,6515.91704,127.26578,130.54389,8.31492,2.41272,24.52547
150,235,19655.41519,7190.39832,133.16709,205.23929,8.11965,2.90906,20.42118
151,235,21165.29132,6451.12011,158.47286,105.88487,7.67982,2.47479,39.14266
152,236,19660.67865,7197.78156,122.81181,208.5683,8.5585,2.20419,16.55388
153,236,21191.07007,6522.0225,111.62669,51.77427,7.72674,1.89266,36.07271
154,237,19654.99046,7202.10627,110.90457,110.16311,8.11633,2.21632,22.42229
155,238,19645.499,7180.87202,125.78308,314.20207,8.90198,3.21459,14.69233
156,239,19645.33912,7192.16999,128.30943,314.42808,8.94082,3.08313,14.83469
