"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,2,3995.3639,3786.42292,224.3008,57.70144,5.81511,1.54529,81.32706
2,3,10664.5737,13570.84555,213.64097,115.89422,6.88111,2.16022,52.81367
3,5,3939.59253,3847.95214,129.31628,52.59217,7.9994,1.80895,42.4934
4,8,3940.30622,3831.94813,105.54733,55.75871,7.72585,2.07813,33.15415
5,9,3921.99771,3780.01397,177.43153,82.14078,7.57341,2.04274,50.64244
6,10,10674.14926,13590.43938,145.80413,57.19206,7.22148,1.57629,44.15648
7,14,10667.2971,13645.90501,135.02106,64.78085,7.418,2.13916,41.94604
8,16,10633.94022,13700.56993,98.58401,37.17342,8.24504,2.1773,41.93439
9,16,14741.57238,5992.71536,91.23521,43.33418,8.81714,3.03457,40.40654
10,17,10671.8631,13636.38416,199.00475,95.21674,7.36652,1.80645,50.15471
11,18,10629.87911,13698.78917,177.17258,85.62593,6.99651,2.00247,48.41502
12,20,10715.01158,13761.62703,183.38091,104.3969,7.01286,1.8453,42.06243
13,21,10685.05082,13583.50629,154.59847,74.48487,7.62823,2.02773,44.48493
14,22,10712.03969,13676.43379,79.66765,47.01328,7.9934,2.67219,29.67887
15,23,10704.4191,13595.64069,258.09164,139.56435,6.38951,2.22923,62.26379
16,23,15685.75683,6572.36486,143.44568,67.8247,7.4568,2.28052,45.69221
17,27,21171.09121,11394.04343,76.21964,36.50341,7.04301,1.58474,27.13415
18,28,10665.70747,13670.73024,194.7211,113.18806,6.74178,1.96215,44.48008
19,30,10650.58765,13754.20154,174.37451,76.40302,7.1904,2.07041,52.60462
20,32,10667.05351,13724.22157,118.3683,101.02662,8.55204,2.19915,25.76043
21,34,10633.98138,13634.86008,102.48183,40.14489,7.76107,1.98133,39.71519
22,35,10648.18456,13655.45272,120.49911,48.97795,7.35199,1.80868,40.70229
23,36,10612.6366,13659.69427,174.05302,81.30122,7.80346,2.49998,55.84967
24,41,10735.78376,13738.51329,123.79042,56.80082,7.65843,2.29736,42.61527
25,54,10697.62582,13664.66337,135.84212,55.56432,7.62426,1.82165,43.79565
26,55,10624.49505,13705.73531,244.66701,123.47361,6.8411,1.9513,58.33413
27,57,1345.58011,12046.74682,123.51453,120.77799,7.28618,2.18081,23.94093
28,59,10633.16745,13763.3097,130.46266,50.74822,7.40371,1.91486,45.42958
29,84,1391.47312,12053.02583,121.15246,47.72712,7.39436,2.04408,44.40405
30,95,1339.42728,12027.19894,175.96893,74.63482,6.57466,1.46071,45.57341
31,99,10633.7183,13588.14038,151.36832,63.48014,7.03251,1.70829,44.70551
32,100,10711.26373,13731.34787,169.47377,108.37511,7.85176,2.37099,41.44081
33,101,10666.59835,13659.91062,106.44598,69.88071,8.05373,1.63582,26.07403
34,103,13886.81669,7197.38772,125.56084,115.43002,9.09518,2.33359,25.92786
35,105,10695.00695,13566.28343,118.48623,54.2153,8.61776,2.39952,42.53284
36,108,10647.64073,13716.81302,133.60678,79.89487,7.41392,2.02266,34.44366
37,109,10665.69161,13694.18736,148.48171,96.57575,7.76548,2.21015,36.10254
38,110,10598.57309,13630.7871,112.4489,63.34426,7.51654,2.21484,33.79335
39,111,10622.0089,13685.55308,128.73849,59.25094,7.69125,1.70313,37.68957
40,120,4301.29607,5470.75154,147.3852,115.84756,7.85724,2.30785,31.89649
41,129,14796.90996,8506.97414,111.36952,59.51685,9.01265,2.04503,33.6605
42,130,1780.08921,10947.28134,174.0793,129.23648,7.77714,2.35546,37.5506
43,130,14716.97449,8412.70555,225.34022,122.72016,7.47512,2.01051,52.58542
44,132,1765.04108,10933.88302,175.69958,95.38568,7.45501,1.74135,41.19074
45,134,10382.03291,5739.91381,209.09209,176.53435,8.13571,3.03955,44.759
46,137,17841.7854,6915.67349,154.70094,62.03919,8.58819,1.9556,50.22988
47,142,10445.55006,5732.88075,145.36616,82.11983,9.84296,2.34029,40.75765
48,146,13871.58876,7251.45149,158.04656,114.05787,8.64556,2.37919,36.10582
49,149,3674.40408,5120.88797,124.42972,61.05685,8.70165,2.17429,39.47217
50,157,3653.8921,5054.04527,180.70843,158.90047,7.33642,2.09405,32.14888
51,158,3638.12335,5077.37097,150.68138,122.09019,8.16337,1.55139,27.08307
52,159,3670.96699,5081.7501,137.69064,137.96445,8.45384,2.18292,25.10915
53,160,3628.53044,5112.81203,109.30661,85.31169,9.98539,2.65258,28.46845
54,161,3752.34165,5016.32817,148.25891,83.07176,8.05638,2.04084,38.76276
55,162,3640.36105,5133.72903,150.35874,111.56676,7.64708,2.22048,33.10426
56,163,6045.5673,12349.61194,137.76174,62.02679,7.5944,2.38325,47.35914
57,164,6054.0602,12284.12167,185.4011,82.04141,7.7812,1.91828,52.27327
58,185,3979.62422,3052.4294,164.71709,113.07463,7.77947,2.57607,40.23879
59,186,3991.61131,3091.7029,129.72603,58.093,7.82374,1.67335,38.32128
60,190,9494.30479,9775.48823,165.14373,191.04353,9.6074,3.48013,31.75443
61,191,3993.89525,3100.21066,193.82084,154.49088,7.06533,2.21963,37.21602
62,192,3967.36763,3141.09178,170.71027,121.89982,8.13543,2.09211,35.99769
63,193,3994.79736,3082.29638,138.19766,129.61966,8.31039,2.23418,26.60289
64,193,9586.54702,9780.17954,145.73637,131.74256,8.06731,1.94045,26.67202
65,194,4012.99916,3055.42201,135.98153,63.30223,8.17798,1.83206,39.94615
66,201,10160.73733,7648.89586,155.54147,164.0036,8.48263,2.11291,25.78264
67,205,9574.17343,9827.73216,183.24968,89.71678,7.43706,2.3191,53.34162
68,207,20512.26829,9426.16129,227.52254,121.06999,7.18736,2.40394,59.99624
69,209,20683.10274,9503.33468,201.52913,85.16128,6.88891,2.28905,63.98493
70,212,3638.81172,5048.421,198.16697,132.49657,7.55721,2.14747,42.42447
71,213,3642.85475,5117.388,113.92938,77.44128,8.06763,2.05707,28.78404
72,214,3631.27634,5113.97626,160.78773,111.48149,8.38319,2.44049,38.14715
73,215,3720.35064,5088.77634,163.18148,80.58351,7.70787,2.26561,48.09663
74,216,3669.16449,5098.11871,182.20634,85.72569,7.93927,1.78993,47.54502
75,217,3639.84436,5076.32557,158.04412,72.39508,8.25288,1.92418,45.66435
76,218,3647.67011,5097.44395,222.4386,141.65707,7.86319,2.21558,48.67711
77,218,20526.9832,9487.67542,143.66635,61.13896,7.2041,2.1541,48.09615
78,219,3668.8047,5103.45222,125.60466,117.01062,8.95493,2.3848,25.92524
79,220,3659.14367,5067.42152,141.8676,98.61608,8.12066,1.94918,31.5778
80,228,3654.51441,5104.85626,37.41832,35.03307,8.59004,1.88147,15.52164
